,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,FH Allen,HH Pandya,DP Conway,0,0,0,0,,0,1,0,-,1.0,0,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
1,FH Allen,HH Pandya,DP Conway,0,1,1,1,,0,2,0,wides,1.0,0,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
2,FH Allen,HH Pandya,DP Conway,0,0,0,1,,0,3,0,-,2.0,0,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
3,FH Allen,HH Pandya,DP Conway,2,0,2,3,,2,4,0,-,3.0,0,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
4,FH Allen,HH Pandya,DP Conway,4,0,4,7,,6,5,0,-,4.0,0,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
5,FH Allen,HH Pandya,DP Conway,4,0,4,11,,10,6,0,-,5.0,0,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
6,FH Allen,HH Pandya,DP Conway,1,0,1,12,,11,7,0,-,6.0,0,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
7,FH Allen,Arshdeep Singh,DP Conway,0,0,0,12,,11,8,0,-,1.0,1,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
8,FH Allen,Arshdeep Singh,DP Conway,0,1,1,13,,11,9,0,wides,1.0,1,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
9,FH Allen,Arshdeep Singh,DP Conway,0,1,1,14,,11,10,0,wides,1.0,1,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
10,FH Allen,Arshdeep Singh,DP Conway,0,0,0,14,,11,11,0,-,2.0,1,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
11,FH Allen,Arshdeep Singh,DP Conway,4,0,4,18,,15,12,0,-,3.0,1,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
12,FH Allen,Arshdeep Singh,DP Conway,1,0,1,19,,16,13,0,-,4.0,1,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
13,DP Conway,Arshdeep Singh,FH Allen,4,0,4,23,,4,1,0,-,5.0,1,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
14,DP Conway,Arshdeep Singh,FH Allen,0,0,0,23,,4,2,0,-,6.0,1,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
15,FH Allen,Washington Sundar,DP Conway,0,0,0,23,,16,14,0,-,1.0,2,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
16,FH Allen,Washington Sundar,DP Conway,0,0,0,23,,16,15,0,-,2.0,2,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
17,FH Allen,Washington Sundar,DP Conway,0,0,0,23,,16,16,0,-,3.0,2,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
18,FH Allen,Washington Sundar,DP Conway,1,0,1,24,,17,17,0,-,4.0,2,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
19,DP Conway,Washington Sundar,FH Allen,1,0,1,25,,5,3,0,-,5.0,2,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
20,FH Allen,Washington Sundar,DP Conway,1,0,1,26,,18,18,0,-,6.0,2,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
21,FH Allen,Arshdeep Singh,DP Conway,6,0,6,32,,24,19,0,-,1.0,3,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
22,FH Allen,Arshdeep Singh,DP Conway,0,0,0,32,,24,20,0,-,2.0,3,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
23,FH Allen,Arshdeep Singh,DP Conway,0,0,0,32,,24,21,0,-,3.0,3,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
24,FH Allen,Arshdeep Singh,DP Conway,0,0,0,32,,24,22,0,-,4.0,3,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
25,FH Allen,Arshdeep Singh,DP Conway,4,0,4,36,,28,23,0,-,5.0,3,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
26,FH Allen,Arshdeep Singh,DP Conway,1,0,1,37,,29,24,0,-,6.0,3,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
27,FH Allen,Washington Sundar,DP Conway,6,0,6,43,,35,25,0,-,1.0,4,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
28,FH Allen,Washington Sundar,DP Conway,0,0,0,43,,35,26,1,-,2.0,4,caught,FH Allen,SA Yadav,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
29,MS Chapman,Washington Sundar,DP Conway,0,0,0,43,,0,1,1,-,3.0,4,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
30,MS Chapman,Washington Sundar,DP Conway,0,0,0,43,,0,2,1,-,4.0,4,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
31,MS Chapman,Washington Sundar,DP Conway,0,0,0,43,,0,3,1,-,5.0,4,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
32,MS Chapman,Washington Sundar,DP Conway,0,0,0,43,,0,4,2,-,6.0,4,caught and bowled,MS Chapman,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
33,DP Conway,DJ Hooda,GD Phillips,1,0,1,44,,6,4,2,-,1.0,5,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
34,GD Phillips,DJ Hooda,DP Conway,0,0,0,44,,0,1,2,-,2.0,5,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
35,GD Phillips,DJ Hooda,DP Conway,1,0,1,45,,1,2,2,-,3.0,5,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
36,DP Conway,DJ Hooda,GD Phillips,0,0,0,45,,6,5,2,-,4.0,5,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
37,DP Conway,DJ Hooda,GD Phillips,1,0,1,46,,7,6,2,-,5.0,5,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
38,GD Phillips,DJ Hooda,DP Conway,1,0,1,47,,2,3,2,-,6.0,5,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
39,GD Phillips,Washington Sundar,DP Conway,0,0,0,47,,2,4,2,-,1.0,6,0,,,,field,India,1,"JSCA International Stadium Complex, Ranchi",2023,01,New Zealand_India_2023-01-27,New Zealand,New Zealand,India,True,176
