,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RR Hendricks,MP Stoinis,T Bavuma,1,0,1,1,163,1,1,0,1,-,0,,,1,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
1,T Bavuma,MP Stoinis,RR Hendricks,0,0,0,1,163,0,1,1,2,-,caught,T Bavuma,TM Head,1,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
2,MP Breetzke,MP Stoinis,RR Hendricks,0,1,1,2,162,0,1,1,3,wides,0,,,1,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
3,MP Breetzke,MP Stoinis,RR Hendricks,0,0,0,2,162,0,2,1,4,-,0,,,1,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
4,MP Breetzke,MP Stoinis,RR Hendricks,4,0,4,6,158,4,3,1,5,-,0,,,1,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
5,MP Breetzke,MP Stoinis,RR Hendricks,1,0,1,7,157,5,4,1,6,-,0,,,1,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
6,RR Hendricks,MP Stoinis,MP Breetzke,0,0,0,7,157,1,2,1,7,-,0,,,1,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
7,MP Breetzke,SH Johnson,RR Hendricks,0,0,0,7,157,5,5,1,1,-,0,,,2,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
8,MP Breetzke,SH Johnson,RR Hendricks,0,0,0,7,157,5,6,1,2,-,0,,,2,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
9,MP Breetzke,SH Johnson,RR Hendricks,0,1,1,8,156,5,7,1,3,legbyes,0,,,2,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
10,RR Hendricks,SH Johnson,MP Breetzke,2,0,2,10,154,3,3,1,4,-,0,,,2,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
11,RR Hendricks,SH Johnson,MP Breetzke,0,0,0,10,154,3,4,1,5,-,0,,,2,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
12,RR Hendricks,SH Johnson,MP Breetzke,1,0,1,11,153,4,5,1,6,-,0,,,2,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
13,RR Hendricks,MP Stoinis,MP Breetzke,1,0,1,12,152,5,6,1,1,-,0,,,3,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
14,MP Breetzke,MP Stoinis,RR Hendricks,0,0,0,12,152,5,8,2,2,-,caught,MP Breetzke,TH David,3,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
15,AK Markram,MP Stoinis,RR Hendricks,1,0,1,13,151,1,1,2,3,-,0,,,3,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
16,RR Hendricks,MP Stoinis,AK Markram,0,0,0,13,151,5,7,2,4,-,0,,,3,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
17,RR Hendricks,MP Stoinis,AK Markram,1,0,1,14,150,6,8,2,5,-,0,,,3,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
18,AK Markram,MP Stoinis,RR Hendricks,1,0,1,15,149,2,2,2,6,-,0,,,3,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
19,AK Markram,SH Johnson,RR Hendricks,0,0,0,15,149,2,3,2,1,-,0,,,4,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
20,AK Markram,SH Johnson,RR Hendricks,4,0,4,19,145,6,4,2,2,-,0,,,4,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
21,AK Markram,SH Johnson,RR Hendricks,0,0,0,19,145,6,5,2,3,-,0,,,4,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
22,AK Markram,SH Johnson,RR Hendricks,2,0,2,21,143,8,6,2,4,-,0,,,4,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
23,AK Markram,SH Johnson,RR Hendricks,0,1,1,22,142,8,7,2,5,wides,0,,,4,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
24,AK Markram,SH Johnson,RR Hendricks,1,0,1,23,141,9,8,2,6,-,0,,,4,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
25,RR Hendricks,SH Johnson,AK Markram,4,0,4,27,137,10,9,2,7,-,0,,,4,,bat,South Africa,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,South Africa,Australia,190
