,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,PD Salt,AJ Hosein,JC Buttler,0,0,0,0,0,1,1,1,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
1,PD Salt,AJ Hosein,JC Buttler,1,0,1,1,1,2,2,1,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
2,JC Buttler,AJ Hosein,PD Salt,0,0,0,1,0,1,3,1,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
3,JC Buttler,AJ Hosein,PD Salt,4,0,4,5,4,2,4,1,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
4,JC Buttler,AJ Hosein,PD Salt,0,0,0,5,4,3,5,1,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
5,JC Buttler,AJ Hosein,PD Salt,0,0,0,5,4,4,6,1,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
6,PD Salt,JO Holder,JC Buttler,1,0,1,6,2,3,1,2,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
7,JC Buttler,JO Holder,PD Salt,1,0,1,7,5,5,2,2,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
8,PD Salt,JO Holder,JC Buttler,0,0,0,7,2,4,3,2,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
9,PD Salt,JO Holder,JC Buttler,0,0,0,7,2,5,4,2,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
10,PD Salt,JO Holder,JC Buttler,1,0,1,8,3,6,5,2,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
11,JC Buttler,JO Holder,PD Salt,0,0,0,8,5,6,6,2,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
12,PD Salt,AJ Hosein,JC Buttler,1,0,1,9,4,7,1,3,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
13,JC Buttler,AJ Hosein,PD Salt,0,0,0,9,5,7,2,3,caught,JC Buttler,KR Mayers,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
14,WG Jacks,AJ Hosein,PD Salt,0,0,0,9,0,1,3,3,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
15,WG Jacks,AJ Hosein,PD Salt,4,0,4,13,4,2,4,3,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
16,WG Jacks,AJ Hosein,PD Salt,1,0,1,14,5,3,5,3,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
17,PD Salt,AJ Hosein,WG Jacks,1,0,1,15,5,8,6,3,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
18,PD Salt,JO Holder,WG Jacks,0,1,1,16,5,9,1,4,0,,,wides,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
19,PD Salt,JO Holder,WG Jacks,4,0,4,20,9,10,2,4,0,,,-,field,England,2,"National Cricket Stadium, St George's, Grenada",2023-12-14,West Indies,England,West Indies
