,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,BA King,MM Ali,KR Mayers,1,0,1,1,170,1,1,0,1,1,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
1,KR Mayers,MM Ali,BA King,0,0,0,1,170,0,1,0,2,1,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
2,KR Mayers,MM Ali,BA King,0,0,0,1,170,0,2,0,3,1,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
3,KR Mayers,MM Ali,BA King,0,0,0,1,170,0,3,0,4,1,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
4,KR Mayers,MM Ali,BA King,1,0,1,2,169,1,4,0,5,1,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
5,BA King,MM Ali,KR Mayers,1,0,1,3,168,2,2,0,6,1,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
6,BA King,CR Woakes,KR Mayers,0,1,1,4,167,2,3,0,1,2,wides,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
7,BA King,CR Woakes,KR Mayers,1,0,1,5,166,3,4,0,2,2,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
8,KR Mayers,CR Woakes,BA King,0,0,0,5,166,1,5,0,3,2,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
9,KR Mayers,CR Woakes,BA King,0,0,0,5,166,1,6,0,4,2,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
10,KR Mayers,CR Woakes,BA King,1,0,1,6,165,2,7,0,5,2,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
11,BA King,CR Woakes,KR Mayers,0,0,0,6,165,3,5,0,6,2,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
12,BA King,CR Woakes,KR Mayers,1,0,1,7,164,4,6,0,7,2,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
13,BA King,MM Ali,KR Mayers,0,0,0,7,164,4,7,0,1,3,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
14,BA King,MM Ali,KR Mayers,0,0,0,7,164,4,8,0,2,3,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
15,BA King,MM Ali,KR Mayers,6,0,6,13,158,10,9,0,3,3,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
16,BA King,MM Ali,KR Mayers,0,0,0,13,158,10,10,0,4,3,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
17,BA King,MM Ali,KR Mayers,0,0,0,13,158,10,11,0,5,3,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
18,BA King,MM Ali,KR Mayers,6,0,6,19,152,16,12,0,6,3,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
19,KR Mayers,CR Woakes,BA King,4,0,4,23,148,6,8,0,1,4,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
20,KR Mayers,CR Woakes,BA King,4,0,4,27,144,10,9,0,2,4,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
21,KR Mayers,CR Woakes,BA King,0,0,0,27,144,10,10,0,3,4,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
22,KR Mayers,CR Woakes,BA King,0,0,0,27,144,10,11,0,4,4,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
23,KR Mayers,CR Woakes,BA King,1,0,1,28,143,11,12,0,5,4,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
24,BA King,CR Woakes,KR Mayers,1,0,1,29,142,17,13,0,6,4,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
25,BA King,SM Curran,KR Mayers,0,0,0,29,142,17,14,0,1,5,-,0,,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-14,West Indies,West Indies,England
