,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Liton Das,Fazalhaq Farooqi,Rony Talukdar,1,0,1,1,153,1,1,0,-,1.0,0,,,0,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Right hand Bat,Left arm Fast
1,Rony Talukdar,Fazalhaq Farooqi,Liton Das,0,0,0,1,153,0,1,0,-,2.0,0,,,0,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Right hand Bat,Left arm Fast
2,Rony Talukdar,Fazalhaq Farooqi,Liton Das,0,0,0,1,153,0,2,0,-,3.0,0,,,0,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Right hand Bat,Left arm Fast
3,Rony Talukdar,Fazalhaq Farooqi,Liton Das,4,0,4,5,149,4,3,0,-,4.0,0,,,0,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Right hand Bat,Left arm Fast
4,Rony Talukdar,Fazalhaq Farooqi,Liton Das,0,0,0,5,149,4,4,0,-,5.0,0,,,0,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Right hand Bat,Left arm Fast
5,Rony Talukdar,Fazalhaq Farooqi,Liton Das,0,0,0,5,149,4,5,1,-,6.0,bowled,Rony Talukdar,,0,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Right hand Bat,Left arm Fast
6,Liton Das,Mujeeb Ur Rahman,Nazmul Hossain Shanto,0,0,0,5,149,1,2,1,-,1.0,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Right arm Offbreak
7,Liton Das,Mujeeb Ur Rahman,Nazmul Hossain Shanto,2,0,2,7,147,3,3,1,-,2.0,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Right arm Offbreak
8,Liton Das,Mujeeb Ur Rahman,Nazmul Hossain Shanto,1,0,1,8,146,4,4,1,-,3.0,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Right arm Offbreak
9,Nazmul Hossain Shanto,Mujeeb Ur Rahman,Liton Das,0,0,0,8,146,0,1,1,-,4.0,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Left hand Bat,Right hand Bat,Right arm Offbreak
10,Nazmul Hossain Shanto,Mujeeb Ur Rahman,Liton Das,1,0,1,9,145,1,2,1,-,5.0,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Left hand Bat,Right hand Bat,Right arm Offbreak
11,Liton Das,Mujeeb Ur Rahman,Nazmul Hossain Shanto,0,0,0,9,145,4,5,1,-,6.0,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Right arm Offbreak
12,Nazmul Hossain Shanto,Fazalhaq Farooqi,Liton Das,1,0,1,10,144,2,3,1,-,1.0,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Left hand Bat,Right hand Bat,Left arm Fast
13,Liton Das,Fazalhaq Farooqi,Nazmul Hossain Shanto,2,0,2,12,142,6,6,1,-,2.0,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Left arm Fast
14,Liton Das,Fazalhaq Farooqi,Nazmul Hossain Shanto,0,0,0,12,142,6,7,1,-,3.0,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Left arm Fast
15,Liton Das,Fazalhaq Farooqi,Nazmul Hossain Shanto,0,0,0,12,142,6,8,1,-,4.0,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Left arm Fast
16,Liton Das,Fazalhaq Farooqi,Nazmul Hossain Shanto,0,0,0,12,142,6,9,1,-,5.0,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Left arm Fast
17,Liton Das,Fazalhaq Farooqi,Nazmul Hossain Shanto,4,0,4,16,138,10,10,1,-,6.0,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Left arm Fast
18,Nazmul Hossain Shanto,Mujeeb Ur Rahman,Liton Das,2,0,2,18,136,4,4,1,-,1.0,0,,,3,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Left hand Bat,Right hand Bat,Right arm Offbreak
19,Nazmul Hossain Shanto,Mujeeb Ur Rahman,Liton Das,1,0,1,19,135,5,5,1,-,2.0,0,,,3,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Left hand Bat,Right hand Bat,Right arm Offbreak
20,Liton Das,Mujeeb Ur Rahman,Nazmul Hossain Shanto,0,0,0,19,135,10,11,1,-,3.0,0,,,3,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Right arm Offbreak
21,Liton Das,Mujeeb Ur Rahman,Nazmul Hossain Shanto,1,0,1,20,134,11,12,1,-,4.0,0,,,3,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Right hand Bat,Left hand Bat,Right arm Offbreak
22,Nazmul Hossain Shanto,Mujeeb Ur Rahman,Liton Das,1,0,1,21,133,6,6,1,-,5.0,0,,,3,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023,07,Afghanistan_Bangladesh_2023-07-14,Bangladesh,Bangladesh,Afghanistan,True,157,Left hand Bat,Right hand Bat,Right arm Offbreak
