,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,BA King,Arshdeep Singh,KR Mayers,0,0,0,0,116,0,1,0,1,1,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
1,BA King,Arshdeep Singh,KR Mayers,2,0,2,2,114,2,2,0,2,1,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
2,BA King,Arshdeep Singh,KR Mayers,4,0,4,6,110,6,3,0,3,1,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
3,BA King,Arshdeep Singh,KR Mayers,1,0,1,7,109,7,4,0,4,1,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
4,KR Mayers,Arshdeep Singh,BA King,0,0,0,7,109,0,1,0,5,1,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
5,KR Mayers,Arshdeep Singh,BA King,0,0,0,7,109,0,2,0,6,1,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
6,BA King,Mukesh Kumar,KR Mayers,0,0,0,7,109,7,5,0,1,2,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
7,BA King,Mukesh Kumar,KR Mayers,4,0,4,11,105,11,6,0,2,2,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
8,BA King,Mukesh Kumar,KR Mayers,4,0,4,15,101,15,7,0,3,2,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
9,BA King,Mukesh Kumar,KR Mayers,0,0,0,15,101,15,8,0,4,2,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
10,BA King,Mukesh Kumar,KR Mayers,1,0,1,16,100,16,9,0,5,2,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
11,KR Mayers,Mukesh Kumar,BA King,0,0,0,16,100,0,3,0,6,2,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
12,BA King,Arshdeep Singh,KR Mayers,0,0,0,16,100,16,10,0,1,3,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
13,BA King,Arshdeep Singh,KR Mayers,4,0,4,20,96,20,11,0,2,3,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
14,BA King,Arshdeep Singh,KR Mayers,0,0,0,20,96,20,12,0,3,3,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
15,BA King,Arshdeep Singh,KR Mayers,1,0,1,21,95,21,13,0,4,3,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
16,KR Mayers,Arshdeep Singh,BA King,0,0,0,21,95,0,4,0,5,3,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
17,KR Mayers,Arshdeep Singh,BA King,0,0,0,21,95,0,5,0,6,3,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
18,BA King,AR Patel,KR Mayers,1,0,1,22,94,22,14,0,1,4,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
19,KR Mayers,AR Patel,BA King,1,0,1,23,93,1,6,0,2,4,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
20,BA King,AR Patel,KR Mayers,0,0,0,23,93,22,15,0,3,4,,0,,,-,bat,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,08,West Indies_India_2023-08-03,West Indies,West Indies,India,149
