,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Ishan Kishan,OC McCoy,Shubman Gill,0,0,0,0,149,0,1,0,1,1,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
1,Ishan Kishan,OC McCoy,Shubman Gill,0,0,0,0,149,0,2,0,2,1,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
2,Ishan Kishan,OC McCoy,Shubman Gill,0,0,0,0,149,0,3,0,3,1,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
3,Ishan Kishan,OC McCoy,Shubman Gill,0,0,0,0,149,0,4,0,4,1,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
4,Ishan Kishan,OC McCoy,Shubman Gill,1,0,1,1,148,1,5,0,5,1,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
5,Shubman Gill,OC McCoy,Ishan Kishan,0,0,0,1,148,0,1,0,6,1,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
6,Ishan Kishan,AJ Hosein,Shubman Gill,6,0,6,7,142,7,6,0,1,2,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
7,Ishan Kishan,AJ Hosein,Shubman Gill,0,0,0,7,142,7,7,0,2,2,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
8,Ishan Kishan,AJ Hosein,Shubman Gill,1,0,1,8,141,8,8,0,3,2,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
9,Shubman Gill,AJ Hosein,Ishan Kishan,0,0,0,8,141,0,2,0,4,2,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
10,Shubman Gill,AJ Hosein,Ishan Kishan,0,0,0,8,141,0,3,0,5,2,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
11,Shubman Gill,AJ Hosein,Ishan Kishan,1,0,1,9,140,1,4,0,6,2,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
12,Shubman Gill,AS Joseph,Ishan Kishan,0,1,1,10,139,1,5,0,1,3,wides,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
13,Shubman Gill,AS Joseph,Ishan Kishan,0,0,0,10,139,1,6,0,2,3,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
14,Shubman Gill,AS Joseph,Ishan Kishan,0,0,0,10,139,1,7,0,3,3,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
15,Shubman Gill,AS Joseph,Ishan Kishan,0,0,0,10,139,1,8,0,4,3,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
16,Shubman Gill,AS Joseph,Ishan Kishan,6,0,6,16,133,7,9,0,5,3,-,0,,,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
17,Shubman Gill,AS Joseph,Ishan Kishan,0,0,0,16,133,7,10,1,6,3,-,caught,Shubman Gill,SO Hetmyer,bat,India,1,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,India,West Indies
