,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,YBK Jaiswal,MR Adair,RD Gaikwad,0,0,0,0,139,0,1,0,1,1,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
1,YBK Jaiswal,MR Adair,RD Gaikwad,2,0,2,2,137,2,2,0,2,1,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
2,YBK Jaiswal,MR Adair,RD Gaikwad,4,0,4,6,133,6,3,0,3,1,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
3,YBK Jaiswal,MR Adair,RD Gaikwad,0,0,0,6,133,6,4,0,4,1,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
4,YBK Jaiswal,MR Adair,RD Gaikwad,4,0,4,10,129,10,5,0,5,1,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
5,YBK Jaiswal,MR Adair,RD Gaikwad,0,0,0,10,129,10,6,0,6,1,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
6,RD Gaikwad,J Little,YBK Jaiswal,0,0,0,10,129,0,1,0,1,2,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
7,RD Gaikwad,J Little,YBK Jaiswal,1,0,1,11,128,1,2,0,2,2,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
8,YBK Jaiswal,J Little,RD Gaikwad,0,1,1,12,127,10,7,0,3,2,,legbyes,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
9,RD Gaikwad,J Little,YBK Jaiswal,1,0,1,13,126,2,3,0,4,2,,-,0,,,field,India,2,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,India,Ireland
