,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,FH Allen,Shaheen Shah Afridi,DP Conway,1,0,1,1,109,1,1,0,1,0,,,1,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
1,DP Conway,Shaheen Shah Afridi,FH Allen,0,0,0,1,109,0,1,1,2,caught,DP Conway,Saim Ayub,1,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
2,KS Williamson,Shaheen Shah Afridi,FH Allen,0,0,0,1,109,0,1,1,3,0,,,1,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
3,KS Williamson,Shaheen Shah Afridi,FH Allen,0,0,0,1,109,0,2,1,4,0,,,1,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
4,KS Williamson,Shaheen Shah Afridi,FH Allen,0,0,0,1,109,0,3,1,5,0,,,1,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
5,KS Williamson,Shaheen Shah Afridi,FH Allen,0,0,0,1,109,0,4,1,6,0,,,1,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
6,FH Allen,Haris Rauf,KS Williamson,1,0,1,2,108,2,2,1,1,0,,,2,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
7,KS Williamson,Haris Rauf,FH Allen,0,0,0,2,108,0,5,1,2,0,,,2,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
8,KS Williamson,Haris Rauf,FH Allen,3,0,3,5,105,3,6,1,3,0,,,2,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
9,FH Allen,Haris Rauf,KS Williamson,0,0,0,5,105,2,3,1,4,0,,,2,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
10,FH Allen,Haris Rauf,KS Williamson,1,0,1,6,104,3,4,1,5,0,,,2,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
11,KS Williamson,Haris Rauf,FH Allen,0,0,0,6,104,3,7,1,6,0,,,2,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
12,FH Allen,Shaheen Shah Afridi,KS Williamson,6,0,6,12,98,9,5,1,1,0,,,3,,-,field,Pakistan,1,"Eden Park, Auckland",2024,01,New Zealand_Pakistan_2024-01-12,New Zealand,New Zealand,Pakistan,226
