,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Sediqullah Atal,SMLD Samarakoon,Mohammad Shahzad,0,0,0,0,212,0,1,0,1,1,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
1,Sediqullah Atal,SMLD Samarakoon,Mohammad Shahzad,0,0,0,0,212,0,2,0,2,1,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
2,Sediqullah Atal,SMLD Samarakoon,Mohammad Shahzad,0,0,0,0,212,0,3,0,3,1,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
3,Sediqullah Atal,SMLD Samarakoon,Mohammad Shahzad,0,0,0,0,212,0,4,0,4,1,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
4,Sediqullah Atal,SMLD Samarakoon,Mohammad Shahzad,0,0,0,0,212,0,5,0,5,1,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
5,Sediqullah Atal,SMLD Samarakoon,Mohammad Shahzad,1,0,1,1,211,1,6,0,6,1,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
6,Sediqullah Atal,N Thushara,Mohammad Shahzad,0,0,0,1,211,1,7,1,1,2,-,bowled,Sediqullah Atal,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
7,Noor Ali Zadran,N Thushara,Mohammad Shahzad,1,0,1,2,210,1,1,1,2,2,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
8,Mohammad Shahzad,N Thushara,Noor Ali Zadran,0,0,0,2,210,0,1,1,3,2,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
9,Mohammad Shahzad,N Thushara,Noor Ali Zadran,1,0,1,3,209,1,2,1,4,2,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
10,Noor Ali Zadran,N Thushara,Mohammad Shahzad,0,1,1,4,208,1,2,1,5,2,wides,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
11,Noor Ali Zadran,N Thushara,Mohammad Shahzad,4,0,4,8,204,5,3,1,6,2,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
12,Noor Ali Zadran,N Thushara,Mohammad Shahzad,1,0,1,9,203,6,4,1,7,2,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
13,Noor Ali Zadran,SMLD Samarakoon,Mohammad Shahzad,1,0,1,10,202,7,5,1,1,3,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
14,Mohammad Shahzad,SMLD Samarakoon,Noor Ali Zadran,0,0,0,10,202,1,3,1,2,3,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
15,Mohammad Shahzad,SMLD Samarakoon,Noor Ali Zadran,0,0,0,10,202,1,4,1,3,3,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
16,Mohammad Shahzad,SMLD Samarakoon,Noor Ali Zadran,1,1,2,12,200,2,5,1,4,3,noballs,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
17,Noor Ali Zadran,SMLD Samarakoon,Mohammad Shahzad,0,0,0,12,200,7,6,1,5,3,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
18,Noor Ali Zadran,SMLD Samarakoon,Mohammad Shahzad,0,0,0,12,200,7,7,1,6,3,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
19,Noor Ali Zadran,SMLD Samarakoon,Mohammad Shahzad,1,0,1,13,199,8,8,1,7,3,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
20,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,13,199,8,9,1,1,4,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
21,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,13,199,8,10,1,2,4,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
22,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,13,199,8,11,1,3,4,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
23,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,1,0,1,14,198,9,12,1,4,4,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
24,Mohammad Shahzad,N Vimukthi,Noor Ali Zadran,0,0,0,14,198,2,6,1,5,4,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
25,Mohammad Shahzad,N Vimukthi,Noor Ali Zadran,0,0,0,14,198,2,7,1,6,4,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
26,Noor Ali Zadran,N Thushara,Mohammad Shahzad,1,0,1,15,197,10,13,1,1,5,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
27,Mohammad Shahzad,N Thushara,Noor Ali Zadran,0,0,0,15,197,2,8,1,2,5,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
28,Mohammad Shahzad,N Thushara,Noor Ali Zadran,4,0,4,19,193,6,9,1,3,5,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
29,Mohammad Shahzad,N Thushara,Noor Ali Zadran,0,1,1,20,192,6,10,1,4,5,wides,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
30,Mohammad Shahzad,N Thushara,Noor Ali Zadran,0,0,0,20,192,6,11,1,5,5,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
31,Mohammad Shahzad,N Thushara,Noor Ali Zadran,1,0,1,21,191,7,12,1,6,5,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
32,Noor Ali Zadran,N Thushara,Mohammad Shahzad,1,0,1,22,190,11,14,1,7,5,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
33,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,22,190,11,15,1,1,6,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
34,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,22,190,11,16,1,2,6,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
35,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,22,190,11,17,1,3,6,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
36,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,22,190,11,18,1,4,6,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
37,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,22,190,11,19,1,5,6,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
38,Noor Ali Zadran,N Vimukthi,Mohammad Shahzad,0,0,0,22,190,11,20,1,6,6,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
39,Mohammad Shahzad,V Viyaskanth,Noor Ali Zadran,1,0,1,23,189,8,13,1,1,7,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
40,Noor Ali Zadran,V Viyaskanth,Mohammad Shahzad,1,0,1,24,188,12,21,1,2,7,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
41,Mohammad Shahzad,V Viyaskanth,Noor Ali Zadran,0,0,0,24,188,8,14,1,3,7,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
42,Mohammad Shahzad,V Viyaskanth,Noor Ali Zadran,1,0,1,25,187,9,15,1,4,7,-,0,,,,field,Sri Lanka,1,Zhejiang University of Technology Cricket Field,2023,10,Afghanistan_Sri Lanka_2023-10-04,Afghanistan,Afghanistan,Sri Lanka,116
