,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Sediqullah Atal,Aamer Jamal,Mohammad Shahzad,4,0,4,4,111,4,1,0,1,1,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
1,Sediqullah Atal,Aamer Jamal,Mohammad Shahzad,0,0,0,4,111,4,2,0,2,1,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
2,Sediqullah Atal,Aamer Jamal,Mohammad Shahzad,1,0,1,5,110,5,3,0,3,1,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
3,Mohammad Shahzad,Aamer Jamal,Sediqullah Atal,0,0,0,5,110,0,1,0,4,1,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
4,Mohammad Shahzad,Aamer Jamal,Sediqullah Atal,4,0,4,9,106,4,2,0,5,1,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
5,Mohammad Shahzad,Aamer Jamal,Sediqullah Atal,0,0,0,9,106,4,3,0,6,1,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
6,Sediqullah Atal,Qasim Akram,Mohammad Shahzad,0,0,0,9,106,5,4,1,1,2,-,lbw,Sediqullah Atal,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
7,Noor Ali Zadran,Qasim Akram,Mohammad Shahzad,0,0,0,9,106,0,1,1,2,2,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
8,Noor Ali Zadran,Qasim Akram,Mohammad Shahzad,0,0,0,9,106,0,2,1,3,2,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
9,Noor Ali Zadran,Qasim Akram,Mohammad Shahzad,4,0,4,13,102,4,3,1,4,2,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
10,Noor Ali Zadran,Qasim Akram,Mohammad Shahzad,0,0,0,13,102,4,4,1,5,2,-,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
11,Noor Ali Zadran,Qasim Akram,Mohammad Shahzad,0,4,4,17,98,4,5,1,6,2,byes,0,,,field,Afghanistan,2,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Afghanistan,Pakistan
