,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Omair Yousuf,Gulbadin Naib,Mirza Baig,0,0,0,0,,0,1,0,1,-,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
1,Omair Yousuf,Gulbadin Naib,Mirza Baig,0,1,1,1,,0,2,0,2,wides,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
2,Omair Yousuf,Gulbadin Naib,Mirza Baig,0,1,1,2,,0,3,0,3,wides,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
3,Omair Yousuf,Gulbadin Naib,Mirza Baig,1,0,1,3,,1,4,0,4,-,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
4,Mirza Baig,Gulbadin Naib,Omair Yousuf,0,0,0,3,,0,1,0,5,-,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
5,Mirza Baig,Gulbadin Naib,Omair Yousuf,0,0,0,3,,0,2,0,6,-,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
6,Mirza Baig,Gulbadin Naib,Omair Yousuf,0,1,1,4,,0,3,0,7,wides,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
7,Mirza Baig,Gulbadin Naib,Omair Yousuf,0,0,0,4,,0,4,0,8,-,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
8,Mirza Baig,Gulbadin Naib,Omair Yousuf,0,0,0,4,,0,5,0,9,-,0,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
9,Omair Yousuf,Sharafuddin Ashraf,Mirza Baig,3,0,3,7,,4,5,0,1,-,1,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
10,Mirza Baig,Sharafuddin Ashraf,Omair Yousuf,0,0,0,7,,0,6,0,2,-,1,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
11,Mirza Baig,Sharafuddin Ashraf,Omair Yousuf,0,4,4,11,,0,7,0,3,byes,1,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
12,Mirza Baig,Sharafuddin Ashraf,Omair Yousuf,4,0,4,15,,4,8,0,4,-,1,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
13,Mirza Baig,Sharafuddin Ashraf,Omair Yousuf,0,0,0,15,,4,9,0,5,-,1,0,,,field,Afghanistan,1,Zhejiang University of Technology Cricket Field,2023,10,Pakistan_Afghanistan_2023-10-06,Afghanistan,Pakistan,Afghanistan,False,115
