,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,A Balbirnie,R Ngarava,PR Stirling,4,0,4,4,161,4,1,0,1,0,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
1,A Balbirnie,R Ngarava,PR Stirling,0,0,0,4,161,4,2,0,2,0,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
2,A Balbirnie,R Ngarava,PR Stirling,1,0,1,5,160,5,3,0,3,0,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
3,PR Stirling,R Ngarava,A Balbirnie,0,0,0,5,160,0,1,0,4,0,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
4,PR Stirling,R Ngarava,A Balbirnie,1,0,1,6,159,1,2,0,5,0,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
5,A Balbirnie,R Ngarava,PR Stirling,0,0,0,6,159,5,4,0,6,0,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
6,PR Stirling,B Muzarabani,A Balbirnie,2,0,2,8,157,3,3,0,1,1,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
7,PR Stirling,B Muzarabani,A Balbirnie,1,0,1,9,156,4,4,0,2,1,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
8,A Balbirnie,B Muzarabani,PR Stirling,0,0,0,9,156,5,5,0,3,1,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
9,A Balbirnie,B Muzarabani,PR Stirling,1,0,1,10,155,6,6,0,4,1,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
10,PR Stirling,B Muzarabani,A Balbirnie,0,0,0,10,155,4,5,0,5,1,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
11,PR Stirling,B Muzarabani,A Balbirnie,0,0,0,10,155,4,6,0,6,1,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
12,A Balbirnie,R Ngarava,PR Stirling,0,0,0,10,155,6,7,0,1,2,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
13,A Balbirnie,R Ngarava,PR Stirling,1,0,1,11,154,7,8,0,2,2,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
14,PR Stirling,R Ngarava,A Balbirnie,0,1,1,12,153,4,7,0,3,2,wides,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
15,PR Stirling,R Ngarava,A Balbirnie,0,0,0,12,153,4,8,0,4,2,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
16,PR Stirling,R Ngarava,A Balbirnie,2,0,2,14,151,6,9,0,5,2,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
17,PR Stirling,R Ngarava,A Balbirnie,4,0,4,18,147,10,10,0,6,2,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
18,PR Stirling,R Ngarava,A Balbirnie,0,0,0,18,147,10,11,1,7,2,-,bowled,PR Stirling,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
19,A Balbirnie,B Muzarabani,L Tucker,1,0,1,19,146,8,9,1,1,3,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
20,L Tucker,B Muzarabani,A Balbirnie,0,1,1,20,145,0,1,1,2,3,legbyes,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
21,A Balbirnie,B Muzarabani,L Tucker,0,0,0,20,145,8,10,1,3,3,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
22,A Balbirnie,B Muzarabani,L Tucker,0,0,0,20,145,8,11,2,4,3,-,caught,A Balbirnie,C Madande,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
23,HT Tector,B Muzarabani,L Tucker,0,0,0,20,145,0,1,2,5,3,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
24,HT Tector,B Muzarabani,L Tucker,0,0,0,20,145,0,2,2,6,3,-,0,,,field,Ireland,2,Harare Sports Club,2023,12,Zimbabwe_Ireland_2023-12-09,Ireland,Ireland,Zimbabwe,166
