,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,P Nissanka,R Ngarava,BKG Mendis,0,0,0,0,82,0,1,0,-,1.0,0,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Fast
1,P Nissanka,R Ngarava,BKG Mendis,1,0,1,1,81,1,2,0,-,2.0,0,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Fast
2,BKG Mendis,R Ngarava,P Nissanka,0,0,0,1,81,0,1,0,-,3.0,0,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
3,BKG Mendis,R Ngarava,P Nissanka,4,0,4,5,77,4,2,0,-,4.0,0,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
4,BKG Mendis,R Ngarava,P Nissanka,0,0,0,5,77,4,3,0,-,5.0,0,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
5,BKG Mendis,R Ngarava,P Nissanka,0,0,0,5,77,4,4,0,-,6.0,0,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
6,P Nissanka,B Muzarabani,BKG Mendis,1,0,1,6,76,2,3,0,-,1.0,1,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Right arm Fast
7,BKG Mendis,B Muzarabani,P Nissanka,0,0,0,6,76,4,5,0,-,2.0,1,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Fast
8,BKG Mendis,B Muzarabani,P Nissanka,0,0,0,6,76,4,6,0,-,3.0,1,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Fast
9,BKG Mendis,B Muzarabani,P Nissanka,1,0,1,7,75,5,7,0,-,4.0,1,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Fast
10,P Nissanka,B Muzarabani,BKG Mendis,1,0,1,8,74,3,4,0,-,5.0,1,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Right arm Fast
11,BKG Mendis,B Muzarabani,P Nissanka,2,0,2,10,72,7,8,0,-,6.0,1,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Fast
12,P Nissanka,R Ngarava,BKG Mendis,4,0,4,14,68,7,5,0,-,1.0,2,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Fast
13,P Nissanka,R Ngarava,BKG Mendis,1,0,1,15,67,8,6,0,-,2.0,2,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Fast
14,BKG Mendis,R Ngarava,P Nissanka,1,0,1,16,66,8,9,0,-,3.0,2,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
15,P Nissanka,R Ngarava,BKG Mendis,4,0,4,20,62,12,7,0,-,4.0,2,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Fast
16,P Nissanka,R Ngarava,BKG Mendis,0,0,0,20,62,12,8,0,-,5.0,2,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Fast
17,P Nissanka,R Ngarava,BKG Mendis,0,0,0,20,62,12,9,0,-,6.0,2,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Fast
18,BKG Mendis,B Muzarabani,P Nissanka,1,0,1,21,61,9,10,0,-,1.0,3,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Fast
19,P Nissanka,B Muzarabani,BKG Mendis,4,0,4,25,57,16,10,0,-,2.0,3,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Right arm Fast
20,P Nissanka,B Muzarabani,BKG Mendis,1,0,1,26,56,17,11,0,-,3.0,3,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Right arm Fast
21,BKG Mendis,B Muzarabani,P Nissanka,4,0,4,30,52,13,11,0,-,4.0,3,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Fast
22,BKG Mendis,B Muzarabani,P Nissanka,0,0,0,30,52,13,12,0,-,5.0,3,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Fast
23,BKG Mendis,B Muzarabani,P Nissanka,1,0,1,31,51,14,13,0,-,6.0,3,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Fast
24,BKG Mendis,WP Masakadza,P Nissanka,4,0,4,35,47,18,14,0,-,1.0,4,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Orthodox
25,BKG Mendis,WP Masakadza,P Nissanka,1,0,1,36,46,19,15,0,-,2.0,4,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Orthodox
26,P Nissanka,WP Masakadza,BKG Mendis,1,0,1,37,45,18,12,0,-,3.0,4,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Orthodox
27,BKG Mendis,WP Masakadza,P Nissanka,4,0,4,41,41,23,16,0,-,4.0,4,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Orthodox
28,BKG Mendis,WP Masakadza,P Nissanka,0,0,0,41,41,23,17,0,-,5.0,4,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Orthodox
29,BKG Mendis,WP Masakadza,P Nissanka,1,0,1,42,40,24,18,0,-,6.0,4,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Orthodox
30,BKG Mendis,R Ngarava,P Nissanka,0,0,0,42,40,24,19,0,-,1.0,5,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
31,BKG Mendis,R Ngarava,P Nissanka,0,0,0,42,40,24,20,0,-,2.0,5,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
32,BKG Mendis,R Ngarava,P Nissanka,1,0,1,43,39,25,21,0,-,3.0,5,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
33,P Nissanka,R Ngarava,BKG Mendis,0,1,1,44,38,18,13,0,legbyes,4.0,5,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Fast
34,BKG Mendis,R Ngarava,P Nissanka,6,0,6,50,32,31,22,0,-,5.0,5,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
35,BKG Mendis,R Ngarava,P Nissanka,0,0,0,50,32,31,23,0,-,6.0,5,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Fast
36,P Nissanka,Sikandar Raza,BKG Mendis,1,0,1,51,31,19,14,0,-,1.0,6,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Right arm Offbreak
37,BKG Mendis,Sikandar Raza,P Nissanka,1,0,1,52,30,32,24,0,-,2.0,6,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Offbreak
38,P Nissanka,Sikandar Raza,BKG Mendis,1,0,1,53,29,20,15,0,-,3.0,6,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Right arm Offbreak
39,BKG Mendis,Sikandar Raza,P Nissanka,1,0,1,54,28,33,25,0,-,4.0,6,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Right arm Offbreak
40,P Nissanka,Sikandar Raza,BKG Mendis,4,0,4,58,24,24,16,0,-,5.0,6,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Right arm Offbreak
41,P Nissanka,Sikandar Raza,BKG Mendis,1,0,1,59,23,25,17,0,-,6.0,6,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Right arm Offbreak
42,P Nissanka,SC Williams,BKG Mendis,4,0,4,63,19,29,18,0,-,1.0,7,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Orthodox
43,P Nissanka,SC Williams,BKG Mendis,1,0,1,64,18,30,19,0,-,2.0,7,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,,Right hand Bat,Left arm Orthodox
44,BKG Mendis,SC Williams,P Nissanka,0,0,0,64,18,33,26,0,-,3.0,7,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Orthodox
45,BKG Mendis,SC Williams,P Nissanka,0,0,0,64,18,33,27,1,-,4.0,7,bowled,BKG Mendis,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-18,Sri Lanka,Sri Lanka,Zimbabwe,True,88,Right hand Bat,,Left arm Orthodox
