,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,P Nissanka,Fazalhaq Farooqi,BKG Mendis,0,0,0,0,,0,1,0,-,1.0,0,,,0,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
1,P Nissanka,Fazalhaq Farooqi,BKG Mendis,2,0,2,2,,2,2,0,-,2.0,0,,,0,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
2,P Nissanka,Fazalhaq Farooqi,BKG Mendis,4,0,4,6,,6,3,0,-,3.0,0,,,0,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
3,P Nissanka,Fazalhaq Farooqi,BKG Mendis,0,1,1,7,,6,3,0,wides,3.0,0,,,0,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
4,P Nissanka,Fazalhaq Farooqi,BKG Mendis,0,0,0,7,,6,4,1,-,4.0,caught,P Nissanka,Rahmanullah Gurbaz,0,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
5,DM de Silva,Fazalhaq Farooqi,BKG Mendis,0,0,0,7,,0,1,1,-,5.0,0,,,0,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
6,DM de Silva,Fazalhaq Farooqi,BKG Mendis,1,0,1,8,,1,2,1,-,6.0,0,,,0,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
7,DM de Silva,Naveen-ul-Haq,BKG Mendis,0,0,0,8,,1,3,1,-,1.0,0,,,1,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
8,DM de Silva,Naveen-ul-Haq,BKG Mendis,2,0,2,10,,3,4,1,-,2.0,0,,,1,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
9,DM de Silva,Naveen-ul-Haq,BKG Mendis,2,0,2,12,,5,5,1,-,3.0,0,,,1,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
10,DM de Silva,Naveen-ul-Haq,BKG Mendis,4,0,4,16,,9,6,1,-,4.0,0,,,1,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
11,DM de Silva,Naveen-ul-Haq,BKG Mendis,1,0,1,17,,10,7,1,-,5.0,0,,,1,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
