,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,DM de Silva,Shoriful Islam,BKG Mendis,,1,0,1,1,164,1,1,0,1,1,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
1,BKG Mendis,Shoriful Islam,DM de Silva,,0,0,0,1,164,0,1,0,2,1,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
2,BKG Mendis,Shoriful Islam,DM de Silva,,1,0,1,2,163,1,2,0,3,1,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
3,DM de Silva,Shoriful Islam,BKG Mendis,,0,0,0,2,163,1,2,0,4,1,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
4,DM de Silva,Shoriful Islam,BKG Mendis,,0,0,0,2,163,1,3,0,5,1,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
5,DM de Silva,Shoriful Islam,BKG Mendis,"{'by': 'Bangladesh', 'umpire': 'Sharfuddoula', 'batter': 'DM de Silva', 'decision': 'struck down', 'type': 'wicket'}",0,0,0,2,163,1,4,0,6,1,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
6,BKG Mendis,Taskin Ahmed,DM de Silva,,0,0,0,2,163,1,3,0,1,2,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
7,BKG Mendis,Taskin Ahmed,DM de Silva,,0,0,0,2,163,1,4,0,2,2,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
8,BKG Mendis,Taskin Ahmed,DM de Silva,,1,0,1,3,162,2,5,0,3,2,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
9,DM de Silva,Taskin Ahmed,BKG Mendis,,0,0,0,3,162,1,5,0,4,2,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
10,DM de Silva,Taskin Ahmed,BKG Mendis,,1,0,1,4,161,2,6,0,5,2,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
11,BKG Mendis,Taskin Ahmed,DM de Silva,,4,0,4,8,157,6,6,0,6,2,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
12,DM de Silva,Shoriful Islam,BKG Mendis,,0,0,0,8,157,2,7,0,1,3,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
13,DM de Silva,Shoriful Islam,BKG Mendis,,1,0,1,9,156,3,8,0,2,3,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
14,BKG Mendis,Shoriful Islam,DM de Silva,,1,0,1,10,155,7,7,0,3,3,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
15,DM de Silva,Shoriful Islam,BKG Mendis,,4,0,4,14,151,7,9,0,4,3,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
16,DM de Silva,Shoriful Islam,BKG Mendis,,0,1,1,15,150,7,10,0,5,3,legbyes,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
17,BKG Mendis,Shoriful Islam,DM de Silva,,0,2,2,17,148,7,8,0,6,3,wides,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
18,DM de Silva,Shoriful Islam,BKG Mendis,,1,0,1,18,147,8,11,0,7,3,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
19,DM de Silva,Taskin Ahmed,BKG Mendis,,0,0,0,18,147,8,12,1,1,4,-,caught,DM de Silva,Soumya Sarkar,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
20,PHKD Mendis,Taskin Ahmed,BKG Mendis,,0,0,0,18,147,0,1,1,2,4,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
21,PHKD Mendis,Taskin Ahmed,BKG Mendis,,0,4,4,22,143,0,2,1,3,4,byes,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
22,PHKD Mendis,Taskin Ahmed,BKG Mendis,,0,0,0,22,143,0,3,1,4,4,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
23,PHKD Mendis,Taskin Ahmed,BKG Mendis,,4,0,4,26,139,4,4,1,5,4,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
24,PHKD Mendis,Taskin Ahmed,BKG Mendis,,4,0,4,30,135,8,5,1,6,4,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
25,BKG Mendis,Mahedi Hasan,PHKD Mendis,,0,0,0,30,135,7,9,1,1,5,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
26,BKG Mendis,Mahedi Hasan,PHKD Mendis,,4,0,4,34,131,11,10,1,2,5,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
27,BKG Mendis,Mahedi Hasan,PHKD Mendis,,0,0,0,34,131,11,11,1,3,5,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
28,BKG Mendis,Mahedi Hasan,PHKD Mendis,,1,0,1,35,130,12,12,1,4,5,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
29,PHKD Mendis,Mahedi Hasan,BKG Mendis,,0,0,0,35,130,8,6,1,5,5,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
30,PHKD Mendis,Mahedi Hasan,BKG Mendis,,0,0,0,35,130,8,7,1,6,5,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
31,BKG Mendis,Mustafizur Rahman,PHKD Mendis,,4,0,4,39,126,16,13,1,1,6,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
32,BKG Mendis,Mustafizur Rahman,PHKD Mendis,,1,0,1,40,125,17,14,1,2,6,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
33,PHKD Mendis,Mustafizur Rahman,BKG Mendis,,1,0,1,41,124,9,8,1,3,6,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
34,BKG Mendis,Mustafizur Rahman,PHKD Mendis,,0,0,0,41,124,17,15,1,4,6,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
35,BKG Mendis,Mustafizur Rahman,PHKD Mendis,,0,0,0,41,124,17,16,1,5,6,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
36,BKG Mendis,Mustafizur Rahman,PHKD Mendis,,0,0,0,41,124,17,17,1,6,6,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
37,PHKD Mendis,Mahedi Hasan,BKG Mendis,,1,0,1,42,123,10,9,1,1,7,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
38,BKG Mendis,Mahedi Hasan,PHKD Mendis,,1,0,1,43,122,18,18,1,2,7,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
39,PHKD Mendis,Mahedi Hasan,BKG Mendis,,1,0,1,44,121,11,10,1,3,7,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
40,BKG Mendis,Mahedi Hasan,PHKD Mendis,,0,0,0,44,121,18,19,1,4,7,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
41,BKG Mendis,Mahedi Hasan,PHKD Mendis,,0,0,0,44,121,18,20,1,5,7,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
42,BKG Mendis,Mahedi Hasan,PHKD Mendis,,0,0,0,44,121,18,21,1,6,7,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
43,PHKD Mendis,Rishad Hossain,BKG Mendis,,1,0,1,45,120,12,11,1,1,8,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
44,BKG Mendis,Rishad Hossain,PHKD Mendis,,6,0,6,51,114,24,22,1,2,8,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
45,BKG Mendis,Rishad Hossain,PHKD Mendis,,1,0,1,52,113,25,23,1,3,8,-,0,,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
46,PHKD Mendis,Rishad Hossain,BKG Mendis,,0,0,0,52,113,12,12,2,4,8,-,caught,PHKD Mendis,Shoriful Islam,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Sri Lanka,Bangladesh,174
