,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Q de Kock,MW Forde,RR Hendricks,4,0,4,4,171,4,1,0,-,1.0,0,,,0,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Medium
1,Q de Kock,MW Forde,RR Hendricks,0,0,0,4,171,4,2,1,-,2.0,caught,Q de Kock,ADS Fletcher,0,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Medium
2,RD Rickelton,MW Forde,RR Hendricks,2,0,2,6,169,2,1,1,-,3.0,0,,,0,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Medium
3,RD Rickelton,MW Forde,RR Hendricks,0,0,0,6,169,2,2,1,-,4.0,0,,,0,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Medium
4,RD Rickelton,MW Forde,RR Hendricks,2,0,2,8,167,4,3,1,-,5.0,0,,,0,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Medium
5,RD Rickelton,MW Forde,RR Hendricks,1,0,1,9,166,5,4,1,-,6.0,0,,,0,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Medium
6,RD Rickelton,RL Chase,RR Hendricks,0,0,0,9,166,5,5,1,-,1.0,0,,,1,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Offbreak
7,RD Rickelton,RL Chase,RR Hendricks,1,0,1,10,165,6,6,1,-,2.0,0,,,1,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Offbreak
8,RR Hendricks,RL Chase,RD Rickelton,1,0,1,11,164,1,1,1,-,3.0,0,,,1,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Right hand Bat,Left hand Bat,Right arm Offbreak
9,RD Rickelton,RL Chase,RR Hendricks,0,0,0,11,164,6,7,2,-,4.0,stumped,RD Rickelton,ADS Fletcher,1,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Left hand Bat,Right hand Bat,Right arm Offbreak
10,MP Breetzke,RL Chase,RR Hendricks,0,0,0,11,164,0,1,2,-,5.0,0,,,1,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Right hand Bat,Right hand Bat,Right arm Offbreak
11,MP Breetzke,RL Chase,RR Hendricks,0,0,0,11,164,0,2,2,-,6.0,0,,,1,,field,South Africa,2,"Sabina Park, Kingston, Jamaica",2024,05,West Indies_South Africa_2024-05-23,West Indies,South Africa,West Indies,False,147,Right hand Bat,Right hand Bat,Right arm Offbreak
