,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,AC Gilchrist,D Gough,ML Hayden,0,0,0,0,179,0,1,0,1,0,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
1,AC Gilchrist,D Gough,ML Hayden,4,0,4,4,175,4,2,0,2,0,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
2,AC Gilchrist,D Gough,ML Hayden,0,0,0,4,175,4,3,0,3,0,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
3,AC Gilchrist,D Gough,ML Hayden,0,0,0,4,175,4,4,0,4,0,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
4,AC Gilchrist,D Gough,ML Hayden,4,0,4,8,171,8,5,0,5,0,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
5,AC Gilchrist,D Gough,ML Hayden,0,0,0,8,171,8,6,0,6,0,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
6,ML Hayden,J Lewis,AC Gilchrist,4,0,4,12,167,4,1,0,1,1,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
7,ML Hayden,J Lewis,AC Gilchrist,1,0,1,13,166,5,2,0,2,1,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
8,AC Gilchrist,J Lewis,ML Hayden,0,0,0,13,166,8,7,0,3,1,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
9,AC Gilchrist,J Lewis,ML Hayden,0,0,0,13,166,8,8,0,4,1,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
10,AC Gilchrist,J Lewis,ML Hayden,4,0,4,17,162,12,9,0,5,1,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
11,AC Gilchrist,J Lewis,ML Hayden,1,0,1,18,161,13,10,0,6,1,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
12,AC Gilchrist,D Gough,ML Hayden,0,1,1,19,160,13,11,0,1,2,legbyes,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
13,ML Hayden,D Gough,AC Gilchrist,1,0,1,20,159,6,3,0,2,2,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
14,AC Gilchrist,D Gough,ML Hayden,0,1,1,21,158,13,12,0,3,2,noballs,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
15,AC Gilchrist,D Gough,ML Hayden,2,0,2,23,156,15,13,0,4,2,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
16,AC Gilchrist,D Gough,ML Hayden,0,0,0,23,156,15,14,1,5,2,-,caught,AC Gilchrist,KP Pietersen,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
