,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,AC Gilchrist,M Ntini,SM Katich,0,1,1,1,0,1,1,wides,1,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
1,AC Gilchrist,M Ntini,SM Katich,1,0,1,2,1,2,2,-,1,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
2,SM Katich,M Ntini,AC Gilchrist,0,0,0,2,0,1,3,-,1,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
3,SM Katich,M Ntini,AC Gilchrist,4,0,4,6,4,2,4,-,1,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
4,SM Katich,M Ntini,AC Gilchrist,2,0,2,8,6,3,5,-,1,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
5,SM Katich,M Ntini,AC Gilchrist,4,0,4,12,10,4,6,-,1,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
6,SM Katich,M Ntini,AC Gilchrist,4,0,4,16,14,5,7,-,1,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
7,AC Gilchrist,AJ Hall,SM Katich,0,0,0,16,1,3,1,-,2,lbw,AC Gilchrist,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
8,RT Ponting,AJ Hall,SM Katich,0,0,0,16,0,1,2,-,2,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
9,RT Ponting,AJ Hall,SM Katich,0,0,0,16,0,2,3,-,2,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
10,RT Ponting,AJ Hall,SM Katich,1,0,1,17,1,3,4,-,2,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
11,SM Katich,AJ Hall,RT Ponting,0,0,0,17,14,6,5,-,2,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
12,SM Katich,AJ Hall,RT Ponting,1,0,1,18,15,7,6,-,2,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
13,SM Katich,M Ntini,RT Ponting,0,0,0,18,15,8,1,-,3,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
14,SM Katich,M Ntini,RT Ponting,6,0,6,24,21,9,2,-,3,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
15,SM Katich,M Ntini,RT Ponting,4,0,4,28,25,10,3,-,3,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
16,SM Katich,M Ntini,RT Ponting,1,0,1,29,26,11,4,-,3,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
17,RT Ponting,M Ntini,SM Katich,0,0,0,29,1,4,5,-,3,0,,,bat,South Africa,2,New Wanderers Stadium,2006-02-24,Australia,South Africa
