,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,GC Smith,DBL Powell,HH Gibbs,0,0,0,0,205,0,1,0,-,1.0,0,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
1,GC Smith,DBL Powell,HH Gibbs,1,0,1,1,204,1,2,0,-,2.0,0,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
2,HH Gibbs,DBL Powell,GC Smith,0,0,0,1,204,0,1,0,-,3.0,0,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
3,HH Gibbs,DBL Powell,GC Smith,0,0,0,1,204,0,2,0,-,4.0,0,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
4,HH Gibbs,DBL Powell,GC Smith,0,0,0,1,204,0,3,0,-,5.0,0,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
5,HH Gibbs,DBL Powell,GC Smith,0,0,0,1,204,0,4,0,-,6.0,0,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
6,GC Smith,R Rampaul,HH Gibbs,0,0,0,1,204,1,3,0,-,1.0,1,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
7,GC Smith,R Rampaul,HH Gibbs,0,0,0,1,204,1,4,0,-,2.0,1,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
8,GC Smith,R Rampaul,HH Gibbs,0,1,1,2,203,1,5,0,legbyes,3.0,1,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
9,HH Gibbs,R Rampaul,GC Smith,1,0,1,3,202,1,5,0,-,4.0,1,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
10,GC Smith,R Rampaul,HH Gibbs,1,0,1,4,201,2,6,0,-,5.0,1,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
11,HH Gibbs,R Rampaul,GC Smith,4,0,4,8,197,5,6,0,-,6.0,1,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
12,GC Smith,DBL Powell,HH Gibbs,0,0,0,8,197,2,7,0,-,1.0,2,0,,,field,South Africa,2,New Wanderers Stadium,2007,09,South Africa_West Indies_2007-09-11,South Africa,South Africa,West Indies,True,208
