,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Tamim Iqbal,DBL Powell,Nazimuddin,0,0,0,0,0,1,1,1,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
1,Tamim Iqbal,DBL Powell,Nazimuddin,1,0,1,1,1,2,2,1,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
2,Nazimuddin,DBL Powell,Tamim Iqbal,0,0,0,1,0,1,3,1,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
3,Nazimuddin,DBL Powell,Tamim Iqbal,0,0,0,1,0,2,4,1,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
4,Nazimuddin,DBL Powell,Tamim Iqbal,1,0,1,2,1,3,5,1,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
5,Tamim Iqbal,DBL Powell,Nazimuddin,0,0,0,2,1,3,6,1,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
6,Nazimuddin,R Rampaul,Tamim Iqbal,0,0,0,2,1,4,1,2,-,caught,Nazimuddin,RR Sarwan,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
7,Tamim Iqbal,R Rampaul,Aftab Ahmed,0,0,0,2,1,4,2,2,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
8,Tamim Iqbal,R Rampaul,Aftab Ahmed,0,0,0,2,1,5,3,2,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
9,Tamim Iqbal,R Rampaul,Aftab Ahmed,0,1,1,3,1,6,4,2,wides,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
10,Tamim Iqbal,R Rampaul,Aftab Ahmed,1,0,1,4,2,7,5,2,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
11,Aftab Ahmed,R Rampaul,Tamim Iqbal,0,0,0,4,0,1,6,2,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
12,Aftab Ahmed,R Rampaul,Tamim Iqbal,0,0,0,4,0,2,7,2,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
13,Tamim Iqbal,DBL Powell,Aftab Ahmed,4,0,4,8,6,8,1,3,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
14,Tamim Iqbal,DBL Powell,Aftab Ahmed,0,0,0,8,6,9,2,3,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
15,Tamim Iqbal,DBL Powell,Aftab Ahmed,4,0,4,12,10,10,3,3,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
16,Tamim Iqbal,DBL Powell,Aftab Ahmed,0,0,0,12,10,11,4,3,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
17,Tamim Iqbal,DBL Powell,Aftab Ahmed,0,0,0,12,10,12,5,3,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
18,Tamim Iqbal,DBL Powell,Aftab Ahmed,0,0,0,12,10,13,6,3,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
19,Aftab Ahmed,R Rampaul,Tamim Iqbal,0,0,0,12,0,3,1,4,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
20,Aftab Ahmed,R Rampaul,Tamim Iqbal,6,0,6,18,6,4,2,4,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
21,Aftab Ahmed,R Rampaul,Tamim Iqbal,4,0,4,22,10,5,3,4,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
22,Aftab Ahmed,R Rampaul,Tamim Iqbal,0,5,5,27,10,6,4,4,wides,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
23,Aftab Ahmed,R Rampaul,Tamim Iqbal,0,0,0,27,10,7,5,4,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
24,Aftab Ahmed,R Rampaul,Tamim Iqbal,1,0,1,28,11,8,6,4,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
25,Tamim Iqbal,R Rampaul,Aftab Ahmed,0,0,0,28,10,14,7,4,-,caught,Tamim Iqbal,S Chanderpaul,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
26,Mohammad Ashraful,DBL Powell,Aftab Ahmed,4,0,4,32,4,1,1,5,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
27,Mohammad Ashraful,DBL Powell,Aftab Ahmed,4,0,4,36,8,2,2,5,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
28,Mohammad Ashraful,DBL Powell,Aftab Ahmed,4,0,4,40,12,3,3,5,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
29,Mohammad Ashraful,DBL Powell,Aftab Ahmed,2,0,2,42,14,4,4,5,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
30,Mohammad Ashraful,DBL Powell,Aftab Ahmed,0,0,0,42,14,5,5,5,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
31,Mohammad Ashraful,DBL Powell,Aftab Ahmed,4,0,4,46,18,6,6,5,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
32,Aftab Ahmed,R Rampaul,Mohammad Ashraful,1,0,1,47,12,9,1,6,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
33,Mohammad Ashraful,R Rampaul,Aftab Ahmed,6,0,6,53,24,7,2,6,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
34,Mohammad Ashraful,R Rampaul,Aftab Ahmed,4,0,4,57,28,8,3,6,-,0,,,field,Bangladesh,2,New Wanderers Stadium,2007-09-13,Bangladesh,West Indies
