,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,GC Smith,SE Bond,HH Gibbs,,1,0,1,1,1,1,1,-,1,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
1,HH Gibbs,SE Bond,GC Smith,,0,0,0,1,0,1,2,-,1,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
2,HH Gibbs,SE Bond,GC Smith,,2,0,2,3,2,2,3,-,1,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
3,HH Gibbs,SE Bond,GC Smith,,4,0,4,7,6,3,4,-,1,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
4,HH Gibbs,SE Bond,GC Smith,,0,0,0,7,6,4,5,-,1,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
5,HH Gibbs,SE Bond,GC Smith,{'wides': 1},0,1,1,8,6,5,6,wides,1,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
6,HH Gibbs,SE Bond,GC Smith,,4,0,4,12,10,6,7,-,1,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
7,GC Smith,MR Gillespie,HH Gibbs,,0,0,0,12,1,2,1,-,2,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
8,GC Smith,MR Gillespie,HH Gibbs,,1,0,1,13,2,3,2,-,2,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
9,HH Gibbs,MR Gillespie,GC Smith,,0,0,0,13,10,7,3,-,2,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
10,HH Gibbs,MR Gillespie,GC Smith,,0,0,0,13,10,8,4,-,2,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
11,HH Gibbs,MR Gillespie,GC Smith,,0,0,0,13,10,9,5,-,2,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
12,HH Gibbs,MR Gillespie,GC Smith,{'noballs': 1},0,1,1,14,10,10,6,noballs,2,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
13,HH Gibbs,MR Gillespie,GC Smith,,0,0,0,14,10,11,7,-,2,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
14,GC Smith,SE Bond,HH Gibbs,,0,0,0,14,2,4,1,-,3,caught,GC Smith,BB McCullum,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
15,AB de Villiers,SE Bond,HH Gibbs,{'wides': 1},0,1,1,15,0,1,2,wides,3,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
16,AB de Villiers,SE Bond,HH Gibbs,{'wides': 1},0,1,1,16,0,2,3,wides,3,0,,,field,South Africa,2,Kingsmead,2007-09-19,South Africa,New Zealand
