,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,DL Maddy,S Sreesanth,VS Solanki,0,0,0,0,0,1,1,1,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
1,DL Maddy,S Sreesanth,VS Solanki,0,0,0,0,0,2,2,1,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
2,DL Maddy,S Sreesanth,VS Solanki,1,0,1,1,1,3,3,1,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
3,VS Solanki,S Sreesanth,DL Maddy,0,0,0,1,0,1,4,1,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
4,VS Solanki,S Sreesanth,DL Maddy,1,0,1,2,1,2,5,1,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
5,DL Maddy,S Sreesanth,VS Solanki,1,0,1,3,2,4,6,1,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
6,DL Maddy,RP Singh,VS Solanki,2,0,2,5,4,5,1,2,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
7,DL Maddy,RP Singh,VS Solanki,0,1,1,6,4,6,2,2,{'legbyes': 1},legbyes,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
8,VS Solanki,RP Singh,DL Maddy,4,0,4,10,5,3,3,2,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
9,VS Solanki,RP Singh,DL Maddy,0,0,0,10,5,4,4,2,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
10,VS Solanki,RP Singh,DL Maddy,0,0,0,10,5,5,5,2,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
11,VS Solanki,RP Singh,DL Maddy,1,0,1,11,6,6,6,2,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
12,VS Solanki,S Sreesanth,DL Maddy,0,0,0,11,6,7,1,3,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
13,VS Solanki,S Sreesanth,DL Maddy,1,0,1,12,7,8,2,3,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
14,DL Maddy,S Sreesanth,VS Solanki,4,0,4,16,8,7,3,3,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
15,DL Maddy,S Sreesanth,VS Solanki,1,0,1,17,9,8,4,3,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
16,VS Solanki,S Sreesanth,DL Maddy,1,0,1,18,8,9,5,3,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
17,DL Maddy,S Sreesanth,VS Solanki,1,0,1,19,10,9,6,3,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
18,DL Maddy,RP Singh,VS Solanki,4,0,4,23,14,10,1,4,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
19,DL Maddy,RP Singh,VS Solanki,1,0,1,24,15,11,2,4,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
20,VS Solanki,RP Singh,DL Maddy,4,0,4,28,12,10,3,4,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
21,VS Solanki,RP Singh,DL Maddy,1,0,1,29,13,11,4,4,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
22,DL Maddy,RP Singh,VS Solanki,1,0,1,30,16,12,5,4,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
23,VS Solanki,RP Singh,DL Maddy,0,0,0,30,13,12,6,4,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
24,DL Maddy,Joginder Sharma,VS Solanki,0,0,0,30,16,13,1,5,,-,0,,,bat,India,2,Kingsmead,2007-09-19,England,India
