,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,G Gambhir,JM Anderson,V Sehwag,0,1,1,1,,0,1,0,1,wides,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
1,G Gambhir,JM Anderson,V Sehwag,0,0,0,1,,0,2,0,2,-,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
2,G Gambhir,JM Anderson,V Sehwag,0,0,0,1,,0,3,0,3,-,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
3,G Gambhir,JM Anderson,V Sehwag,1,0,1,2,,1,4,0,4,-,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
4,V Sehwag,JM Anderson,G Gambhir,0,1,1,3,,0,1,0,5,wides,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
5,V Sehwag,JM Anderson,G Gambhir,0,1,1,4,,0,2,0,6,wides,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
6,V Sehwag,JM Anderson,G Gambhir,0,4,4,8,,0,3,0,7,legbyes,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
7,V Sehwag,JM Anderson,G Gambhir,0,0,0,8,,0,4,0,8,-,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
8,V Sehwag,JM Anderson,G Gambhir,0,1,1,9,,0,5,0,9,legbyes,0,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
9,V Sehwag,SCJ Broad,G Gambhir,0,0,0,9,,0,6,0,1,-,1,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
10,V Sehwag,SCJ Broad,G Gambhir,0,0,0,9,,0,7,0,2,-,1,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
11,V Sehwag,SCJ Broad,G Gambhir,1,0,1,10,,1,8,0,3,-,1,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
12,G Gambhir,SCJ Broad,V Sehwag,0,0,0,10,,1,5,0,4,-,1,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
13,G Gambhir,SCJ Broad,V Sehwag,1,0,1,11,,2,6,0,5,-,1,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
14,V Sehwag,SCJ Broad,G Gambhir,0,1,1,12,,1,9,0,6,wides,1,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
15,V Sehwag,SCJ Broad,G Gambhir,1,0,1,13,,2,10,0,7,-,1,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
16,V Sehwag,A Flintoff,G Gambhir,2,0,2,15,,4,11,0,1,-,2,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
17,V Sehwag,A Flintoff,G Gambhir,0,0,0,15,,4,12,0,2,-,2,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
18,V Sehwag,A Flintoff,G Gambhir,0,0,0,15,,4,13,0,3,-,2,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
19,V Sehwag,A Flintoff,G Gambhir,1,0,1,16,,5,14,0,4,-,2,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
20,G Gambhir,A Flintoff,V Sehwag,0,0,0,16,,2,7,0,5,-,2,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
21,G Gambhir,A Flintoff,V Sehwag,1,0,1,17,,3,8,0,6,-,2,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
22,G Gambhir,JM Anderson,V Sehwag,1,0,1,18,,4,9,0,1,-,3,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
23,V Sehwag,JM Anderson,G Gambhir,1,0,1,19,,6,15,0,2,-,3,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
24,G Gambhir,JM Anderson,V Sehwag,2,0,2,21,,6,10,0,3,-,3,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
25,G Gambhir,JM Anderson,V Sehwag,2,0,2,23,,8,11,0,4,-,3,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
26,G Gambhir,JM Anderson,V Sehwag,0,0,0,23,,8,12,0,5,-,3,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
27,G Gambhir,JM Anderson,V Sehwag,0,0,0,23,,8,13,0,6,-,3,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
28,V Sehwag,SCJ Broad,G Gambhir,1,0,1,24,,7,16,0,1,-,4,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
29,G Gambhir,SCJ Broad,V Sehwag,6,0,6,30,,14,14,0,2,-,4,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
30,G Gambhir,SCJ Broad,V Sehwag,1,0,1,31,,15,15,0,3,-,4,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
31,V Sehwag,SCJ Broad,G Gambhir,0,0,0,31,,7,17,0,4,-,4,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
32,V Sehwag,SCJ Broad,G Gambhir,0,1,1,32,,7,18,0,5,wides,4,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
33,V Sehwag,SCJ Broad,G Gambhir,0,0,0,32,,7,19,0,6,-,4,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
34,V Sehwag,SCJ Broad,G Gambhir,3,0,3,35,,10,20,0,7,-,4,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
35,V Sehwag,A Flintoff,G Gambhir,0,0,0,35,,10,21,0,1,-,5,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
36,V Sehwag,A Flintoff,G Gambhir,2,0,2,37,,12,22,0,2,-,5,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
37,V Sehwag,A Flintoff,G Gambhir,0,0,0,37,,12,23,0,3,-,5,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
38,V Sehwag,A Flintoff,G Gambhir,0,0,0,37,,12,24,0,4,-,5,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
39,V Sehwag,A Flintoff,G Gambhir,0,1,1,38,,12,25,0,5,wides,5,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
40,V Sehwag,A Flintoff,G Gambhir,2,0,2,40,,14,26,0,6,-,5,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
41,V Sehwag,A Flintoff,G Gambhir,1,0,1,41,,15,27,0,7,-,5,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
42,V Sehwag,AD Mascarenhas,G Gambhir,4,0,4,45,,19,28,0,1,-,6,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
43,V Sehwag,AD Mascarenhas,G Gambhir,1,0,1,46,,20,29,0,2,-,6,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
44,G Gambhir,AD Mascarenhas,V Sehwag,1,0,1,47,,16,16,0,3,-,6,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
45,V Sehwag,AD Mascarenhas,G Gambhir,6,0,6,53,,26,30,0,4,-,6,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
46,V Sehwag,AD Mascarenhas,G Gambhir,2,0,2,55,,28,31,0,5,-,6,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
47,V Sehwag,AD Mascarenhas,G Gambhir,1,0,1,56,,29,32,0,6,-,6,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
48,V Sehwag,CT Tremlett,G Gambhir,6,0,6,62,,35,33,0,1,-,7,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
49,V Sehwag,CT Tremlett,G Gambhir,1,0,1,63,,36,34,0,2,-,7,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
50,G Gambhir,CT Tremlett,V Sehwag,4,0,4,67,,20,17,0,3,-,7,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
51,G Gambhir,CT Tremlett,V Sehwag,1,1,2,69,,21,18,0,4,noballs,7,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
52,V Sehwag,CT Tremlett,G Gambhir,0,0,0,69,,36,35,0,5,-,7,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
53,V Sehwag,CT Tremlett,G Gambhir,1,0,1,70,,37,36,0,6,-,7,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
54,G Gambhir,CT Tremlett,V Sehwag,0,0,0,70,,21,19,0,7,-,7,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
55,V Sehwag,JM Anderson,G Gambhir,0,0,0,70,,37,37,0,1,-,8,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
56,V Sehwag,JM Anderson,G Gambhir,1,0,1,71,,38,38,0,2,-,8,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
57,G Gambhir,JM Anderson,V Sehwag,1,0,1,72,,22,20,0,3,-,8,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
58,V Sehwag,JM Anderson,G Gambhir,0,0,0,72,,38,39,0,4,-,8,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
59,V Sehwag,JM Anderson,G Gambhir,1,0,1,73,,39,40,0,5,-,8,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
60,G Gambhir,JM Anderson,V Sehwag,4,0,4,77,,26,21,0,6,-,8,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
61,V Sehwag,PD Collingwood,G Gambhir,1,0,1,78,,40,41,0,1,-,9,0,,,bat,India,1,Kingsmead,2007,09,England_India_2007-09-19,India,India,England,True,218
