,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,AC Gilchrist,WPUJC Vaas,ML Hayden,0,0,0,0,101,0,1,0,-,1.0,0,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
1,AC Gilchrist,WPUJC Vaas,ML Hayden,1,0,1,1,100,1,2,0,-,2.0,0,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
2,ML Hayden,WPUJC Vaas,AC Gilchrist,4,1,5,6,95,4,0,0,noballs,2.0,0,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
3,ML Hayden,WPUJC Vaas,AC Gilchrist,1,0,1,7,94,5,1,0,-,3.0,0,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
4,AC Gilchrist,WPUJC Vaas,ML Hayden,1,0,1,8,93,2,3,0,-,4.0,0,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
5,ML Hayden,WPUJC Vaas,AC Gilchrist,0,0,0,8,93,5,2,0,-,5.0,0,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
6,ML Hayden,WPUJC Vaas,AC Gilchrist,1,0,1,9,92,6,3,0,-,6.0,0,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
7,ML Hayden,CRD Fernando,AC Gilchrist,0,0,0,9,92,6,4,0,-,1.0,1,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Right arm Fast
8,ML Hayden,CRD Fernando,AC Gilchrist,0,0,0,9,92,6,5,0,-,2.0,1,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Right arm Fast
9,ML Hayden,CRD Fernando,AC Gilchrist,0,0,0,9,92,6,6,0,-,3.0,1,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Right arm Fast
10,ML Hayden,CRD Fernando,AC Gilchrist,0,0,0,9,92,6,7,0,-,4.0,1,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Right arm Fast
11,ML Hayden,CRD Fernando,AC Gilchrist,0,1,1,10,91,6,8,0,legbyes,5.0,1,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Right arm Fast
12,AC Gilchrist,CRD Fernando,ML Hayden,0,1,1,11,90,2,4,0,legbyes,6.0,1,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Right arm Fast
13,AC Gilchrist,WPUJC Vaas,ML Hayden,1,0,1,12,89,3,5,0,-,1.0,2,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
14,ML Hayden,WPUJC Vaas,AC Gilchrist,4,0,4,16,85,10,9,0,-,2.0,2,0,field,Australia,2,Newlands,2007,09,Australia_Sri Lanka_2007-09-20,Australia,Australia,Sri Lanka,True,102,Left hand Bat,Left hand Bat,Left arm Fast
