,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,WU Tharanga,B Lee,ST Jayasuriya,1,0,1,1,1,1,1,0,,,1,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
1,ST Jayasuriya,B Lee,WU Tharanga,0,0,0,1,0,1,2,0,,,1,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
2,ST Jayasuriya,B Lee,WU Tharanga,0,0,0,1,0,2,3,lbw,ST Jayasuriya,,1,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
3,KC Sangakkara,B Lee,WU Tharanga,1,0,1,2,1,1,4,0,,,1,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
4,WU Tharanga,B Lee,KC Sangakkara,1,0,1,3,2,2,5,0,,,1,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
5,KC Sangakkara,B Lee,WU Tharanga,4,0,4,7,5,2,6,0,,,1,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
6,WU Tharanga,NW Bracken,KC Sangakkara,0,0,0,7,2,3,1,0,,,2,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
7,WU Tharanga,NW Bracken,KC Sangakkara,0,0,0,7,2,4,2,0,,,2,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
8,WU Tharanga,NW Bracken,KC Sangakkara,2,0,2,9,4,5,3,0,,,2,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
9,WU Tharanga,NW Bracken,KC Sangakkara,0,0,0,9,4,6,4,0,,,2,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
10,WU Tharanga,NW Bracken,KC Sangakkara,0,0,0,9,4,7,5,0,,,2,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
11,WU Tharanga,NW Bracken,KC Sangakkara,0,0,0,9,4,8,6,caught,WU Tharanga,B Lee,2,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
12,DPMD Jayawardene,B Lee,KC Sangakkara,1,0,1,10,1,1,1,0,,,3,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
13,KC Sangakkara,B Lee,DPMD Jayawardene,0,0,0,10,5,3,2,0,,,3,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
14,KC Sangakkara,B Lee,DPMD Jayawardene,1,0,1,11,6,4,3,0,,,3,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
15,DPMD Jayawardene,B Lee,KC Sangakkara,0,0,0,11,1,2,4,caught,DPMD Jayawardene,SR Clark,3,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
16,LPC Silva,B Lee,KC Sangakkara,0,0,0,11,0,1,5,0,,,3,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
17,LPC Silva,B Lee,KC Sangakkara,0,0,0,11,0,2,6,0,,,3,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
18,KC Sangakkara,NW Bracken,LPC Silva,0,0,0,11,6,5,1,0,,,4,-,,field,Australia,1,Newlands,2007-09-20,Sri Lanka,Australia
