,batter,bowler,non_striker,replacements,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Imran Nazir,Mashrafe Mortaza,Shahid Afridi,,0,0,0,0,0,1,1,1,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
1,Imran Nazir,Mashrafe Mortaza,Shahid Afridi,,0,0,0,0,0,2,2,1,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
2,Imran Nazir,Mashrafe Mortaza,Shahid Afridi,,0,0,0,0,0,3,3,1,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
3,Mohammad Hafeez,Mashrafe Mortaza,Shahid Afridi,"{'role': [{'in': 'Mohammad Hafeez', 'out': 'Imran Nazir', 'reason': 'injury', 'role': 'batter'}]}",1,0,1,1,1,1,4,1,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
4,Shahid Afridi,Mashrafe Mortaza,Mohammad Hafeez,,2,0,2,3,2,1,5,1,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
5,Shahid Afridi,Mashrafe Mortaza,Mohammad Hafeez,,4,0,4,7,6,2,6,1,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
6,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,0,0,0,7,1,2,1,2,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
7,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,2,0,2,9,3,3,2,2,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
8,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,0,0,0,9,3,4,3,2,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
9,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,4,0,4,13,7,5,4,2,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
10,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,0,0,0,13,7,6,5,2,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
11,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,0,0,0,13,7,7,6,2,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
12,Shahid Afridi,Mashrafe Mortaza,Mohammad Hafeez,,0,1,1,14,6,3,1,3,legbyes,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
13,Mohammad Hafeez,Mashrafe Mortaza,Shahid Afridi,,4,0,4,18,11,8,2,3,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
14,Mohammad Hafeez,Mashrafe Mortaza,Shahid Afridi,,0,1,1,19,11,9,3,3,wides,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
15,Mohammad Hafeez,Mashrafe Mortaza,Shahid Afridi,,0,0,0,19,11,10,4,3,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
16,Mohammad Hafeez,Mashrafe Mortaza,Shahid Afridi,,1,0,1,20,12,11,5,3,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
17,Shahid Afridi,Mashrafe Mortaza,Mohammad Hafeez,,6,0,6,26,12,4,6,3,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
18,Shahid Afridi,Mashrafe Mortaza,Mohammad Hafeez,,4,0,4,30,16,5,7,3,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
19,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,4,0,4,34,16,12,1,4,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
20,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,0,0,0,34,16,13,2,4,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
21,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,0,1,1,35,16,14,3,4,noballs,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
22,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,1,0,1,36,17,15,4,4,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
23,Shahid Afridi,Syed Rasel,Mohammad Hafeez,,4,0,4,40,20,6,5,4,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
24,Shahid Afridi,Syed Rasel,Mohammad Hafeez,,1,0,1,41,21,7,6,4,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
25,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,0,0,0,41,17,16,7,4,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
26,Shahid Afridi,Abdur Razzak,Mohammad Hafeez,,1,0,1,42,22,8,1,5,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
27,Mohammad Hafeez,Abdur Razzak,Shahid Afridi,,0,0,0,42,17,17,2,5,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
28,Mohammad Hafeez,Abdur Razzak,Shahid Afridi,,4,0,4,46,21,18,3,5,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
29,Mohammad Hafeez,Abdur Razzak,Shahid Afridi,,2,0,2,48,23,19,4,5,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
30,Mohammad Hafeez,Abdur Razzak,Shahid Afridi,,0,0,0,48,23,20,5,5,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
31,Mohammad Hafeez,Abdur Razzak,Shahid Afridi,,0,0,0,48,23,21,6,5,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
32,Shahid Afridi,Syed Rasel,Mohammad Hafeez,,4,0,4,52,26,9,1,6,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
33,Shahid Afridi,Syed Rasel,Mohammad Hafeez,,2,0,2,54,28,10,2,6,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
34,Shahid Afridi,Syed Rasel,Mohammad Hafeez,,4,0,4,58,32,11,3,6,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
35,Shahid Afridi,Syed Rasel,Mohammad Hafeez,,1,0,1,59,33,12,4,6,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
36,Mohammad Hafeez,Syed Rasel,Shahid Afridi,,0,0,0,59,23,22,5,6,-,caught,Mohammad Hafeez,Tamim Iqbal,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
37,Shahid Afridi,Syed Rasel,Salman Butt,,6,0,6,65,39,13,6,6,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
38,Salman Butt,Abdur Razzak,Shahid Afridi,,0,0,0,65,0,1,1,7,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
39,Salman Butt,Abdur Razzak,Shahid Afridi,,0,0,0,65,0,2,2,7,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
40,Salman Butt,Abdur Razzak,Shahid Afridi,,0,0,0,65,0,3,3,7,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
41,Salman Butt,Abdur Razzak,Shahid Afridi,,1,0,1,66,1,4,4,7,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
42,Shahid Afridi,Abdur Razzak,Salman Butt,,0,0,0,66,39,14,5,7,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
43,Shahid Afridi,Abdur Razzak,Salman Butt,,0,0,0,66,39,15,6,7,-,caught,Shahid Afridi,Mushfiqur Rahim,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
44,Salman Butt,Shakib Al Hasan,Younis Khan,,1,0,1,67,2,5,1,8,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
45,Younis Khan,Shakib Al Hasan,Salman Butt,,0,0,0,67,0,1,2,8,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
46,Younis Khan,Shakib Al Hasan,Salman Butt,,0,0,0,67,0,2,3,8,-,0,,,field,Pakistan,2,Newlands,2007-09-20,Pakistan,Bangladesh
