,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,L Vincent,Mohammad Asif,BB McCullum,0,0,0,0,153,0,1,0,1,1,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
1,L Vincent,Mohammad Asif,BB McCullum,0,0,0,0,153,0,2,0,2,1,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
2,L Vincent,Mohammad Asif,BB McCullum,1,0,1,1,152,1,3,0,3,1,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
3,BB McCullum,Mohammad Asif,L Vincent,0,0,0,1,152,0,1,0,4,1,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
4,BB McCullum,Mohammad Asif,L Vincent,1,0,1,2,151,1,2,0,5,1,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
5,L Vincent,Mohammad Asif,BB McCullum,0,0,0,2,151,1,4,0,6,1,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
6,BB McCullum,Sohail Tanvir,L Vincent,1,0,1,3,150,2,3,0,1,2,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
7,L Vincent,Sohail Tanvir,BB McCullum,0,0,0,3,150,1,5,0,2,2,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
8,L Vincent,Sohail Tanvir,BB McCullum,0,0,0,3,150,1,6,0,3,2,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
9,L Vincent,Sohail Tanvir,BB McCullum,0,0,0,3,150,1,7,0,4,2,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
10,L Vincent,Sohail Tanvir,BB McCullum,0,0,0,3,150,1,8,0,5,2,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
11,L Vincent,Sohail Tanvir,BB McCullum,1,0,1,4,149,2,9,0,6,2,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
12,L Vincent,Mohammad Asif,BB McCullum,1,0,1,5,148,3,10,0,1,3,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
13,BB McCullum,Mohammad Asif,L Vincent,0,0,0,5,148,2,4,0,2,3,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
14,BB McCullum,Mohammad Asif,L Vincent,1,0,1,6,147,3,5,0,3,3,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
15,L Vincent,Mohammad Asif,BB McCullum,1,0,1,7,146,4,11,0,4,3,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
16,BB McCullum,Mohammad Asif,L Vincent,4,0,4,11,142,7,6,0,5,3,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
17,BB McCullum,Mohammad Asif,L Vincent,4,0,4,15,138,11,7,0,6,3,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
18,L Vincent,Sohail Tanvir,BB McCullum,0,0,0,15,138,4,12,0,1,4,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
19,L Vincent,Sohail Tanvir,BB McCullum,1,0,1,16,137,5,13,0,2,4,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
20,BB McCullum,Sohail Tanvir,L Vincent,1,0,1,17,136,12,8,0,3,4,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
21,L Vincent,Sohail Tanvir,BB McCullum,2,0,2,19,134,7,14,0,4,4,-,0,,,bat,New Zealand,1,Newlands,2007,09,New Zealand_Pakistan_2007-09-22,Pakistan,New Zealand,Pakistan,143
