,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,HH Gibbs,JE Taylor,GC Smith,0,0,0,0,0,1,1,-,0,,,1,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
1,HH Gibbs,JE Taylor,GC Smith,0,0,0,0,0,2,2,-,0,,,1,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
2,HH Gibbs,JE Taylor,GC Smith,0,0,0,0,0,3,3,-,bowled,HH Gibbs,,1,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
3,AB de Villiers,JE Taylor,GC Smith,4,0,4,4,4,1,4,-,0,,,1,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
4,AB de Villiers,JE Taylor,GC Smith,4,0,4,8,8,2,5,-,0,,,1,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
5,AB de Villiers,JE Taylor,GC Smith,0,1,1,9,8,3,6,wides,0,,,1,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
6,AB de Villiers,JE Taylor,GC Smith,1,0,1,10,9,4,7,-,0,,,1,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
7,AB de Villiers,FH Edwards,GC Smith,0,0,0,10,9,5,1,-,0,,,2,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
8,AB de Villiers,FH Edwards,GC Smith,0,1,1,11,9,6,2,legbyes,0,,,2,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
9,GC Smith,FH Edwards,AB de Villiers,0,1,1,12,0,1,3,wides,0,,,2,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
10,GC Smith,FH Edwards,AB de Villiers,1,0,1,13,1,2,4,-,0,,,2,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
11,AB de Villiers,FH Edwards,GC Smith,0,0,0,13,9,7,5,-,0,,,2,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
12,AB de Villiers,FH Edwards,GC Smith,1,0,1,14,10,8,6,-,0,,,2,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
13,GC Smith,FH Edwards,AB de Villiers,1,0,1,15,2,3,7,-,0,,,2,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
14,GC Smith,JE Taylor,AB de Villiers,2,0,2,17,4,4,1,-,0,,,3,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
15,GC Smith,JE Taylor,AB de Villiers,0,0,0,17,4,5,2,-,bowled,GC Smith,,3,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
16,JP Duminy,JE Taylor,AB de Villiers,1,0,1,18,1,1,3,-,0,,,3,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
17,AB de Villiers,JE Taylor,JP Duminy,2,0,2,20,12,9,4,-,0,,,3,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
18,AB de Villiers,JE Taylor,JP Duminy,0,1,1,21,12,10,5,wides,0,,,3,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
19,AB de Villiers,JE Taylor,JP Duminy,0,0,0,21,12,11,6,-,0,,,3,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
20,AB de Villiers,JE Taylor,JP Duminy,1,0,1,22,13,12,7,-,0,,,3,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
21,AB de Villiers,FH Edwards,JP Duminy,1,0,1,23,14,13,1,-,0,,,4,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
22,JP Duminy,FH Edwards,AB de Villiers,0,0,0,23,1,2,2,-,0,,,4,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
23,JP Duminy,FH Edwards,AB de Villiers,0,0,0,23,1,3,3,-,0,,,4,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
24,JP Duminy,FH Edwards,AB de Villiers,0,0,0,23,1,4,4,-,0,,,4,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
25,JP Duminy,FH Edwards,AB de Villiers,0,0,0,23,1,5,5,-,0,,,4,field,South Africa,2,New Wanderers Stadium,2008-01-18,South Africa,South Africa,West Indies
