,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Salman Butt,Mashrafe Mortaza,Kamran Akmal,1,0,1,1,1,1,1,-,0,,,1,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
1,Kamran Akmal,Mashrafe Mortaza,Salman Butt,0,5,5,6,0,1,2,wides,0,,,1,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
2,Kamran Akmal,Mashrafe Mortaza,Salman Butt,0,0,0,6,0,2,3,-,run out,Salman Butt,Mahmudullah,1,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
3,Kamran Akmal,Mashrafe Mortaza,Younis Khan,0,0,0,6,0,3,4,-,0,,,1,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
4,Kamran Akmal,Mashrafe Mortaza,Younis Khan,0,0,0,6,0,4,5,-,0,,,1,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
5,Kamran Akmal,Mashrafe Mortaza,Younis Khan,0,0,0,6,0,5,6,-,0,,,1,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
6,Kamran Akmal,Mashrafe Mortaza,Younis Khan,0,0,0,6,0,6,7,-,bowled,Kamran Akmal,,1,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
7,Younis Khan,Shahadat Hossain,Misbah-ul-Haq,1,0,1,7,1,1,1,-,0,,,2,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
8,Misbah-ul-Haq,Shahadat Hossain,Younis Khan,1,0,1,8,1,1,2,-,0,,,2,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
9,Younis Khan,Shahadat Hossain,Misbah-ul-Haq,0,0,0,8,1,2,3,-,0,,,2,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
10,Younis Khan,Shahadat Hossain,Misbah-ul-Haq,1,0,1,9,2,3,4,-,0,,,2,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
11,Misbah-ul-Haq,Shahadat Hossain,Younis Khan,5,0,5,14,6,2,5,-,0,,,2,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
12,Younis Khan,Shahadat Hossain,Misbah-ul-Haq,0,0,0,14,2,4,6,-,0,,,2,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
13,Misbah-ul-Haq,Mashrafe Mortaza,Younis Khan,4,0,4,18,10,3,1,-,0,,,3,,bat,Pakistan,1,National Stadium,2008-04-20,Pakistan,Pakistan,Bangladesh
