,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,SE Marsh,M Ntini,DA Warner,0,0,0,0,156,0,1,0,1,1,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
1,SE Marsh,M Ntini,DA Warner,1,0,1,1,155,1,2,0,2,1,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
2,DA Warner,M Ntini,SE Marsh,1,0,1,2,154,1,1,0,3,1,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
3,SE Marsh,M Ntini,DA Warner,1,0,1,3,153,2,3,0,4,1,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
4,DA Warner,M Ntini,SE Marsh,4,0,4,7,149,5,2,0,5,1,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
5,DA Warner,M Ntini,SE Marsh,1,0,1,8,148,6,3,0,6,1,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
6,DA Warner,LL Tsotsobe,SE Marsh,0,0,0,8,148,6,4,0,1,2,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
7,DA Warner,LL Tsotsobe,SE Marsh,4,0,4,12,144,10,5,0,2,2,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
8,DA Warner,LL Tsotsobe,SE Marsh,1,0,1,13,143,11,6,0,3,2,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
9,SE Marsh,LL Tsotsobe,DA Warner,0,0,0,13,143,2,4,0,4,2,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
10,SE Marsh,LL Tsotsobe,DA Warner,4,0,4,17,139,6,5,0,5,2,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
11,SE Marsh,LL Tsotsobe,DA Warner,2,0,2,19,137,8,6,0,6,2,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
12,DA Warner,M Ntini,SE Marsh,0,0,0,19,137,11,7,0,1,3,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
13,DA Warner,M Ntini,SE Marsh,1,0,1,20,136,12,8,0,2,3,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
14,SE Marsh,M Ntini,DA Warner,1,0,1,21,135,9,7,0,3,3,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
15,DA Warner,M Ntini,SE Marsh,6,0,6,27,129,18,9,0,4,3,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
16,DA Warner,M Ntini,SE Marsh,6,0,6,33,123,24,10,0,5,3,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
17,DA Warner,M Ntini,SE Marsh,4,0,4,37,119,28,11,0,6,3,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
18,SE Marsh,LL Tsotsobe,DA Warner,0,0,0,37,119,9,8,0,1,4,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
19,SE Marsh,LL Tsotsobe,DA Warner,0,1,1,38,118,9,9,0,2,4,wides,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
20,SE Marsh,LL Tsotsobe,DA Warner,0,0,0,38,118,9,10,1,3,4,-,caught,SE Marsh,JA Morkel,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
21,RT Ponting,LL Tsotsobe,DA Warner,1,0,1,39,117,1,1,1,4,4,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
22,DA Warner,LL Tsotsobe,RT Ponting,0,0,0,39,117,28,12,1,5,4,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
23,DA Warner,LL Tsotsobe,RT Ponting,3,0,3,42,114,31,13,1,6,4,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
24,RT Ponting,LL Tsotsobe,DA Warner,0,0,0,42,114,1,2,1,7,4,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
25,DA Warner,JH Kallis,RT Ponting,4,0,4,46,110,35,14,1,1,5,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
26,DA Warner,JH Kallis,RT Ponting,0,0,0,46,110,35,15,1,2,5,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
27,DA Warner,JH Kallis,RT Ponting,4,0,4,50,106,39,16,1,3,5,-,0,,,bat,Australia,1,Melbourne Cricket Ground,2009,01,Australia_South Africa_2009-01-11,Australia,Australia,South Africa,182
