,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,SE Marsh,J Botha,DA Warner,0,0,0,0,157,0,1,0,1,1,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
1,SE Marsh,J Botha,DA Warner,0,0,0,0,157,0,2,0,2,1,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
2,SE Marsh,J Botha,DA Warner,1,0,1,1,156,1,3,0,3,1,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
3,DA Warner,J Botha,SE Marsh,0,0,0,1,156,0,1,0,4,1,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
4,DA Warner,J Botha,SE Marsh,0,0,0,1,156,0,2,0,5,1,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
5,DA Warner,J Botha,SE Marsh,0,0,0,1,156,0,3,0,6,1,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
6,SE Marsh,DW Steyn,DA Warner,0,0,0,1,156,1,4,0,1,2,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
7,SE Marsh,DW Steyn,DA Warner,0,1,1,2,155,1,5,0,2,2,legbyes,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
8,DA Warner,DW Steyn,SE Marsh,0,0,0,2,155,0,4,0,3,2,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
9,DA Warner,DW Steyn,SE Marsh,1,0,1,3,154,1,5,0,4,2,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
10,SE Marsh,DW Steyn,DA Warner,6,0,6,9,148,7,6,0,5,2,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
11,SE Marsh,DW Steyn,DA Warner,0,0,0,9,148,7,7,0,6,2,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
12,DA Warner,WD Parnell,SE Marsh,2,0,2,11,146,3,6,0,1,3,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
13,DA Warner,WD Parnell,SE Marsh,1,0,1,12,145,4,7,0,2,3,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
14,SE Marsh,WD Parnell,DA Warner,1,0,1,13,144,8,8,0,3,3,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
15,DA Warner,WD Parnell,SE Marsh,0,0,0,13,144,4,8,0,4,3,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
16,DA Warner,WD Parnell,SE Marsh,2,0,2,15,142,6,9,0,5,3,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
17,DA Warner,WD Parnell,SE Marsh,0,0,0,15,142,6,10,0,6,3,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
18,SE Marsh,M Morkel,DA Warner,0,0,0,15,142,8,9,0,1,4,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
19,SE Marsh,M Morkel,DA Warner,0,0,0,15,142,8,10,0,2,4,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
20,SE Marsh,M Morkel,DA Warner,0,0,0,15,142,8,11,0,3,4,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
21,SE Marsh,M Morkel,DA Warner,1,0,1,16,141,9,12,0,4,4,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
22,DA Warner,M Morkel,SE Marsh,1,0,1,17,140,7,11,0,5,4,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
23,SE Marsh,M Morkel,DA Warner,4,0,4,21,136,13,13,0,6,4,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
24,DA Warner,DW Steyn,SE Marsh,0,0,0,21,136,7,12,1,1,5,-,bowled,DA Warner,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
25,RT Ponting,DW Steyn,SE Marsh,0,0,0,21,136,0,1,1,2,5,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
26,RT Ponting,DW Steyn,SE Marsh,0,0,0,21,136,0,2,1,3,5,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
27,RT Ponting,DW Steyn,SE Marsh,0,1,1,22,135,0,3,1,4,5,wides,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
28,RT Ponting,DW Steyn,SE Marsh,0,1,1,23,134,0,4,1,5,5,wides,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
29,RT Ponting,DW Steyn,SE Marsh,1,0,1,24,133,1,5,1,6,5,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
30,SE Marsh,DW Steyn,RT Ponting,0,1,1,25,132,13,14,1,7,5,legbyes,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
31,RT Ponting,DW Steyn,SE Marsh,0,1,1,26,131,1,6,1,8,5,wides,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
32,RT Ponting,DW Steyn,SE Marsh,0,0,0,26,131,1,7,1,9,5,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
33,SE Marsh,WD Parnell,RT Ponting,1,0,1,27,130,14,15,1,1,6,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
34,RT Ponting,WD Parnell,SE Marsh,0,0,0,27,130,1,8,1,2,6,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
35,RT Ponting,WD Parnell,SE Marsh,0,0,0,27,130,1,9,1,3,6,-,0,,,bat,South Africa,2,"Brisbane Cricket Ground, Woolloongabba",2009,01,Australia_South Africa_2009-01-13,Australia,Australia,South Africa
