,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,JEC Franklin,BJ Haddin,1,0,1,1,,1,1,0,1,0,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
1,BJ Haddin,JEC Franklin,DA Warner,0,0,0,1,,0,1,0,2,0,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
2,BJ Haddin,JEC Franklin,DA Warner,2,0,2,3,,2,2,0,3,0,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
3,BJ Haddin,JEC Franklin,DA Warner,1,0,1,4,,3,3,0,4,0,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
4,DA Warner,JEC Franklin,BJ Haddin,0,0,0,4,,1,2,0,5,0,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
5,DA Warner,JEC Franklin,BJ Haddin,2,0,2,6,,3,3,0,6,0,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
6,BJ Haddin,TG Southee,DA Warner,4,0,4,10,,7,4,0,1,1,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
7,BJ Haddin,TG Southee,DA Warner,0,0,0,10,,7,5,0,2,1,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
8,BJ Haddin,TG Southee,DA Warner,0,0,0,10,,7,6,0,3,1,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
9,BJ Haddin,TG Southee,DA Warner,3,0,3,13,,10,7,0,4,1,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
10,DA Warner,TG Southee,BJ Haddin,0,0,0,13,,3,4,0,5,1,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
11,DA Warner,TG Southee,BJ Haddin,1,0,1,14,,4,5,0,6,1,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
12,DA Warner,IE O'Brien,BJ Haddin,4,0,4,18,,8,6,0,1,2,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
13,DA Warner,IE O'Brien,BJ Haddin,1,0,1,19,,9,7,0,2,2,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
14,BJ Haddin,IE O'Brien,DA Warner,4,0,4,23,,14,8,0,3,2,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
15,BJ Haddin,IE O'Brien,DA Warner,1,0,1,24,,15,9,0,4,2,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
16,DA Warner,IE O'Brien,BJ Haddin,4,0,4,28,,13,8,0,5,2,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
17,DA Warner,IE O'Brien,BJ Haddin,1,0,1,29,,14,9,0,6,2,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
18,DA Warner,TG Southee,BJ Haddin,0,0,0,29,,14,10,0,1,3,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
19,DA Warner,TG Southee,BJ Haddin,4,0,4,33,,18,11,0,2,3,0,,,-,bat,Australia,1,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,Australia,New Zealand,True,150
