,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,BB McCullum,PM Siddle,MJ Guptill,0,0,0,0,150,0,1,0,1,-,0,,,1,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
1,BB McCullum,PM Siddle,MJ Guptill,1,0,1,1,149,1,2,0,2,-,0,,,1,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
2,MJ Guptill,PM Siddle,BB McCullum,0,4,4,5,145,0,1,0,3,legbyes,0,,,1,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
3,MJ Guptill,PM Siddle,BB McCullum,0,0,0,5,145,0,2,1,4,-,lbw,MJ Guptill,,1,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
4,PG Fulton,PM Siddle,BB McCullum,1,0,1,6,144,1,1,1,5,-,0,,,1,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
5,BB McCullum,PM Siddle,PG Fulton,0,1,1,7,143,1,3,1,6,wides,0,,,1,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
6,BB McCullum,PM Siddle,PG Fulton,4,0,4,11,139,5,4,1,7,-,0,,,1,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
7,PG Fulton,NW Bracken,BB McCullum,0,0,0,11,139,1,2,1,1,-,0,,,2,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
8,PG Fulton,NW Bracken,BB McCullum,0,0,0,11,139,1,3,1,2,-,0,,,2,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
9,PG Fulton,NW Bracken,BB McCullum,0,0,0,11,139,1,4,1,3,-,0,,,2,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
10,PG Fulton,NW Bracken,BB McCullum,0,0,0,11,139,1,5,1,4,-,0,,,2,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
11,PG Fulton,NW Bracken,BB McCullum,0,0,0,11,139,1,6,1,5,-,0,,,2,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
12,PG Fulton,NW Bracken,BB McCullum,0,0,0,11,139,1,7,1,6,-,0,,,2,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
13,BB McCullum,PM Siddle,PG Fulton,0,1,1,12,138,5,5,1,1,legbyes,0,,,3,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
14,PG Fulton,PM Siddle,BB McCullum,0,0,0,12,138,1,8,2,2,-,caught,PG Fulton,BJ Haddin,3,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
15,BB McCullum,PM Siddle,NT Broom,1,0,1,13,137,6,6,2,3,-,0,,,3,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
16,NT Broom,PM Siddle,BB McCullum,0,0,0,13,137,0,1,2,4,-,0,,,3,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
17,NT Broom,PM Siddle,BB McCullum,2,0,2,15,135,2,2,2,5,-,0,,,3,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
18,NT Broom,PM Siddle,BB McCullum,0,0,0,15,135,2,3,2,6,-,0,,,3,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
19,BB McCullum,NW Bracken,NT Broom,0,0,0,15,135,6,7,2,1,-,0,,,4,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
20,BB McCullum,NW Bracken,NT Broom,0,0,0,15,135,6,8,2,2,-,0,,,4,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
21,BB McCullum,NW Bracken,NT Broom,0,0,0,15,135,6,9,2,3,-,0,,,4,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
22,BB McCullum,NW Bracken,NT Broom,0,0,0,15,135,6,10,2,4,-,0,,,4,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
23,BB McCullum,NW Bracken,NT Broom,1,0,1,16,134,7,11,2,5,-,0,,,4,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
24,NT Broom,NW Bracken,BB McCullum,0,0,0,16,134,2,4,2,6,-,0,,,4,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
25,BB McCullum,PM Siddle,NT Broom,1,0,1,17,133,8,12,2,1,-,0,,,5,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
26,NT Broom,PM Siddle,BB McCullum,4,0,4,21,129,6,5,2,2,-,0,,,5,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
27,NT Broom,PM Siddle,BB McCullum,1,0,1,22,128,7,6,2,3,-,0,,,5,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
28,BB McCullum,PM Siddle,NT Broom,1,0,1,23,127,9,13,2,4,-,0,,,5,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
29,NT Broom,PM Siddle,BB McCullum,4,0,4,27,123,11,7,2,5,-,0,,,5,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
30,NT Broom,PM Siddle,BB McCullum,0,0,0,27,123,11,8,2,6,-,0,,,5,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
31,BB McCullum,BW Hilfenhaus,NT Broom,0,0,0,27,123,9,14,2,1,-,0,,,6,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
32,BB McCullum,BW Hilfenhaus,NT Broom,6,0,6,33,117,15,15,2,2,-,0,,,6,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
33,BB McCullum,BW Hilfenhaus,NT Broom,0,1,1,34,116,15,16,2,3,legbyes,0,,,6,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
34,NT Broom,BW Hilfenhaus,BB McCullum,4,0,4,38,112,15,9,2,4,-,0,,,6,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
35,NT Broom,BW Hilfenhaus,BB McCullum,4,0,4,42,108,19,10,2,5,-,0,,,6,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
36,NT Broom,BW Hilfenhaus,BB McCullum,1,0,1,43,107,20,11,2,6,-,0,,,6,bat,Australia,2,Sydney Cricket Ground,2009,02,Australia_New Zealand_2009-02-15,Australia,New Zealand,Australia,149
