,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,SR Watson,JE Taylor,DA Warner,0,0,0,0,0,1,1,-,0,,,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
1,SR Watson,JE Taylor,DA Warner,0,0,0,0,0,2,2,-,0,,,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
2,SR Watson,JE Taylor,DA Warner,0,1,1,1,0,3,3,wides,0,,,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
3,SR Watson,JE Taylor,DA Warner,0,0,0,1,0,4,4,-,caught,SR Watson,RR Sarwan,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
4,RT Ponting,JE Taylor,DA Warner,0,1,1,2,0,1,5,wides,0,,,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
5,RT Ponting,JE Taylor,DA Warner,0,1,1,3,0,2,6,wides,0,,,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
6,RT Ponting,JE Taylor,DA Warner,0,0,0,3,0,3,7,-,lbw,RT Ponting,,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
7,MJ Clarke,JE Taylor,DA Warner,0,0,0,3,0,1,8,-,0,,,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
8,MJ Clarke,JE Taylor,DA Warner,0,0,0,3,0,2,9,-,0,,,1,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
9,DA Warner,FH Edwards,MJ Clarke,0,0,0,3,0,1,1,-,0,,,2,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
10,DA Warner,FH Edwards,MJ Clarke,0,0,0,3,0,2,2,-,0,,,2,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
11,DA Warner,FH Edwards,MJ Clarke,0,0,0,3,0,3,3,-,0,,,2,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
