,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Tamim Iqbal,Z Khan,Junaid Siddique,0,0,0,0,180,0,1,0,-,1.0,0,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
1,Tamim Iqbal,Z Khan,Junaid Siddique,0,0,0,0,180,0,2,0,-,2.0,0,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
2,Tamim Iqbal,Z Khan,Junaid Siddique,2,0,2,2,178,2,3,0,-,3.0,0,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
3,Tamim Iqbal,Z Khan,Junaid Siddique,4,0,4,6,174,6,4,0,-,4.0,0,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
4,Tamim Iqbal,Z Khan,Junaid Siddique,4,0,4,10,170,10,5,0,-,5.0,0,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
5,Tamim Iqbal,Z Khan,Junaid Siddique,0,0,0,10,170,10,6,0,-,6.0,0,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
6,Junaid Siddique,IK Pathan,Tamim Iqbal,6,0,6,16,164,6,1,0,-,1.0,1,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
7,Junaid Siddique,IK Pathan,Tamim Iqbal,1,0,1,17,163,7,2,0,-,2.0,1,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
8,Tamim Iqbal,IK Pathan,Junaid Siddique,1,0,1,18,162,11,7,0,-,3.0,1,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
9,Junaid Siddique,IK Pathan,Tamim Iqbal,2,0,2,20,160,9,3,0,-,4.0,1,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
10,Junaid Siddique,IK Pathan,Tamim Iqbal,0,0,0,20,160,9,4,0,-,5.0,1,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
11,Junaid Siddique,IK Pathan,Tamim Iqbal,0,0,0,20,160,9,5,0,-,6.0,1,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
12,Tamim Iqbal,YK Pathan,Junaid Siddique,0,0,0,20,160,11,8,0,-,1.0,2,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
13,Tamim Iqbal,YK Pathan,Junaid Siddique,4,0,4,24,156,15,9,0,-,2.0,2,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
14,Tamim Iqbal,YK Pathan,Junaid Siddique,0,0,0,24,156,15,10,1,-,3.0,2,stumped,Tamim Iqbal,MS Dhoni,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
15,Mohammad Ashraful,YK Pathan,Junaid Siddique,0,0,0,24,156,0,1,1,-,4.0,2,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
16,Mohammad Ashraful,YK Pathan,Junaid Siddique,3,0,3,27,153,3,2,1,-,5.0,2,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
17,Junaid Siddique,YK Pathan,Mohammad Ashraful,1,0,1,28,152,10,6,1,-,6.0,2,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
18,Junaid Siddique,Z Khan,Mohammad Ashraful,0,0,0,28,152,10,7,1,-,1.0,3,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
19,Junaid Siddique,Z Khan,Mohammad Ashraful,1,0,1,29,151,11,8,1,-,2.0,3,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
20,Mohammad Ashraful,Z Khan,Junaid Siddique,1,0,1,30,150,4,3,1,-,3.0,3,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
21,Junaid Siddique,Z Khan,Mohammad Ashraful,0,0,0,30,150,11,9,1,-,4.0,3,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
22,Junaid Siddique,Z Khan,Mohammad Ashraful,4,0,4,34,146,15,10,1,-,5.0,3,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
23,Junaid Siddique,Z Khan,Mohammad Ashraful,4,0,4,38,142,19,11,1,-,6.0,3,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
24,Mohammad Ashraful,YK Pathan,Junaid Siddique,0,0,0,38,142,4,4,1,-,1.0,4,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
25,Mohammad Ashraful,YK Pathan,Junaid Siddique,0,0,0,38,142,4,5,1,-,2.0,4,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
26,Mohammad Ashraful,YK Pathan,Junaid Siddique,1,0,1,39,141,5,6,1,-,3.0,4,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
27,Junaid Siddique,YK Pathan,Mohammad Ashraful,2,0,2,41,139,21,12,1,-,4.0,4,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
28,Junaid Siddique,YK Pathan,Mohammad Ashraful,6,0,6,47,133,27,13,1,-,5.0,4,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
29,Junaid Siddique,YK Pathan,Mohammad Ashraful,1,0,1,48,132,28,14,1,-,6.0,4,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
30,Junaid Siddique,I Sharma,Mohammad Ashraful,1,0,1,49,131,29,15,1,-,1.0,5,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
31,Mohammad Ashraful,I Sharma,Junaid Siddique,4,0,4,53,127,9,7,1,-,2.0,5,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
32,Mohammad Ashraful,I Sharma,Junaid Siddique,2,0,2,55,125,11,8,1,-,3.0,5,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
33,Mohammad Ashraful,I Sharma,Junaid Siddique,0,0,0,55,125,11,9,2,-,4.0,5,caught,Mohammad Ashraful,G Gambhir,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
34,Shakib Al Hasan,I Sharma,Junaid Siddique,0,0,0,55,125,0,1,2,-,5.0,5,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
35,Shakib Al Hasan,I Sharma,Junaid Siddique,0,0,0,55,125,0,2,2,-,6.0,5,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
36,Junaid Siddique,YK Pathan,Shakib Al Hasan,1,0,1,56,124,30,16,2,-,1.0,6,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
37,Shakib Al Hasan,YK Pathan,Junaid Siddique,2,0,2,58,122,2,3,2,-,2.0,6,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
38,Shakib Al Hasan,YK Pathan,Junaid Siddique,2,0,2,60,120,4,4,2,-,3.0,6,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
39,Shakib Al Hasan,YK Pathan,Junaid Siddique,1,0,1,61,119,5,5,2,-,4.0,6,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
40,Junaid Siddique,YK Pathan,Shakib Al Hasan,1,0,1,62,118,31,17,2,-,5.0,6,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
41,Shakib Al Hasan,YK Pathan,Junaid Siddique,1,0,1,63,117,6,6,2,-,6.0,6,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
42,Shakib Al Hasan,Harbhajan Singh,Junaid Siddique,0,0,0,63,117,6,7,2,-,1.0,7,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
43,Shakib Al Hasan,Harbhajan Singh,Junaid Siddique,1,0,1,64,116,7,8,2,-,2.0,7,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
44,Junaid Siddique,Harbhajan Singh,Shakib Al Hasan,2,0,2,66,114,33,18,2,-,3.0,7,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
45,Junaid Siddique,Harbhajan Singh,Shakib Al Hasan,1,0,1,67,113,34,19,2,-,4.0,7,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
46,Shakib Al Hasan,Harbhajan Singh,Junaid Siddique,1,0,1,68,112,8,9,2,-,5.0,7,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
47,Junaid Siddique,Harbhajan Singh,Shakib Al Hasan,6,0,6,74,106,40,20,2,-,6.0,7,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
48,Shakib Al Hasan,PP Ojha,Junaid Siddique,0,0,0,74,106,8,10,3,-,1.0,8,caught,Shakib Al Hasan,MS Dhoni,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
49,Mahmudullah,PP Ojha,Junaid Siddique,1,0,1,75,105,1,1,3,-,2.0,8,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
50,Junaid Siddique,PP Ojha,Mahmudullah,1,0,1,76,104,41,21,3,-,3.0,8,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
51,Mahmudullah,PP Ojha,Junaid Siddique,1,0,1,77,103,2,2,3,-,4.0,8,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
52,Junaid Siddique,PP Ojha,Mahmudullah,0,0,0,77,103,41,22,4,-,5.0,8,caught,Junaid Siddique,Harbhajan Singh,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
53,Mahmudullah,PP Ojha,Raqibul Hasan,1,0,1,78,102,3,3,4,-,6.0,8,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
54,Mahmudullah,Harbhajan Singh,Raqibul Hasan,1,0,1,79,101,4,4,4,-,1.0,9,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
55,Raqibul Hasan,Harbhajan Singh,Mahmudullah,1,0,1,80,100,1,1,4,-,2.0,9,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
56,Mahmudullah,Harbhajan Singh,Raqibul Hasan,0,1,1,81,99,4,5,4,legbyes,3.0,9,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
57,Raqibul Hasan,Harbhajan Singh,Mahmudullah,0,0,0,81,99,1,2,4,-,4.0,9,0,,,bat,India,2,Trent Bridge,2009,06,Bangladesh_India_2009-06-06,India,Bangladesh,India,False,155
