,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RS Bopara,Yasir Arafat,LJ Wright,0,0,0,0,180,0,1,0,1,1,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
1,RS Bopara,Yasir Arafat,LJ Wright,0,0,0,0,180,0,2,0,2,1,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
2,RS Bopara,Yasir Arafat,LJ Wright,4,0,4,4,176,4,3,0,3,1,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
3,RS Bopara,Yasir Arafat,LJ Wright,1,0,1,5,175,5,4,0,4,1,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
4,LJ Wright,Yasir Arafat,RS Bopara,0,0,0,5,175,0,1,0,5,1,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
5,LJ Wright,Yasir Arafat,RS Bopara,4,0,4,9,171,4,2,0,6,1,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
6,RS Bopara,Mohammad Amir,LJ Wright,0,0,0,9,171,5,5,0,1,2,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
7,RS Bopara,Mohammad Amir,LJ Wright,0,0,0,9,171,5,6,1,2,2,caught,RS Bopara,Shoaib Malik,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
8,KP Pietersen,Mohammad Amir,LJ Wright,0,0,0,9,171,0,1,1,3,2,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
9,KP Pietersen,Mohammad Amir,LJ Wright,0,0,0,9,171,0,2,1,4,2,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
10,KP Pietersen,Mohammad Amir,LJ Wright,1,0,1,10,170,1,3,1,5,2,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
11,LJ Wright,Mohammad Amir,KP Pietersen,0,0,0,10,170,4,3,1,6,2,0,,,-,field,Pakistan,1,Kennington Oval,2009,06,England_Pakistan_2009-06-07,England,England,Pakistan,185
