,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,TM Dilshan,WB Rankin,ST Jayasuriya,0,0,0,0,,0,1,0,-,1.0,0,,,0,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Right hand Bat,Left hand Bat,Right arm Fast
1,TM Dilshan,WB Rankin,ST Jayasuriya,0,0,0,0,,0,2,1,-,2.0,caught,TM Dilshan,NJ O'Brien,0,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Right hand Bat,Left hand Bat,Right arm Fast
2,ST Jayasuriya,WB Rankin,KC Sangakkara,0,0,0,0,,0,1,1,-,3.0,0,,,0,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Left hand Bat,Left hand Bat,Right arm Fast
3,ST Jayasuriya,WB Rankin,KC Sangakkara,4,0,4,4,,4,2,1,-,4.0,0,,,0,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Left hand Bat,Left hand Bat,Right arm Fast
4,ST Jayasuriya,WB Rankin,KC Sangakkara,0,0,0,4,,4,3,1,-,5.0,0,,,0,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Left hand Bat,Left hand Bat,Right arm Fast
5,ST Jayasuriya,WB Rankin,KC Sangakkara,0,0,0,4,,4,4,1,-,6.0,0,,,0,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Left hand Bat,Left hand Bat,Right arm Fast
6,KC Sangakkara,DT Johnston,ST Jayasuriya,0,1,1,5,,0,1,1,wides,0.0,0,,,1,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Left hand Bat,Left hand Bat,Right arm Fast
7,KC Sangakkara,DT Johnston,ST Jayasuriya,0,0,0,5,,0,2,1,-,1.0,0,,,1,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Left hand Bat,Left hand Bat,Right arm Fast
8,KC Sangakkara,DT Johnston,ST Jayasuriya,0,0,0,5,,0,3,1,-,2.0,0,,,1,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Left hand Bat,Left hand Bat,Right arm Fast
9,KC Sangakkara,DT Johnston,ST Jayasuriya,1,0,1,6,,1,4,1,-,3.0,0,,,1,bat,Sri Lanka,1,Lord's,2009,06,Ireland_Sri Lanka_2009-06-14,Sri Lanka,Sri Lanka,Ireland,True,144,Left hand Bat,Left hand Bat,Right arm Fast
