,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,BB McCullum,I Udana,AJ Redmond,0,0,0,0,0,1,1,1,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
1,BB McCullum,I Udana,AJ Redmond,0,0,0,0,0,2,2,1,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
2,BB McCullum,I Udana,AJ Redmond,4,0,4,4,4,3,3,1,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
3,BB McCullum,I Udana,AJ Redmond,0,0,0,4,4,4,4,1,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
4,BB McCullum,I Udana,AJ Redmond,1,0,1,5,5,5,5,1,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
5,AJ Redmond,I Udana,BB McCullum,1,0,1,6,1,1,6,1,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
6,AJ Redmond,ST Jayasuriya,BB McCullum,1,0,1,7,2,2,1,2,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
7,BB McCullum,ST Jayasuriya,AJ Redmond,1,0,1,8,6,6,2,2,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
8,AJ Redmond,ST Jayasuriya,BB McCullum,4,0,4,12,6,3,3,2,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
9,AJ Redmond,ST Jayasuriya,BB McCullum,4,0,4,16,10,4,4,2,0,,,,-,bat,Sri Lanka,2,Trent Bridge,2009-06-16,New Zealand,Sri Lanka
