,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,TM Dilshan,NL McCullum,ST Jayasuriya,2,0,2,2,2,1,1,0,,,1,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
1,TM Dilshan,NL McCullum,ST Jayasuriya,1,0,1,3,3,2,2,0,,,1,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
2,ST Jayasuriya,NL McCullum,TM Dilshan,0,0,0,3,0,1,3,caught,ST Jayasuriya,LRPL Taylor,1,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
3,LPC Silva,NL McCullum,TM Dilshan,1,0,1,4,1,1,4,0,,,1,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
4,TM Dilshan,NL McCullum,LPC Silva,1,0,1,5,4,3,5,0,,,1,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
5,LPC Silva,NL McCullum,TM Dilshan,4,0,4,9,5,2,6,0,,,1,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
6,TM Dilshan,KD Mills,LPC Silva,0,0,0,9,4,4,1,0,,,2,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
7,TM Dilshan,KD Mills,LPC Silva,0,0,0,9,4,5,2,0,,,2,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
8,TM Dilshan,KD Mills,LPC Silva,1,0,1,10,5,6,3,0,,,2,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
9,LPC Silva,KD Mills,TM Dilshan,0,0,0,10,5,3,4,0,,,2,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
10,LPC Silva,KD Mills,TM Dilshan,4,0,4,14,9,4,5,0,,,2,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
11,LPC Silva,KD Mills,TM Dilshan,0,1,1,15,9,5,6,0,,,2,wides,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
12,LPC Silva,KD Mills,TM Dilshan,0,0,0,15,9,6,7,0,,,2,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
13,TM Dilshan,JDP Oram,LPC Silva,0,0,0,15,5,7,1,0,,,3,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
14,TM Dilshan,JDP Oram,LPC Silva,0,0,0,15,5,8,2,0,,,3,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
15,TM Dilshan,JDP Oram,LPC Silva,1,0,1,16,6,9,3,0,,,3,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
16,LPC Silva,JDP Oram,TM Dilshan,0,0,0,16,9,7,4,0,,,3,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
17,LPC Silva,JDP Oram,TM Dilshan,2,0,2,18,11,8,5,0,,,3,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
18,LPC Silva,JDP Oram,TM Dilshan,1,0,1,19,12,9,6,0,,,3,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
19,LPC Silva,KD Mills,TM Dilshan,1,0,1,20,13,10,1,0,,,4,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
20,TM Dilshan,KD Mills,LPC Silva,4,0,4,24,10,10,2,0,,,4,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
21,TM Dilshan,KD Mills,LPC Silva,0,0,0,24,10,11,3,0,,,4,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
22,TM Dilshan,KD Mills,LPC Silva,1,0,1,25,11,12,4,0,,,4,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
23,LPC Silva,KD Mills,TM Dilshan,0,0,0,25,13,11,5,caught,LPC Silva,JDP Oram,4,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
24,TM Dilshan,KD Mills,KC Sangakkara,2,0,2,27,13,13,6,0,,,4,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
25,KC Sangakkara,IG Butler,TM Dilshan,4,0,4,31,4,1,1,0,,,5,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
26,KC Sangakkara,IG Butler,TM Dilshan,4,0,4,35,8,2,2,0,,,5,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
27,KC Sangakkara,IG Butler,TM Dilshan,0,0,0,35,8,3,3,0,,,5,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
28,KC Sangakkara,IG Butler,TM Dilshan,0,0,0,35,8,4,4,0,,,5,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
29,KC Sangakkara,IG Butler,TM Dilshan,4,0,4,39,12,5,5,0,,,5,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
30,KC Sangakkara,IG Butler,TM Dilshan,0,0,0,39,12,6,6,0,,,5,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
31,TM Dilshan,KD Mills,KC Sangakkara,4,0,4,43,17,14,1,0,,,6,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
32,TM Dilshan,KD Mills,KC Sangakkara,0,0,0,43,17,15,2,0,,,6,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
33,TM Dilshan,KD Mills,KC Sangakkara,4,0,4,47,21,16,3,0,,,6,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
34,TM Dilshan,KD Mills,KC Sangakkara,0,0,0,47,21,17,4,0,,,6,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
35,TM Dilshan,KD Mills,KC Sangakkara,0,0,0,47,21,18,5,0,,,6,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
36,TM Dilshan,KD Mills,KC Sangakkara,4,0,4,51,25,19,6,0,,,6,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
37,KC Sangakkara,NL McCullum,TM Dilshan,0,0,0,51,12,7,1,0,,,7,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
38,KC Sangakkara,NL McCullum,TM Dilshan,0,0,0,51,12,8,2,0,,,7,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
39,KC Sangakkara,NL McCullum,TM Dilshan,1,0,1,52,13,9,3,0,,,7,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
40,TM Dilshan,NL McCullum,KC Sangakkara,1,0,1,53,26,20,4,0,,,7,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
41,KC Sangakkara,NL McCullum,TM Dilshan,0,0,0,53,13,10,5,0,,,7,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
42,KC Sangakkara,NL McCullum,TM Dilshan,1,0,1,54,14,11,6,0,,,7,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
43,KC Sangakkara,DL Vettori,TM Dilshan,2,0,2,56,16,12,1,0,,,8,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
44,KC Sangakkara,DL Vettori,TM Dilshan,0,1,1,57,16,13,2,0,,,8,wides,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
45,KC Sangakkara,DL Vettori,TM Dilshan,0,2,2,59,16,14,3,0,,,8,wides,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
46,TM Dilshan,DL Vettori,KC Sangakkara,2,0,2,61,28,21,4,0,,,8,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
47,TM Dilshan,DL Vettori,KC Sangakkara,1,0,1,62,29,22,5,0,,,8,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
48,KC Sangakkara,DL Vettori,TM Dilshan,1,0,1,63,17,15,6,0,,,8,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
49,TM Dilshan,DL Vettori,KC Sangakkara,2,0,2,65,31,23,7,0,,,8,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
50,TM Dilshan,DL Vettori,KC Sangakkara,1,0,1,66,32,24,8,0,,,8,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
51,TM Dilshan,NL McCullum,KC Sangakkara,1,0,1,67,33,25,1,0,,,9,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
52,KC Sangakkara,NL McCullum,TM Dilshan,0,0,0,67,17,16,2,0,,,9,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
53,KC Sangakkara,NL McCullum,TM Dilshan,1,0,1,68,18,17,3,0,,,9,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
54,TM Dilshan,NL McCullum,KC Sangakkara,1,0,1,69,34,26,4,0,,,9,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
55,KC Sangakkara,NL McCullum,TM Dilshan,1,0,1,70,19,18,5,0,,,9,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
56,TM Dilshan,NL McCullum,KC Sangakkara,1,0,1,71,35,27,6,0,,,9,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
57,TM Dilshan,SB Styris,KC Sangakkara,4,0,4,75,39,28,1,0,,,10,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
58,TM Dilshan,SB Styris,KC Sangakkara,2,0,2,77,41,29,2,0,,,10,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
59,TM Dilshan,SB Styris,KC Sangakkara,1,0,1,78,42,30,3,0,,,10,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
60,KC Sangakkara,SB Styris,TM Dilshan,1,0,1,79,20,19,4,0,,,10,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
61,TM Dilshan,SB Styris,KC Sangakkara,1,0,1,80,43,31,5,0,,,10,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
62,KC Sangakkara,SB Styris,TM Dilshan,0,0,0,80,20,20,6,0,,,10,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
63,TM Dilshan,NL McCullum,KC Sangakkara,0,0,0,80,43,32,1,0,,,11,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
64,TM Dilshan,NL McCullum,KC Sangakkara,1,0,1,81,44,33,2,0,,,11,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
65,KC Sangakkara,NL McCullum,TM Dilshan,0,0,0,81,20,21,3,0,,,11,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
66,KC Sangakkara,NL McCullum,TM Dilshan,1,0,1,82,21,22,4,0,,,11,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
67,TM Dilshan,NL McCullum,KC Sangakkara,2,0,2,84,46,34,5,0,,,11,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
68,TM Dilshan,NL McCullum,KC Sangakkara,1,0,1,85,47,35,6,0,,,11,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
69,TM Dilshan,DL Vettori,KC Sangakkara,1,0,1,86,48,36,1,0,,,12,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
70,KC Sangakkara,DL Vettori,TM Dilshan,1,0,1,87,22,23,2,0,,,12,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
71,TM Dilshan,DL Vettori,KC Sangakkara,0,0,0,87,48,37,3,caught,TM Dilshan,BB McCullum,12,-,bat,Sri Lanka,1,Trent Bridge,2009-06-16,Sri Lanka,New Zealand
