,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,G Gambhir,TG Southee,V Sehwag,0,0,0,0,,0,1,0,1,0,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
1,G Gambhir,TG Southee,V Sehwag,0,0,0,0,,0,2,0,2,0,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
2,G Gambhir,TG Southee,V Sehwag,1,0,1,1,,1,3,0,3,0,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
3,V Sehwag,TG Southee,G Gambhir,6,0,6,7,,6,1,0,4,0,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
4,V Sehwag,TG Southee,G Gambhir,6,0,6,13,,12,2,0,5,0,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
5,V Sehwag,TG Southee,G Gambhir,6,0,6,19,,18,3,0,6,0,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
6,G Gambhir,IE O'Brien,V Sehwag,0,0,0,19,,1,4,0,1,1,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
7,G Gambhir,IE O'Brien,V Sehwag,1,0,1,20,,2,5,0,2,1,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
8,V Sehwag,IE O'Brien,G Gambhir,0,0,0,20,,18,4,0,3,1,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
9,V Sehwag,IE O'Brien,G Gambhir,1,0,1,21,,19,5,0,4,1,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
10,G Gambhir,IE O'Brien,V Sehwag,4,0,4,25,,6,6,0,5,1,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
11,G Gambhir,IE O'Brien,V Sehwag,0,0,0,25,,6,7,1,6,1,bowled,G Gambhir,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
12,V Sehwag,IG Butler,SK Raina,0,0,0,25,,19,6,1,1,2,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
13,V Sehwag,IG Butler,SK Raina,6,0,6,31,,25,7,1,2,2,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
14,V Sehwag,IG Butler,SK Raina,0,0,0,31,,25,8,1,3,2,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
15,V Sehwag,IG Butler,SK Raina,1,0,1,32,,26,9,1,4,2,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
16,SK Raina,IG Butler,V Sehwag,0,0,0,32,,0,1,1,5,2,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
17,SK Raina,IG Butler,V Sehwag,0,0,0,32,,0,2,1,6,2,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
18,V Sehwag,IE O'Brien,SK Raina,0,0,0,32,,26,10,2,1,3,bowled,V Sehwag,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
19,RG Sharma,IE O'Brien,SK Raina,0,1,1,33,,0,1,2,2,3,0,,,legbyes,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
20,SK Raina,IE O'Brien,RG Sharma,0,0,0,33,,0,3,2,3,3,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
21,SK Raina,IE O'Brien,RG Sharma,6,0,6,39,,6,4,2,4,3,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
22,SK Raina,IE O'Brien,RG Sharma,1,0,1,40,,7,5,2,5,3,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
23,RG Sharma,IE O'Brien,SK Raina,0,0,0,40,,0,2,2,6,3,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
24,SK Raina,TG Southee,RG Sharma,0,0,0,40,,7,6,2,1,4,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
25,SK Raina,TG Southee,RG Sharma,0,1,1,41,,7,7,2,2,4,0,,,legbyes,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
26,RG Sharma,TG Southee,SK Raina,0,0,0,41,,0,3,2,3,4,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
27,RG Sharma,TG Southee,SK Raina,0,0,0,41,,0,4,2,4,4,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
28,RG Sharma,TG Southee,SK Raina,1,0,1,42,,1,5,2,5,4,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
29,SK Raina,TG Southee,RG Sharma,6,0,6,48,,13,8,2,6,4,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
30,RG Sharma,IG Butler,SK Raina,6,0,6,54,,7,6,2,1,5,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
31,RG Sharma,IG Butler,SK Raina,0,0,0,54,,7,7,3,2,5,caught,RG Sharma,BB McCullum,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
32,SK Raina,IG Butler,Yuvraj Singh,0,0,0,54,,13,9,3,3,5,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
33,SK Raina,IG Butler,Yuvraj Singh,0,0,0,54,,13,10,3,4,5,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
34,SK Raina,IG Butler,Yuvraj Singh,1,0,1,55,,14,11,3,5,5,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
35,Yuvraj Singh,IG Butler,SK Raina,1,0,1,56,,1,1,3,6,5,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
36,Yuvraj Singh,DL Vettori,SK Raina,0,0,0,56,,1,2,3,1,6,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
37,Yuvraj Singh,DL Vettori,SK Raina,0,0,0,56,,1,3,4,2,6,lbw,Yuvraj Singh,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
38,MS Dhoni,DL Vettori,SK Raina,1,0,1,57,,1,1,4,3,6,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
39,SK Raina,DL Vettori,MS Dhoni,1,0,1,58,,15,12,4,4,6,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
40,MS Dhoni,DL Vettori,SK Raina,0,0,0,58,,1,2,4,5,6,0,,,-,field,New Zealand,1,AMI Stadium,2009,02,New Zealand_India_2009-02-25,New Zealand,India,New Zealand,False,162
