,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,G Gambhir,SL Malinga,V Sehwag,4,0,4,4,167,4,1,0,-,1.0,0,,,0,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
1,G Gambhir,SL Malinga,V Sehwag,4,0,4,8,163,8,2,0,-,2.0,0,,,0,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
2,G Gambhir,SL Malinga,V Sehwag,1,0,1,9,162,9,3,0,-,3.0,0,,,0,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
3,V Sehwag,SL Malinga,G Gambhir,1,0,1,10,161,1,1,0,-,4.0,0,,,0,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
4,G Gambhir,SL Malinga,V Sehwag,4,0,4,14,157,13,4,0,-,5.0,0,,,0,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
5,G Gambhir,SL Malinga,V Sehwag,0,0,0,14,157,13,5,1,-,6.0,run out,V Sehwag,CK Kapugedera,0,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
6,G Gambhir,T Thushara,SK Raina,0,0,0,14,157,13,6,2,-,1.0,caught,G Gambhir,K Weeraratne,1,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
7,Yuvraj Singh,T Thushara,SK Raina,4,0,4,18,153,4,1,2,-,2.0,0,,,1,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
8,Yuvraj Singh,T Thushara,SK Raina,0,0,0,18,153,4,2,2,-,3.0,0,,,1,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
9,Yuvraj Singh,T Thushara,SK Raina,1,0,1,19,152,5,3,2,-,4.0,0,,,1,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
10,SK Raina,T Thushara,Yuvraj Singh,0,1,1,20,151,0,1,2,wides,4.0,0,,,1,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
11,SK Raina,T Thushara,Yuvraj Singh,0,0,0,20,151,0,2,2,-,5.0,0,,,1,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
12,SK Raina,T Thushara,Yuvraj Singh,0,0,0,20,151,0,3,2,-,6.0,0,,,1,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
13,Yuvraj Singh,SL Malinga,SK Raina,4,0,4,24,147,9,4,2,-,1.0,0,,,2,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
14,Yuvraj Singh,SL Malinga,SK Raina,0,0,0,24,147,9,5,2,-,2.0,0,,,2,bat,Sri Lanka,2,R Premadasa Stadium,2009,02,Sri Lanka_India_2009-02-10,India,India,Sri Lanka,True,174
