,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,GC Smith,JM Anderson,LE Bosman,0,0,0,0,202,0,1,0,1,1,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
1,GC Smith,JM Anderson,LE Bosman,0,0,0,0,202,0,2,0,2,1,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
2,GC Smith,JM Anderson,LE Bosman,0,0,0,0,202,0,3,0,3,1,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
3,GC Smith,JM Anderson,LE Bosman,0,0,0,0,202,0,4,0,4,1,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
4,GC Smith,JM Anderson,LE Bosman,1,0,1,1,201,1,5,0,5,1,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
5,LE Bosman,JM Anderson,GC Smith,1,0,1,2,200,1,1,0,6,1,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
6,LE Bosman,TT Bresnan,GC Smith,0,0,0,2,200,1,2,0,1,2,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
7,LE Bosman,TT Bresnan,GC Smith,0,0,0,2,200,1,3,0,2,2,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
8,LE Bosman,TT Bresnan,GC Smith,4,0,4,6,196,5,4,0,3,2,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
9,LE Bosman,TT Bresnan,GC Smith,6,0,6,12,190,11,5,0,4,2,-,0,,,field,South Africa,2,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,South Africa,England
