,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,GC Smith,JM Anderson,LE Bosman,0,0,0,0,0,1,1,-,1,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
1,GC Smith,JM Anderson,LE Bosman,0,0,0,0,0,2,2,-,1,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
2,GC Smith,JM Anderson,LE Bosman,0,1,1,1,0,3,3,wides,1,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
3,GC Smith,JM Anderson,LE Bosman,1,0,1,2,1,4,4,-,1,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
4,LE Bosman,JM Anderson,GC Smith,0,0,0,2,0,1,5,-,1,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
5,LE Bosman,JM Anderson,GC Smith,0,0,0,2,0,2,6,-,1,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
6,LE Bosman,JM Anderson,GC Smith,0,0,0,2,0,3,7,-,1,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
7,GC Smith,TT Bresnan,LE Bosman,4,0,4,6,5,5,1,-,2,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
8,GC Smith,TT Bresnan,LE Bosman,0,0,0,6,5,6,2,-,2,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
9,GC Smith,TT Bresnan,LE Bosman,1,0,1,7,6,7,3,-,2,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
10,LE Bosman,TT Bresnan,GC Smith,0,0,0,7,0,4,4,-,2,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
11,LE Bosman,TT Bresnan,GC Smith,0,0,0,7,0,5,5,-,2,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
12,LE Bosman,TT Bresnan,GC Smith,1,0,1,8,1,6,6,-,2,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
13,LE Bosman,JM Anderson,GC Smith,4,0,4,12,5,7,1,-,3,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
14,LE Bosman,JM Anderson,GC Smith,0,0,0,12,5,8,2,-,3,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
15,LE Bosman,JM Anderson,GC Smith,1,0,1,13,6,9,3,-,3,0,,,bat,South Africa,1,SuperSport Park,2009-11-15,South Africa,South Africa,England
