,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Salman Butt,B Lee,Ahmed Shehzad,4,0,4,4,104,4,1,0,-,1.0,0,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Left hand Bat,Right hand Bat,Right arm Fast
1,Salman Butt,B Lee,Ahmed Shehzad,4,0,4,8,100,8,2,0,-,2.0,0,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Left hand Bat,Right hand Bat,Right arm Fast
2,Salman Butt,B Lee,Ahmed Shehzad,1,0,1,9,99,9,3,0,-,3.0,0,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Left hand Bat,Right hand Bat,Right arm Fast
3,Ahmed Shehzad,B Lee,Salman Butt,0,0,0,9,99,0,1,0,-,4.0,0,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Right hand Bat,Left hand Bat,Right arm Fast
4,Ahmed Shehzad,B Lee,Salman Butt,0,0,0,9,99,0,2,0,-,5.0,0,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Right hand Bat,Left hand Bat,Right arm Fast
5,Ahmed Shehzad,B Lee,Salman Butt,0,0,0,9,99,0,3,0,-,6.0,0,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Right hand Bat,Left hand Bat,Right arm Fast
6,Salman Butt,NW Bracken,Ahmed Shehzad,1,0,1,10,98,10,4,0,-,1.0,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Left hand Bat,Right hand Bat,Left arm Fast
7,Ahmed Shehzad,NW Bracken,Salman Butt,0,0,0,10,98,0,4,0,-,2.0,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Right hand Bat,Left hand Bat,Left arm Fast
8,Ahmed Shehzad,NW Bracken,Salman Butt,0,1,1,11,97,0,4,0,wides,2.0,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Right hand Bat,Left hand Bat,Left arm Fast
9,Ahmed Shehzad,NW Bracken,Salman Butt,0,0,0,11,97,0,5,0,-,3.0,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Right hand Bat,Left hand Bat,Left arm Fast
10,Ahmed Shehzad,NW Bracken,Salman Butt,0,1,1,12,96,0,5,0,wides,3.0,1,0,,,field,Pakistan,2,Dubai International Cricket Stadium,2009,05,Australia_Pakistan_2009-05-07,Pakistan,Pakistan,Australia,True,109,Right hand Bat,Left hand Bat,Left arm Fast
