,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,ADS Fletcher,WB Rankin,S Chanderpaul,1,0,1,1,126,1,1,0,1,1,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
1,S Chanderpaul,WB Rankin,ADS Fletcher,0,0,0,1,126,0,1,0,2,1,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
2,S Chanderpaul,WB Rankin,ADS Fletcher,3,0,3,4,123,3,2,0,3,1,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
3,ADS Fletcher,WB Rankin,S Chanderpaul,2,0,2,6,121,3,2,0,4,1,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
4,ADS Fletcher,WB Rankin,S Chanderpaul,0,0,0,6,121,3,3,0,5,1,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
5,ADS Fletcher,WB Rankin,S Chanderpaul,1,0,1,7,120,4,4,0,6,1,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
6,ADS Fletcher,DT Johnston,S Chanderpaul,0,0,0,7,120,4,5,0,1,2,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
7,ADS Fletcher,DT Johnston,S Chanderpaul,1,0,1,8,119,5,6,0,2,2,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
8,S Chanderpaul,DT Johnston,ADS Fletcher,0,0,0,8,119,3,3,0,3,2,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
9,S Chanderpaul,DT Johnston,ADS Fletcher,0,0,0,8,119,3,4,0,4,2,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
10,S Chanderpaul,DT Johnston,ADS Fletcher,0,0,0,8,119,3,5,0,5,2,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
11,S Chanderpaul,DT Johnston,ADS Fletcher,1,0,1,9,118,4,6,0,6,2,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
12,S Chanderpaul,WB Rankin,ADS Fletcher,0,0,0,9,118,4,7,0,1,3,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
13,S Chanderpaul,WB Rankin,ADS Fletcher,2,0,2,11,116,6,8,0,2,3,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
14,S Chanderpaul,WB Rankin,ADS Fletcher,0,0,0,11,116,6,9,0,3,3,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
15,S Chanderpaul,WB Rankin,ADS Fletcher,4,0,4,15,112,10,10,0,4,3,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
16,S Chanderpaul,WB Rankin,ADS Fletcher,4,0,4,19,108,14,11,0,5,3,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
17,S Chanderpaul,WB Rankin,ADS Fletcher,0,0,0,19,108,14,12,1,6,3,caught,S Chanderpaul,GC Wilson,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
18,DJ Bravo,DT Johnston,ADS Fletcher,0,0,0,19,108,0,1,1,1,4,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
19,DJ Bravo,DT Johnston,ADS Fletcher,1,0,1,20,107,1,2,1,2,4,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
20,ADS Fletcher,DT Johnston,DJ Bravo,0,1,1,21,106,5,7,1,3,4,0,,,legbyes,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
21,DJ Bravo,DT Johnston,ADS Fletcher,2,0,2,23,104,3,3,1,4,4,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
22,DJ Bravo,DT Johnston,ADS Fletcher,0,0,0,23,104,3,4,1,5,4,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
23,DJ Bravo,DT Johnston,ADS Fletcher,6,0,6,29,98,9,5,1,6,4,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
24,ADS Fletcher,KJ O'Brien,DJ Bravo,4,0,4,33,94,9,8,1,1,5,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
25,ADS Fletcher,KJ O'Brien,DJ Bravo,0,0,0,33,94,9,9,1,2,5,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
26,ADS Fletcher,KJ O'Brien,DJ Bravo,1,0,1,34,93,10,10,1,3,5,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
27,DJ Bravo,KJ O'Brien,ADS Fletcher,2,0,2,36,91,11,6,1,4,5,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
28,DJ Bravo,KJ O'Brien,ADS Fletcher,0,0,0,36,91,11,7,1,5,5,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
29,DJ Bravo,KJ O'Brien,ADS Fletcher,1,0,1,37,90,12,8,1,6,5,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
30,DJ Bravo,AR Cusack,ADS Fletcher,6,0,6,43,84,18,9,1,1,6,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
31,DJ Bravo,AR Cusack,ADS Fletcher,0,0,0,43,84,18,10,2,2,6,caught and bowled,DJ Bravo,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
32,RR Sarwan,AR Cusack,ADS Fletcher,0,0,0,43,84,0,1,2,3,6,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
33,RR Sarwan,AR Cusack,ADS Fletcher,0,0,0,43,84,0,2,2,4,6,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
34,RR Sarwan,AR Cusack,ADS Fletcher,0,0,0,43,84,0,3,2,5,6,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
35,RR Sarwan,AR Cusack,ADS Fletcher,0,0,0,43,84,0,4,2,6,6,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
36,ADS Fletcher,PR Stirling,RR Sarwan,1,0,1,44,83,11,11,2,1,7,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
37,RR Sarwan,PR Stirling,ADS Fletcher,1,0,1,45,82,1,5,2,2,7,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
38,ADS Fletcher,PR Stirling,RR Sarwan,0,0,0,45,82,11,12,2,3,7,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
39,ADS Fletcher,PR Stirling,RR Sarwan,0,0,0,45,82,11,13,2,4,7,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
40,ADS Fletcher,PR Stirling,RR Sarwan,1,0,1,46,81,12,14,2,5,7,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
41,RR Sarwan,PR Stirling,ADS Fletcher,1,0,1,47,80,2,6,2,6,7,0,,,-,bat,West Indies,1,Providence Stadium,2010,04,West Indies_Ireland_2010-04-30,West Indies,West Indies,Ireland
