,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,WTS Porterfield,TT Bresnan,PR Stirling,0,0,0,0,0,1,1,1,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
1,WTS Porterfield,TT Bresnan,PR Stirling,0,0,0,0,0,2,2,1,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
2,WTS Porterfield,TT Bresnan,PR Stirling,0,0,0,0,0,3,3,1,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
3,WTS Porterfield,TT Bresnan,PR Stirling,3,0,3,3,3,4,4,1,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
4,PR Stirling,TT Bresnan,WTS Porterfield,0,0,0,3,0,1,5,1,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
5,PR Stirling,TT Bresnan,WTS Porterfield,0,0,0,3,0,2,6,1,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
6,WTS Porterfield,RJ Sidebottom,PR Stirling,0,0,0,3,3,5,1,2,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
7,WTS Porterfield,RJ Sidebottom,PR Stirling,1,0,1,4,4,6,2,2,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
8,PR Stirling,RJ Sidebottom,WTS Porterfield,0,0,0,4,0,3,3,2,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
9,PR Stirling,RJ Sidebottom,WTS Porterfield,0,0,0,4,0,4,4,2,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
10,PR Stirling,RJ Sidebottom,WTS Porterfield,0,0,0,4,0,5,5,2,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
11,PR Stirling,RJ Sidebottom,WTS Porterfield,0,0,0,4,0,6,6,2,caught,PR Stirling,MJ Lumb,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
12,NJ O'Brien,TT Bresnan,WTS Porterfield,0,0,0,4,0,1,1,3,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
13,NJ O'Brien,TT Bresnan,WTS Porterfield,1,0,1,5,1,2,2,3,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
14,WTS Porterfield,TT Bresnan,NJ O'Brien,0,0,0,5,4,7,3,3,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
15,WTS Porterfield,TT Bresnan,NJ O'Brien,0,0,0,5,4,8,4,3,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
16,WTS Porterfield,TT Bresnan,NJ O'Brien,0,1,1,6,4,9,5,3,0,,,wides,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
17,WTS Porterfield,TT Bresnan,NJ O'Brien,0,0,0,6,4,10,6,3,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
18,WTS Porterfield,TT Bresnan,NJ O'Brien,0,0,0,6,4,11,7,3,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
19,NJ O'Brien,RJ Sidebottom,WTS Porterfield,4,0,4,10,5,3,1,4,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
20,NJ O'Brien,RJ Sidebottom,WTS Porterfield,4,0,4,14,9,4,2,4,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
21,NJ O'Brien,RJ Sidebottom,WTS Porterfield,0,0,0,14,9,5,3,4,0,,,-,field,Ireland,2,Providence Stadium,2010-05-04,Ireland,England
