,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Kamran Akmal,DP Nannes,Salman Butt,0,1,1,1,190,0,1,0,wides,0.0,0,,,0,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
1,Kamran Akmal,DP Nannes,Salman Butt,0,0,0,1,190,0,2,1,-,1.0,caught,Kamran Akmal,SPD Smith,0,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
2,Mohammad Hafeez,DP Nannes,Salman Butt,4,0,4,5,186,4,1,1,-,2.0,0,,,0,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
3,Mohammad Hafeez,DP Nannes,Salman Butt,0,0,0,5,186,4,2,1,-,3.0,0,,,0,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
4,Mohammad Hafeez,DP Nannes,Salman Butt,0,0,0,5,186,4,3,1,-,4.0,0,,,0,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
5,Mohammad Hafeez,DP Nannes,Salman Butt,0,0,0,5,186,4,4,1,-,5.0,0,,,0,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
6,Mohammad Hafeez,DP Nannes,Salman Butt,4,0,4,9,182,8,5,1,-,6.0,0,,,0,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
7,Salman Butt,SW Tait,Mohammad Hafeez,0,1,1,10,181,0,1,1,wides,0.0,0,,,1,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
8,Salman Butt,SW Tait,Mohammad Hafeez,0,0,0,10,181,0,2,1,-,1.0,0,,,1,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
9,Salman Butt,SW Tait,Mohammad Hafeez,2,0,2,12,179,2,3,1,-,2.0,0,,,1,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
10,Salman Butt,SW Tait,Mohammad Hafeez,1,0,1,13,178,3,4,1,-,3.0,0,,,1,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
11,Mohammad Hafeez,SW Tait,Salman Butt,0,0,0,13,178,8,6,1,-,4.0,0,,,1,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
12,Mohammad Hafeez,SW Tait,Salman Butt,0,0,0,13,178,8,7,1,-,5.0,0,,,1,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
13,Mohammad Hafeez,SW Tait,Salman Butt,0,1,1,14,177,8,8,1,wides,5.0,0,,,1,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
14,Mohammad Hafeez,SW Tait,Salman Butt,0,0,0,14,177,8,9,1,-,6.0,0,,,1,bat,Australia,2,"Beausejour Stadium, Gros Islet",2010,05,Australia_Pakistan_2010-05-02,Australia,Pakistan,Australia,False,157
