,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,MJ Lumb,SJ Benn,C Kieswetter,0,0,0,0,0,1,1,1,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
1,MJ Lumb,SJ Benn,C Kieswetter,0,0,0,0,0,2,2,1,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
2,MJ Lumb,SJ Benn,C Kieswetter,2,0,2,2,2,3,3,1,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
3,MJ Lumb,SJ Benn,C Kieswetter,2,0,2,4,4,4,4,1,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
4,MJ Lumb,SJ Benn,C Kieswetter,0,0,0,4,4,5,5,1,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
5,MJ Lumb,SJ Benn,C Kieswetter,1,0,1,5,5,6,6,1,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
6,MJ Lumb,R Rampaul,C Kieswetter,0,1,1,6,5,7,1,2,wides,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
7,MJ Lumb,R Rampaul,C Kieswetter,4,0,4,10,9,8,2,2,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
8,MJ Lumb,R Rampaul,C Kieswetter,0,1,1,11,9,9,3,2,wides,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
9,MJ Lumb,R Rampaul,C Kieswetter,4,0,4,15,13,10,4,2,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
10,MJ Lumb,R Rampaul,C Kieswetter,2,1,3,18,15,11,5,2,noballs,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
11,MJ Lumb,R Rampaul,C Kieswetter,0,0,0,18,15,12,6,2,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
12,MJ Lumb,R Rampaul,C Kieswetter,0,0,0,18,15,13,7,2,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
13,MJ Lumb,R Rampaul,C Kieswetter,2,0,2,20,17,14,8,2,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
14,MJ Lumb,R Rampaul,C Kieswetter,1,0,1,21,18,15,9,2,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
15,MJ Lumb,SJ Benn,C Kieswetter,4,0,4,25,22,16,1,3,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
16,MJ Lumb,SJ Benn,C Kieswetter,4,0,4,29,26,17,2,3,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
17,MJ Lumb,SJ Benn,C Kieswetter,1,0,1,30,27,18,3,3,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
18,C Kieswetter,SJ Benn,MJ Lumb,0,0,0,30,0,1,4,3,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
19,C Kieswetter,SJ Benn,MJ Lumb,0,0,0,30,0,2,5,3,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
20,C Kieswetter,SJ Benn,MJ Lumb,0,0,0,30,0,3,6,3,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
21,MJ Lumb,CH Gayle,C Kieswetter,1,0,1,31,28,19,1,4,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
22,C Kieswetter,CH Gayle,MJ Lumb,4,0,4,35,4,4,2,4,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
23,C Kieswetter,CH Gayle,MJ Lumb,1,0,1,36,5,5,3,4,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
24,MJ Lumb,CH Gayle,C Kieswetter,0,0,0,36,28,20,4,4,-,bowled,MJ Lumb,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
25,KP Pietersen,CH Gayle,C Kieswetter,4,0,4,40,4,1,5,4,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
26,KP Pietersen,CH Gayle,C Kieswetter,1,0,1,41,5,2,6,4,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
27,KP Pietersen,NO Miller,C Kieswetter,0,0,0,41,5,3,1,5,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
28,KP Pietersen,NO Miller,C Kieswetter,2,0,2,43,7,4,2,5,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
29,KP Pietersen,NO Miller,C Kieswetter,1,0,1,44,8,5,3,5,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
30,C Kieswetter,NO Miller,KP Pietersen,6,0,6,50,11,6,4,5,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
31,C Kieswetter,NO Miller,KP Pietersen,1,0,1,51,12,7,5,5,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
32,KP Pietersen,NO Miller,C Kieswetter,0,0,0,51,8,6,6,5,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
33,C Kieswetter,R Rampaul,KP Pietersen,0,0,0,51,12,8,1,6,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
34,C Kieswetter,R Rampaul,KP Pietersen,6,0,6,57,18,9,2,6,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
35,C Kieswetter,R Rampaul,KP Pietersen,1,0,1,58,19,10,3,6,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
36,KP Pietersen,R Rampaul,C Kieswetter,1,0,1,59,9,7,4,6,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
37,C Kieswetter,R Rampaul,KP Pietersen,1,0,1,60,20,11,5,6,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
38,KP Pietersen,R Rampaul,C Kieswetter,0,0,0,60,9,8,6,6,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
39,C Kieswetter,NO Miller,KP Pietersen,0,0,0,60,20,12,1,7,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
40,C Kieswetter,NO Miller,KP Pietersen,6,0,6,66,26,13,2,7,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
41,C Kieswetter,NO Miller,KP Pietersen,0,0,0,66,26,14,3,7,-,lbw,C Kieswetter,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
42,PD Collingwood,NO Miller,KP Pietersen,0,0,0,66,0,1,4,7,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
43,PD Collingwood,NO Miller,KP Pietersen,3,0,3,69,3,2,5,7,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
44,KP Pietersen,NO Miller,PD Collingwood,2,0,2,71,11,9,6,7,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
45,PD Collingwood,DJG Sammy,KP Pietersen,1,0,1,72,4,3,1,8,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
46,KP Pietersen,DJG Sammy,PD Collingwood,1,0,1,73,12,10,2,8,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
47,PD Collingwood,DJG Sammy,KP Pietersen,1,0,1,74,5,4,3,8,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
48,KP Pietersen,DJG Sammy,PD Collingwood,0,0,0,74,12,11,4,8,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
49,KP Pietersen,DJG Sammy,PD Collingwood,0,0,0,74,12,12,5,8,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
50,KP Pietersen,DJG Sammy,PD Collingwood,1,0,1,75,13,13,6,8,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
51,KP Pietersen,NO Miller,PD Collingwood,0,0,0,75,13,14,1,9,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
52,KP Pietersen,NO Miller,PD Collingwood,1,0,1,76,14,15,2,9,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
53,PD Collingwood,NO Miller,KP Pietersen,1,0,1,77,6,5,3,9,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
54,KP Pietersen,NO Miller,PD Collingwood,2,0,2,79,16,16,4,9,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
55,KP Pietersen,NO Miller,PD Collingwood,1,0,1,80,17,17,5,9,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
56,PD Collingwood,NO Miller,KP Pietersen,0,0,0,80,6,6,6,9,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
57,KP Pietersen,DJG Sammy,PD Collingwood,1,0,1,81,18,18,1,10,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
58,PD Collingwood,DJG Sammy,KP Pietersen,0,0,0,81,6,7,2,10,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
59,PD Collingwood,DJG Sammy,KP Pietersen,0,0,0,81,6,8,3,10,-,bowled,PD Collingwood,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
60,EJG Morgan,DJG Sammy,KP Pietersen,1,0,1,82,1,1,4,10,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
61,KP Pietersen,DJG Sammy,EJG Morgan,6,0,6,88,24,19,5,10,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
62,KP Pietersen,DJG Sammy,EJG Morgan,0,0,0,88,24,20,6,10,-,caught,KP Pietersen,RR Sarwan,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
63,EJG Morgan,NO Miller,LJ Wright,1,0,1,89,2,2,1,11,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
64,LJ Wright,NO Miller,EJG Morgan,0,0,0,89,0,1,2,11,-,0,,,field,West Indies,1,Providence Stadium,2010-05-03,West Indies,England,West Indies
