,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Kamran Akmal,SE Bond,Salman Butt,0,0,0,0,0,1,1,1,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
1,Kamran Akmal,SE Bond,Salman Butt,2,0,2,2,2,2,2,1,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
2,Kamran Akmal,SE Bond,Salman Butt,1,0,1,3,3,3,3,1,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
3,Salman Butt,SE Bond,Kamran Akmal,1,0,1,4,1,1,4,1,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
4,Kamran Akmal,SE Bond,Salman Butt,0,0,0,4,3,4,5,1,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
5,Kamran Akmal,SE Bond,Salman Butt,0,0,0,4,3,5,6,1,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
6,Salman Butt,KD Mills,Kamran Akmal,1,0,1,5,2,2,1,2,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
7,Kamran Akmal,KD Mills,Salman Butt,1,0,1,6,4,6,2,2,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
8,Salman Butt,KD Mills,Kamran Akmal,1,0,1,7,3,3,3,2,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
9,Kamran Akmal,KD Mills,Salman Butt,0,1,1,8,4,7,4,2,wides,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
10,Kamran Akmal,KD Mills,Salman Butt,1,1,2,10,5,8,5,2,noballs,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
11,Salman Butt,KD Mills,Kamran Akmal,4,0,4,14,7,4,6,2,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
12,Salman Butt,KD Mills,Kamran Akmal,1,0,1,15,8,5,7,2,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
13,Kamran Akmal,KD Mills,Salman Butt,0,0,0,15,5,9,8,2,-,bowled,Kamran Akmal,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
14,Salman Butt,SE Bond,Mohammad Hafeez,0,0,0,15,8,6,1,3,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
15,Salman Butt,SE Bond,Mohammad Hafeez,1,0,1,16,9,7,2,3,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
16,Mohammad Hafeez,SE Bond,Salman Butt,0,0,0,16,0,1,3,3,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
17,Mohammad Hafeez,SE Bond,Salman Butt,4,0,4,20,4,2,4,3,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
18,Mohammad Hafeez,SE Bond,Salman Butt,4,0,4,24,8,3,5,3,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
19,Mohammad Hafeez,SE Bond,Salman Butt,0,0,0,24,8,4,6,3,-,caught,Mohammad Hafeez,GJ Hopkins,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
20,Salman Butt,KD Mills,Umar Akmal,1,0,1,25,10,8,1,4,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
21,Umar Akmal,KD Mills,Salman Butt,0,0,0,25,0,1,2,4,-,caught,Umar Akmal,GJ Hopkins,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
22,Misbah-ul-Haq,KD Mills,Salman Butt,0,1,1,26,0,1,3,4,wides,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
23,Misbah-ul-Haq,KD Mills,Salman Butt,0,0,0,26,0,2,4,4,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
24,Misbah-ul-Haq,KD Mills,Salman Butt,0,0,0,26,0,3,5,4,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
25,Misbah-ul-Haq,KD Mills,Salman Butt,0,0,0,26,0,4,6,4,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
26,Misbah-ul-Haq,KD Mills,Salman Butt,1,0,1,27,1,5,7,4,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
27,Misbah-ul-Haq,IG Butler,Salman Butt,0,0,0,27,1,6,1,5,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
28,Misbah-ul-Haq,IG Butler,Salman Butt,0,0,0,27,1,7,2,5,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
29,Misbah-ul-Haq,IG Butler,Salman Butt,0,0,0,27,1,8,3,5,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
30,Misbah-ul-Haq,IG Butler,Salman Butt,0,0,0,27,1,9,4,5,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
31,Misbah-ul-Haq,IG Butler,Salman Butt,0,0,0,27,1,10,5,5,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
32,Misbah-ul-Haq,IG Butler,Salman Butt,0,0,0,27,1,11,6,5,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
33,Salman Butt,KD Mills,Misbah-ul-Haq,0,0,0,27,10,9,1,6,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
34,Salman Butt,KD Mills,Misbah-ul-Haq,0,0,0,27,10,10,2,6,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
35,Salman Butt,KD Mills,Misbah-ul-Haq,4,0,4,31,14,11,3,6,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
36,Salman Butt,KD Mills,Misbah-ul-Haq,0,0,0,31,14,12,4,6,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
37,Salman Butt,KD Mills,Misbah-ul-Haq,0,0,0,31,14,13,5,6,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
38,Salman Butt,KD Mills,Misbah-ul-Haq,4,0,4,35,18,14,6,6,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
39,Misbah-ul-Haq,DL Vettori,Salman Butt,1,0,1,36,2,12,1,7,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
40,Salman Butt,DL Vettori,Misbah-ul-Haq,0,0,0,36,18,15,2,7,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
41,Salman Butt,DL Vettori,Misbah-ul-Haq,4,0,4,40,22,16,3,7,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
42,Salman Butt,DL Vettori,Misbah-ul-Haq,1,0,1,41,23,17,4,7,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
43,Misbah-ul-Haq,DL Vettori,Salman Butt,1,0,1,42,3,13,5,7,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
44,Salman Butt,DL Vettori,Misbah-ul-Haq,0,0,0,42,23,18,6,7,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
45,Misbah-ul-Haq,IG Butler,Salman Butt,0,0,0,42,3,14,1,8,-,lbw,Misbah-ul-Haq,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
46,Shahid Afridi,IG Butler,Salman Butt,1,0,1,43,1,1,2,8,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
47,Salman Butt,IG Butler,Shahid Afridi,0,0,0,43,23,19,3,8,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
48,Salman Butt,IG Butler,Shahid Afridi,1,0,1,44,24,20,4,8,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
49,Shahid Afridi,IG Butler,Salman Butt,4,0,4,48,5,2,5,8,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
50,Shahid Afridi,IG Butler,Salman Butt,1,0,1,49,6,3,6,8,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
51,Shahid Afridi,DL Vettori,Salman Butt,1,0,1,50,7,4,1,9,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
52,Salman Butt,DL Vettori,Shahid Afridi,1,0,1,51,25,21,2,9,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
53,Shahid Afridi,DL Vettori,Salman Butt,1,0,1,52,8,5,3,9,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
54,Salman Butt,DL Vettori,Shahid Afridi,1,0,1,53,26,22,4,9,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
55,Shahid Afridi,DL Vettori,Salman Butt,2,0,2,55,10,6,5,9,-,0,,,field,Pakistan,2,"Kensington Oval, Bridgetown",2010-05-08,New Zealand,Pakistan,New Zealand
