,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,M Vijay,DJG Sammy,G Gambhir,1,0,1,1,1,1,1,1,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
1,G Gambhir,DJG Sammy,M Vijay,1,0,1,2,1,1,2,1,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
2,M Vijay,DJG Sammy,G Gambhir,0,0,0,2,1,2,3,1,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
3,M Vijay,DJG Sammy,G Gambhir,0,0,0,2,1,3,4,1,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
4,M Vijay,DJG Sammy,G Gambhir,0,0,0,2,1,4,5,1,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
5,M Vijay,DJG Sammy,G Gambhir,1,0,1,3,2,5,6,1,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
6,M Vijay,JE Taylor,G Gambhir,0,0,0,3,2,6,1,2,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
7,M Vijay,JE Taylor,G Gambhir,1,0,1,4,3,7,2,2,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
8,G Gambhir,JE Taylor,M Vijay,0,0,0,4,1,2,3,2,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
9,G Gambhir,JE Taylor,M Vijay,0,0,0,4,1,3,4,2,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
10,G Gambhir,JE Taylor,M Vijay,1,0,1,5,2,4,5,2,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
11,M Vijay,JE Taylor,G Gambhir,1,0,1,6,4,8,6,2,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
12,M Vijay,KAJ Roach,G Gambhir,0,1,1,7,4,9,1,3,wides,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
13,M Vijay,KAJ Roach,G Gambhir,0,1,1,8,4,10,2,3,wides,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
14,M Vijay,KAJ Roach,G Gambhir,2,0,2,10,6,11,3,3,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
15,M Vijay,KAJ Roach,G Gambhir,0,0,0,10,6,12,4,3,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
16,M Vijay,KAJ Roach,G Gambhir,0,0,0,10,6,13,5,3,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
17,M Vijay,KAJ Roach,G Gambhir,0,0,0,10,6,14,6,3,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
18,M Vijay,KAJ Roach,G Gambhir,1,0,1,11,7,15,7,3,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
19,G Gambhir,KAJ Roach,M Vijay,0,0,0,11,2,5,8,3,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
20,M Vijay,DJG Sammy,G Gambhir,0,1,1,12,7,16,1,4,wides,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
21,M Vijay,DJG Sammy,G Gambhir,0,0,0,12,7,17,2,4,-,caught,M Vijay,KA Pollard,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
22,SK Raina,DJG Sammy,G Gambhir,1,0,1,13,1,1,3,4,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
23,G Gambhir,DJG Sammy,SK Raina,0,0,0,13,2,6,4,4,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
24,G Gambhir,DJG Sammy,SK Raina,4,0,4,17,6,7,5,4,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
25,G Gambhir,DJG Sammy,SK Raina,0,0,0,17,6,8,6,4,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
26,G Gambhir,DJG Sammy,SK Raina,0,1,1,18,6,9,7,4,noballs,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
27,G Gambhir,DJG Sammy,SK Raina,1,0,1,19,7,10,8,4,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
28,G Gambhir,KAJ Roach,SK Raina,4,0,4,23,11,11,1,5,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
29,G Gambhir,KAJ Roach,SK Raina,4,0,4,27,15,12,2,5,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
30,G Gambhir,KAJ Roach,SK Raina,0,0,0,27,15,13,3,5,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
31,G Gambhir,KAJ Roach,SK Raina,0,0,0,27,15,14,4,5,-,caught,G Gambhir,D Ramdin,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
32,RG Sharma,KAJ Roach,SK Raina,0,1,1,28,0,1,5,5,wides,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
33,RG Sharma,KAJ Roach,SK Raina,0,0,0,28,0,2,6,5,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
34,RG Sharma,KAJ Roach,SK Raina,0,0,0,28,0,3,7,5,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
35,SK Raina,DJG Sammy,RG Sharma,0,0,0,28,1,2,1,6,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
36,SK Raina,DJG Sammy,RG Sharma,1,0,1,29,2,3,2,6,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
37,RG Sharma,DJG Sammy,SK Raina,4,0,4,33,4,4,3,6,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
38,RG Sharma,DJG Sammy,SK Raina,0,0,0,33,4,5,4,6,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
39,RG Sharma,DJG Sammy,SK Raina,0,0,0,33,4,6,5,6,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
40,RG Sharma,DJG Sammy,SK Raina,0,0,0,33,4,7,6,6,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
41,SK Raina,DJ Bravo,RG Sharma,0,0,0,33,2,4,1,7,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
42,SK Raina,DJ Bravo,RG Sharma,0,0,0,33,2,5,2,7,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
43,SK Raina,DJ Bravo,RG Sharma,1,0,1,34,3,6,3,7,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
44,RG Sharma,DJ Bravo,SK Raina,1,0,1,35,5,8,4,7,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
45,SK Raina,DJ Bravo,RG Sharma,0,0,0,35,3,7,5,7,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
46,SK Raina,DJ Bravo,RG Sharma,1,0,1,36,4,8,6,7,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
47,SK Raina,KA Pollard,RG Sharma,0,1,1,37,4,9,1,8,wides,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
48,SK Raina,KA Pollard,RG Sharma,1,0,1,38,5,10,2,8,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
49,RG Sharma,KA Pollard,SK Raina,0,0,0,38,5,9,3,8,-,caught,RG Sharma,D Ramdin,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
50,Yuvraj Singh,KA Pollard,SK Raina,1,0,1,39,1,1,4,8,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
51,SK Raina,KA Pollard,Yuvraj Singh,0,1,1,40,5,11,5,8,wides,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
52,SK Raina,KA Pollard,Yuvraj Singh,0,0,0,40,5,12,6,8,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
53,SK Raina,KA Pollard,Yuvraj Singh,0,0,0,40,5,13,7,8,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
54,SK Raina,KA Pollard,Yuvraj Singh,2,0,2,42,7,14,8,8,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
55,Yuvraj Singh,DJ Bravo,SK Raina,0,0,0,42,1,2,1,9,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
56,Yuvraj Singh,DJ Bravo,SK Raina,4,0,4,46,5,3,2,9,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
57,Yuvraj Singh,DJ Bravo,SK Raina,1,0,1,47,6,4,3,9,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
58,SK Raina,DJ Bravo,Yuvraj Singh,4,0,4,51,11,15,4,9,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
59,SK Raina,DJ Bravo,Yuvraj Singh,0,0,0,51,11,16,5,9,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
60,SK Raina,DJ Bravo,Yuvraj Singh,0,0,0,51,11,17,6,9,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
61,Yuvraj Singh,KA Pollard,SK Raina,1,0,1,52,7,5,1,10,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
62,SK Raina,KA Pollard,Yuvraj Singh,1,0,1,53,12,18,2,10,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
63,Yuvraj Singh,KA Pollard,SK Raina,1,0,1,54,8,6,3,10,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
64,SK Raina,KA Pollard,Yuvraj Singh,6,0,6,60,18,19,4,10,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
65,SK Raina,KA Pollard,Yuvraj Singh,4,0,4,64,22,20,5,10,-,0,,,field,India,2,"Kensington Oval, Bridgetown",2010-05-09,India,West Indies
