,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,DPMD Jayawardene,A Nehra,ST Jayasuriya,4,0,4,4,159,4,1,0,1,-,0,,,1,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
1,DPMD Jayawardene,A Nehra,ST Jayasuriya,0,0,0,4,159,4,2,0,2,-,0,,,1,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
2,DPMD Jayawardene,A Nehra,ST Jayasuriya,0,0,0,4,159,4,3,1,3,-,caught,DPMD Jayawardene,YK Pathan,1,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
3,TM Dilshan,A Nehra,ST Jayasuriya,0,1,1,5,158,0,1,1,4,legbyes,0,,,1,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
4,ST Jayasuriya,A Nehra,TM Dilshan,0,0,0,5,158,0,1,1,5,-,0,,,1,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
5,ST Jayasuriya,A Nehra,TM Dilshan,0,0,0,5,158,0,2,1,6,-,0,,,1,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
6,TM Dilshan,R Vinay Kumar,ST Jayasuriya,0,0,0,5,158,0,2,1,1,-,0,,,2,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
7,TM Dilshan,R Vinay Kumar,ST Jayasuriya,1,0,1,6,157,1,3,1,2,-,0,,,2,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
8,ST Jayasuriya,R Vinay Kumar,TM Dilshan,0,0,0,6,157,0,3,1,3,-,0,,,2,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
9,ST Jayasuriya,R Vinay Kumar,TM Dilshan,0,0,0,6,157,0,4,1,4,-,0,,,2,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
10,ST Jayasuriya,R Vinay Kumar,TM Dilshan,0,0,0,6,157,0,5,2,5,-,caught,ST Jayasuriya,KD Karthik,2,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
11,KC Sangakkara,R Vinay Kumar,TM Dilshan,0,0,0,6,157,0,1,2,6,-,0,,,2,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
12,TM Dilshan,A Nehra,KC Sangakkara,4,0,4,10,153,5,4,2,1,-,0,,,3,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
13,TM Dilshan,A Nehra,KC Sangakkara,0,0,0,10,153,5,5,2,2,-,0,,,3,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
14,TM Dilshan,A Nehra,KC Sangakkara,4,0,4,14,149,9,6,2,3,-,0,,,3,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
15,TM Dilshan,A Nehra,KC Sangakkara,0,0,0,14,149,9,7,2,4,-,0,,,3,bat,India,2,"Beausejour Stadium, Gros Islet",2010,05,India_Sri Lanka_2010-05-11,Sri Lanka,Sri Lanka,India,167
