,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,CH Gayle,DP Nannes,S Chanderpaul,0,1,1,1,162,0,1,0,1,wides,0,,,0,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
1,CH Gayle,DP Nannes,S Chanderpaul,4,0,4,5,158,4,2,0,2,-,0,,,0,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
2,CH Gayle,DP Nannes,S Chanderpaul,0,0,0,5,158,4,3,1,3,-,bowled,CH Gayle,,0,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
3,RR Sarwan,DP Nannes,S Chanderpaul,1,0,1,6,157,1,1,1,4,-,0,,,0,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
4,S Chanderpaul,DP Nannes,RR Sarwan,4,0,4,10,153,4,1,1,5,-,0,,,0,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
5,S Chanderpaul,DP Nannes,RR Sarwan,1,0,1,11,152,5,2,1,6,-,0,,,0,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
6,RR Sarwan,DP Nannes,S Chanderpaul,1,0,1,12,151,2,2,1,7,-,0,,,0,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
7,RR Sarwan,SW Tait,S Chanderpaul,0,0,0,12,151,2,3,1,1,-,0,,,1,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
8,RR Sarwan,SW Tait,S Chanderpaul,0,1,1,13,150,2,4,1,2,legbyes,0,,,1,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
9,S Chanderpaul,SW Tait,RR Sarwan,4,0,4,17,146,9,3,1,3,-,0,,,1,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
10,S Chanderpaul,SW Tait,RR Sarwan,0,0,0,17,146,9,4,1,4,-,0,,,1,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
11,S Chanderpaul,SW Tait,RR Sarwan,2,0,2,19,144,11,5,1,5,-,0,,,1,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
12,S Chanderpaul,SW Tait,RR Sarwan,1,0,1,20,143,12,6,1,6,-,0,,,1,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
13,S Chanderpaul,DP Nannes,RR Sarwan,0,0,0,20,143,12,7,1,1,-,0,,,2,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
14,S Chanderpaul,DP Nannes,RR Sarwan,2,0,2,22,141,14,8,1,2,-,0,,,2,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
15,S Chanderpaul,DP Nannes,RR Sarwan,0,0,0,22,141,14,9,1,3,-,0,,,2,bat,West Indies,1,"Beausejour Stadium, Gros Islet",2010,05,West Indies_Australia_2010-05-11,Australia,West Indies,Australia,105
