,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,MJ Lumb,DP Nannes,C Kieswetter,0,0,0,0,147,0,1,0,-,1.0,0,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Left hand Bat,Right hand Bat,Left arm Fast
1,MJ Lumb,DP Nannes,C Kieswetter,1,0,1,1,146,1,2,0,-,2.0,0,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Left hand Bat,Right hand Bat,Left arm Fast
2,C Kieswetter,DP Nannes,MJ Lumb,0,0,0,1,146,0,1,0,-,3.0,0,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Left hand Bat,Left arm Fast
3,C Kieswetter,DP Nannes,MJ Lumb,0,0,0,1,146,0,2,0,-,4.0,0,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Left hand Bat,Left arm Fast
4,C Kieswetter,DP Nannes,MJ Lumb,0,0,0,1,146,0,3,0,-,5.0,0,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Left hand Bat,Left arm Fast
5,C Kieswetter,DP Nannes,MJ Lumb,2,0,2,3,144,2,4,0,-,6.0,0,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Left hand Bat,Left arm Fast
6,MJ Lumb,SW Tait,C Kieswetter,1,0,1,4,143,2,3,0,-,1.0,1,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Left hand Bat,Right hand Bat,Right arm Fast
7,C Kieswetter,SW Tait,MJ Lumb,0,0,0,4,143,2,5,0,-,2.0,1,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Left hand Bat,Right arm Fast
8,C Kieswetter,SW Tait,MJ Lumb,2,0,2,6,141,4,6,0,-,3.0,1,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Left hand Bat,Right arm Fast
9,C Kieswetter,SW Tait,MJ Lumb,1,0,1,7,140,5,7,0,-,4.0,1,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Left hand Bat,Right arm Fast
10,MJ Lumb,SW Tait,C Kieswetter,0,0,0,7,140,2,4,1,-,5.0,1,caught,MJ Lumb,DJ Hussey,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Left hand Bat,Right hand Bat,Right arm Fast
11,KP Pietersen,SW Tait,C Kieswetter,0,0,0,7,140,0,1,1,-,6.0,1,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Right arm Fast
12,C Kieswetter,DP Nannes,KP Pietersen,0,0,0,7,140,5,8,1,-,1.0,2,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
13,C Kieswetter,DP Nannes,KP Pietersen,0,0,0,7,140,5,9,1,-,2.0,2,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
14,C Kieswetter,DP Nannes,KP Pietersen,0,0,0,7,140,5,10,1,-,3.0,2,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
15,C Kieswetter,DP Nannes,KP Pietersen,4,0,4,11,136,9,11,1,-,4.0,2,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
16,C Kieswetter,DP Nannes,KP Pietersen,4,0,4,15,132,13,12,1,-,5.0,2,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
17,C Kieswetter,DP Nannes,KP Pietersen,0,0,0,15,132,13,13,1,-,6.0,2,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
18,KP Pietersen,SW Tait,C Kieswetter,2,0,2,17,130,2,2,1,-,1.0,3,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Right arm Fast
19,KP Pietersen,SW Tait,C Kieswetter,3,0,3,20,127,5,3,1,-,2.0,3,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Right arm Fast
20,C Kieswetter,SW Tait,KP Pietersen,0,0,0,20,127,13,14,1,-,3.0,3,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Right arm Fast
21,C Kieswetter,SW Tait,KP Pietersen,0,0,0,20,127,13,15,1,-,4.0,3,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Right arm Fast
22,C Kieswetter,SW Tait,KP Pietersen,4,0,4,24,123,17,16,1,-,5.0,3,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Right arm Fast
23,C Kieswetter,SW Tait,KP Pietersen,0,0,0,24,123,17,17,1,-,6.0,3,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Right arm Fast
24,KP Pietersen,MG Johnson,C Kieswetter,1,0,1,25,122,6,4,1,-,1.0,4,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
25,C Kieswetter,MG Johnson,KP Pietersen,0,0,0,25,122,17,18,1,-,2.0,4,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
26,C Kieswetter,MG Johnson,KP Pietersen,1,0,1,26,121,18,19,1,-,3.0,4,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
27,KP Pietersen,MG Johnson,C Kieswetter,0,5,5,31,116,6,5,1,wides,3.0,4,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
28,KP Pietersen,MG Johnson,C Kieswetter,0,0,0,31,116,6,6,1,-,4.0,4,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
29,KP Pietersen,MG Johnson,C Kieswetter,4,0,4,35,112,10,7,1,-,5.0,4,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
30,KP Pietersen,MG Johnson,C Kieswetter,1,0,1,36,111,11,8,1,-,6.0,4,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
31,KP Pietersen,DP Nannes,C Kieswetter,2,0,2,38,109,13,9,1,-,1.0,5,0,,,field,England,2,"Kensington Oval, Bridgetown",2010,05,Australia_England_2010-05-16,England,England,Australia,True,148,Right hand Bat,Right hand Bat,Left arm Fast
