,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,BB McCullum,Shahadat Hossain,PJ Ingram,0,0,0,0,78,0,1,0,1,-,0,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
1,BB McCullum,Shahadat Hossain,PJ Ingram,0,1,1,1,77,0,2,0,2,wides,0,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
2,BB McCullum,Shahadat Hossain,PJ Ingram,4,0,4,5,73,4,3,0,3,-,0,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
3,BB McCullum,Shahadat Hossain,PJ Ingram,0,0,0,5,73,4,4,0,4,-,0,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
4,BB McCullum,Shahadat Hossain,PJ Ingram,1,0,1,6,72,5,5,0,5,-,0,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
5,PJ Ingram,Shahadat Hossain,BB McCullum,0,0,0,6,72,0,1,0,6,-,0,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
6,PJ Ingram,Shahadat Hossain,BB McCullum,0,0,0,6,72,0,2,0,7,-,0,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
7,BB McCullum,Nazmul Hossain,PJ Ingram,1,0,1,7,71,6,6,0,1,-,1,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
8,PJ Ingram,Nazmul Hossain,BB McCullum,4,0,4,11,67,4,3,0,2,-,1,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
9,PJ Ingram,Nazmul Hossain,BB McCullum,1,0,1,12,66,5,4,0,3,-,1,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
10,BB McCullum,Nazmul Hossain,PJ Ingram,0,0,0,12,66,6,7,0,4,-,1,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
11,BB McCullum,Nazmul Hossain,PJ Ingram,2,0,2,14,64,8,8,0,5,-,1,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
12,BB McCullum,Nazmul Hossain,PJ Ingram,1,0,1,15,63,9,9,0,6,-,1,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
13,BB McCullum,Shafiul Islam,PJ Ingram,1,0,1,16,62,10,10,0,1,-,2,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
14,PJ Ingram,Shafiul Islam,BB McCullum,4,0,4,20,58,9,5,0,2,-,2,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
15,PJ Ingram,Shafiul Islam,BB McCullum,0,0,0,20,58,9,6,0,3,-,2,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
16,PJ Ingram,Shafiul Islam,BB McCullum,1,0,1,21,57,10,7,0,4,-,2,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
17,BB McCullum,Shafiul Islam,PJ Ingram,1,0,1,22,56,11,11,0,5,-,2,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
18,PJ Ingram,Shafiul Islam,BB McCullum,0,0,0,22,56,10,8,0,6,-,2,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
19,BB McCullum,Nazmul Hossain,PJ Ingram,4,0,4,26,52,15,12,0,1,-,3,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
20,BB McCullum,Nazmul Hossain,PJ Ingram,0,0,0,26,52,15,13,0,2,-,3,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
21,BB McCullum,Nazmul Hossain,PJ Ingram,5,0,5,31,47,20,14,0,3,-,3,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
22,PJ Ingram,Nazmul Hossain,BB McCullum,0,0,0,31,47,10,9,0,4,-,3,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
