,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Imran Nazir,SE Bond,Kamran Akmal,0,0,0,0,0,1,1,1,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
1,Imran Nazir,SE Bond,Kamran Akmal,0,0,0,0,0,2,2,1,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
2,Imran Nazir,SE Bond,Kamran Akmal,0,0,0,0,0,3,3,1,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
3,Imran Nazir,SE Bond,Kamran Akmal,0,0,0,0,0,4,4,1,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
4,Imran Nazir,SE Bond,Kamran Akmal,0,0,0,0,0,5,5,1,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
5,Imran Nazir,SE Bond,Kamran Akmal,0,0,0,0,0,6,6,1,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
6,Kamran Akmal,TG Southee,Imran Nazir,0,0,0,0,0,1,1,2,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
7,Kamran Akmal,TG Southee,Imran Nazir,1,0,1,1,1,2,2,2,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
8,Imran Nazir,TG Southee,Kamran Akmal,2,0,2,3,2,7,3,2,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
9,Imran Nazir,TG Southee,Kamran Akmal,0,0,0,3,2,8,4,2,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
10,Imran Nazir,TG Southee,Kamran Akmal,0,0,0,3,2,9,5,2,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
11,Imran Nazir,TG Southee,Kamran Akmal,0,0,0,3,2,10,6,2,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
12,Kamran Akmal,SE Bond,Imran Nazir,0,0,0,3,1,3,1,3,0,,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2009-11-12,Pakistan,New Zealand
