,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Imran Nazir,A Shahzad,Imran Farhat,4,0,4,4,144,4,1,0,1,0,,,1,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
1,Imran Nazir,A Shahzad,Imran Farhat,0,0,0,4,144,4,2,0,2,0,,,1,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
2,Imran Nazir,A Shahzad,Imran Farhat,0,0,0,4,144,4,3,1,3,caught,Imran Nazir,TT Bresnan,1,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
3,Imran Farhat,A Shahzad,Umar Akmal,0,0,0,4,144,0,1,1,4,0,,,1,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
4,Imran Farhat,A Shahzad,Umar Akmal,0,0,0,4,144,0,2,2,5,caught,Imran Farhat,SCJ Broad,1,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
5,Shoaib Malik,A Shahzad,Umar Akmal,0,0,0,4,144,0,1,2,6,0,,,1,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
6,Umar Akmal,TT Bresnan,Shoaib Malik,0,1,1,5,143,0,1,2,1,0,,,2,wides,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
7,Umar Akmal,TT Bresnan,Shoaib Malik,0,0,0,5,143,0,2,2,2,0,,,2,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
8,Umar Akmal,TT Bresnan,Shoaib Malik,2,0,2,7,141,2,3,2,3,0,,,2,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
9,Umar Akmal,TT Bresnan,Shoaib Malik,0,0,0,7,141,2,4,2,4,0,,,2,-,field,Pakistan,2,Dubai International Cricket Stadium,2010,02,England_Pakistan_2010-02-20,Pakistan,Pakistan,England
