,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,DPMD Jayawardene,CJ McKay,TM Dilshan,0,0,0,0,0,1,1,-,1,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
1,DPMD Jayawardene,CJ McKay,TM Dilshan,0,0,0,0,0,2,2,-,1,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
2,DPMD Jayawardene,CJ McKay,TM Dilshan,0,0,0,0,0,3,3,-,1,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
3,DPMD Jayawardene,CJ McKay,TM Dilshan,0,0,0,0,0,4,4,-,1,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
4,DPMD Jayawardene,CJ McKay,TM Dilshan,0,1,1,1,0,5,5,wides,1,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
5,DPMD Jayawardene,CJ McKay,TM Dilshan,1,0,1,2,1,6,6,-,1,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
6,TM Dilshan,CJ McKay,DPMD Jayawardene,0,0,0,2,0,1,7,-,1,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
7,DPMD Jayawardene,DP Nannes,TM Dilshan,0,0,0,2,1,7,1,-,2,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
8,DPMD Jayawardene,DP Nannes,TM Dilshan,4,0,4,6,5,8,2,-,2,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
9,DPMD Jayawardene,DP Nannes,TM Dilshan,1,0,1,7,6,9,3,-,2,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
10,TM Dilshan,DP Nannes,DPMD Jayawardene,4,0,4,11,4,2,4,-,2,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
11,TM Dilshan,DP Nannes,DPMD Jayawardene,0,0,0,11,4,3,5,-,2,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
12,TM Dilshan,DP Nannes,DPMD Jayawardene,4,0,4,15,8,4,6,-,2,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
13,DPMD Jayawardene,CJ McKay,TM Dilshan,4,0,4,19,10,10,1,-,3,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
14,DPMD Jayawardene,CJ McKay,TM Dilshan,4,0,4,23,14,11,2,-,3,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
15,DPMD Jayawardene,CJ McKay,TM Dilshan,1,0,1,24,15,12,3,-,3,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
16,TM Dilshan,CJ McKay,DPMD Jayawardene,0,1,1,25,8,5,4,noballs,3,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
17,TM Dilshan,CJ McKay,DPMD Jayawardene,1,0,1,26,9,6,5,-,3,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
18,DPMD Jayawardene,CJ McKay,TM Dilshan,1,0,1,27,16,13,6,-,3,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
19,TM Dilshan,CJ McKay,DPMD Jayawardene,0,0,0,27,9,7,7,-,3,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
20,DPMD Jayawardene,PM Siddle,TM Dilshan,4,0,4,31,20,14,1,-,4,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
21,DPMD Jayawardene,PM Siddle,TM Dilshan,4,0,4,35,24,15,2,-,4,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
22,DPMD Jayawardene,PM Siddle,TM Dilshan,0,0,0,35,24,16,3,-,4,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
23,DPMD Jayawardene,PM Siddle,TM Dilshan,0,0,0,35,24,17,4,-,4,caught,DPMD Jayawardene,BJ Haddin,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
24,LD Chandimal,PM Siddle,TM Dilshan,0,0,0,35,0,1,5,-,4,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
25,LD Chandimal,PM Siddle,TM Dilshan,2,0,2,37,2,2,6,-,4,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
26,TM Dilshan,DP Nannes,LD Chandimal,4,0,4,41,13,8,1,-,5,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
27,TM Dilshan,DP Nannes,LD Chandimal,0,0,0,41,13,9,2,-,5,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
28,TM Dilshan,DP Nannes,LD Chandimal,1,0,1,42,14,10,3,-,5,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
29,LD Chandimal,DP Nannes,TM Dilshan,0,0,0,42,2,3,4,-,5,lbw,LD Chandimal,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
30,KC Sangakkara,DP Nannes,TM Dilshan,1,0,1,43,1,1,5,-,5,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
31,TM Dilshan,DP Nannes,KC Sangakkara,2,0,2,45,16,11,6,-,5,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
32,KC Sangakkara,PM Siddle,TM Dilshan,0,0,0,45,1,2,1,-,6,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
33,KC Sangakkara,PM Siddle,TM Dilshan,0,2,2,47,1,3,2,legbyes,6,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
34,KC Sangakkara,PM Siddle,TM Dilshan,1,0,1,48,2,4,3,-,6,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
35,TM Dilshan,PM Siddle,KC Sangakkara,4,0,4,52,20,12,4,-,6,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
36,TM Dilshan,PM Siddle,KC Sangakkara,1,0,1,53,21,13,5,-,6,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
37,KC Sangakkara,PM Siddle,TM Dilshan,4,0,4,57,6,5,6,-,6,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
38,TM Dilshan,JW Hastings,KC Sangakkara,1,0,1,58,22,14,1,-,7,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
39,KC Sangakkara,JW Hastings,TM Dilshan,0,0,0,58,6,6,2,-,7,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
40,KC Sangakkara,JW Hastings,TM Dilshan,0,0,0,58,6,7,3,-,7,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
41,KC Sangakkara,JW Hastings,TM Dilshan,0,0,0,58,6,8,4,-,7,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
42,KC Sangakkara,JW Hastings,TM Dilshan,1,0,1,59,7,9,5,-,7,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
43,TM Dilshan,JW Hastings,KC Sangakkara,0,0,0,59,22,15,6,-,7,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
44,KC Sangakkara,PM Siddle,TM Dilshan,2,0,2,61,9,10,1,-,8,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
45,KC Sangakkara,PM Siddle,TM Dilshan,1,0,1,62,10,11,2,-,8,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
46,TM Dilshan,PM Siddle,KC Sangakkara,0,0,0,62,22,16,3,-,8,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
47,TM Dilshan,PM Siddle,KC Sangakkara,0,0,0,62,22,17,4,-,8,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
48,TM Dilshan,PM Siddle,KC Sangakkara,1,0,1,63,23,18,5,-,8,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
49,KC Sangakkara,PM Siddle,TM Dilshan,1,0,1,64,11,12,6,-,8,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
50,KC Sangakkara,JW Hastings,TM Dilshan,0,1,1,65,11,13,1,wides,9,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
51,KC Sangakkara,JW Hastings,TM Dilshan,1,0,1,66,12,14,2,-,9,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
52,TM Dilshan,JW Hastings,KC Sangakkara,0,0,0,66,23,19,3,-,9,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
53,TM Dilshan,JW Hastings,KC Sangakkara,1,0,1,67,24,20,4,-,9,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
54,KC Sangakkara,JW Hastings,TM Dilshan,0,0,0,67,12,15,5,-,9,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
55,KC Sangakkara,JW Hastings,TM Dilshan,1,0,1,68,13,16,6,-,9,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
56,TM Dilshan,JW Hastings,KC Sangakkara,0,0,0,68,24,21,7,-,9,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
57,KC Sangakkara,CJ McKay,TM Dilshan,1,0,1,69,14,17,1,-,10,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
58,TM Dilshan,CJ McKay,KC Sangakkara,0,0,0,69,24,22,2,-,10,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
59,TM Dilshan,CJ McKay,KC Sangakkara,1,0,1,70,25,23,3,-,10,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
60,KC Sangakkara,CJ McKay,TM Dilshan,2,0,2,72,16,18,4,-,10,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
61,KC Sangakkara,CJ McKay,TM Dilshan,1,0,1,73,17,19,5,-,10,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
62,TM Dilshan,CJ McKay,KC Sangakkara,0,0,0,73,25,24,6,-,10,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
63,KC Sangakkara,SPD Smith,TM Dilshan,0,0,0,73,17,20,1,-,11,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
64,KC Sangakkara,SPD Smith,TM Dilshan,4,0,4,77,21,21,2,-,11,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
65,KC Sangakkara,SPD Smith,TM Dilshan,1,0,1,78,22,22,3,-,11,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
66,TM Dilshan,SPD Smith,KC Sangakkara,4,0,4,82,29,25,4,-,11,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
67,TM Dilshan,SPD Smith,KC Sangakkara,1,0,1,83,30,26,5,-,11,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
68,KC Sangakkara,SPD Smith,TM Dilshan,0,0,0,83,22,23,6,-,11,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
69,TM Dilshan,DP Nannes,KC Sangakkara,2,0,2,85,32,27,1,-,12,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
70,TM Dilshan,DP Nannes,KC Sangakkara,1,0,1,86,33,28,2,-,12,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
71,KC Sangakkara,DP Nannes,TM Dilshan,2,0,2,88,24,24,3,-,12,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
72,KC Sangakkara,DP Nannes,TM Dilshan,0,0,0,88,24,25,4,-,12,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
73,KC Sangakkara,DP Nannes,TM Dilshan,0,0,0,88,24,26,5,-,12,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
74,KC Sangakkara,DP Nannes,TM Dilshan,0,1,1,89,24,27,6,wides,12,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
75,KC Sangakkara,DP Nannes,TM Dilshan,1,0,1,90,25,28,7,-,12,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
76,KC Sangakkara,JW Hastings,TM Dilshan,4,0,4,94,29,29,1,-,13,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
77,KC Sangakkara,JW Hastings,TM Dilshan,0,1,1,95,29,30,2,legbyes,13,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
78,TM Dilshan,JW Hastings,KC Sangakkara,2,0,2,97,35,29,3,-,13,0,,,bat,Australia,2,Western Australia Cricket Association Ground,2010-10-31,Sri Lanka,Australia
