,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,DA Warner,CR Woakes,SR Watson,1,0,1,1,,1,1,0,-,1.0,0,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
1,SR Watson,CR Woakes,DA Warner,2,0,2,3,,2,1,0,-,2.0,0,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
2,SR Watson,CR Woakes,DA Warner,0,0,0,3,,2,2,0,-,3.0,0,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
3,SR Watson,CR Woakes,DA Warner,0,0,0,3,,2,3,0,-,4.0,0,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
4,SR Watson,CR Woakes,DA Warner,1,0,1,4,,3,4,0,-,5.0,0,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
5,DA Warner,CR Woakes,SR Watson,0,0,0,4,,1,2,0,-,6.0,0,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
6,SR Watson,A Shahzad,DA Warner,0,0,0,4,,3,5,0,-,1.0,1,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
7,SR Watson,A Shahzad,DA Warner,1,0,1,5,,4,6,0,-,2.0,1,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
8,DA Warner,A Shahzad,SR Watson,0,0,0,5,,1,3,0,-,3.0,1,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
9,DA Warner,A Shahzad,SR Watson,0,0,0,5,,1,4,0,-,4.0,1,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
10,DA Warner,A Shahzad,SR Watson,1,0,1,6,,2,5,0,-,5.0,1,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
11,SR Watson,A Shahzad,DA Warner,0,0,0,6,,4,7,0,-,6.0,1,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
12,DA Warner,CR Woakes,SR Watson,0,0,0,6,,2,6,0,-,1.0,2,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
13,DA Warner,CR Woakes,SR Watson,4,0,4,10,,6,7,0,-,2.0,2,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
14,DA Warner,CR Woakes,SR Watson,4,0,4,14,,10,8,0,-,3.0,2,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
15,DA Warner,CR Woakes,SR Watson,1,0,1,15,,11,9,0,-,4.0,2,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
16,SR Watson,CR Woakes,DA Warner,4,0,4,19,,8,8,0,-,5.0,2,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
17,SR Watson,CR Woakes,DA Warner,1,0,1,20,,9,9,0,-,6.0,2,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
18,SR Watson,TT Bresnan,DA Warner,0,0,0,20,,9,10,0,-,1.0,3,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Medium
19,SR Watson,TT Bresnan,DA Warner,0,0,0,20,,9,11,0,-,2.0,3,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Medium
20,SR Watson,TT Bresnan,DA Warner,4,0,4,24,,13,12,0,-,3.0,3,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Medium
21,SR Watson,TT Bresnan,DA Warner,0,0,0,24,,13,13,0,-,4.0,3,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Medium
22,SR Watson,TT Bresnan,DA Warner,4,0,4,28,,17,14,0,-,5.0,3,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Medium
23,SR Watson,TT Bresnan,DA Warner,1,0,1,29,,18,15,0,-,6.0,3,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Medium
24,SR Watson,A Shahzad,DA Warner,1,0,1,30,,19,16,0,-,1.0,4,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
25,DA Warner,A Shahzad,SR Watson,0,0,0,30,,11,10,0,-,2.0,4,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
26,DA Warner,A Shahzad,SR Watson,1,0,1,31,,12,11,0,-,3.0,4,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
27,SR Watson,A Shahzad,DA Warner,4,0,4,35,,23,17,0,-,4.0,4,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
28,SR Watson,A Shahzad,DA Warner,1,0,1,36,,24,18,0,-,5.0,4,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Fast
29,DA Warner,A Shahzad,SR Watson,1,0,1,37,,13,12,0,-,6.0,4,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Fast
30,DA Warner,TT Bresnan,SR Watson,0,1,1,38,,13,13,0,legbyes,1.0,5,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Medium
31,SR Watson,TT Bresnan,DA Warner,1,0,1,39,,25,19,0,-,2.0,5,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Medium
32,DA Warner,TT Bresnan,SR Watson,0,0,0,39,,13,14,0,-,3.0,5,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Medium
33,DA Warner,TT Bresnan,SR Watson,0,0,0,39,,13,15,0,-,4.0,5,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Medium
34,DA Warner,TT Bresnan,SR Watson,1,0,1,40,,14,16,0,-,5.0,5,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Left hand Bat,Right hand Bat,Right arm Medium
35,SR Watson,TT Bresnan,DA Warner,1,0,1,41,,26,20,0,-,6.0,5,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Right arm Medium
36,SR Watson,MH Yardy,DA Warner,0,0,0,41,,26,21,0,-,1.0,6,0,,,bat,Australia,1,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,Australia,England,False,157,Right hand Bat,Left hand Bat,Left arm Orthodox
