,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,IR Bell,SW Tait,SM Davies,0,0,0,0,157,0,1,0,-,1.0,0,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
1,IR Bell,SW Tait,SM Davies,0,0,0,0,157,0,2,0,-,2.0,0,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
2,IR Bell,SW Tait,SM Davies,4,0,4,4,153,4,3,0,-,3.0,0,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
3,IR Bell,SW Tait,SM Davies,4,0,4,8,149,8,4,0,-,4.0,0,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
4,IR Bell,SW Tait,SM Davies,4,0,4,12,145,12,5,0,-,5.0,0,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
5,IR Bell,SW Tait,SM Davies,0,0,0,12,145,12,6,0,-,6.0,0,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
6,SM Davies,B Lee,IR Bell,4,0,4,16,141,4,1,0,-,1.0,1,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
7,SM Davies,B Lee,IR Bell,0,0,0,16,141,4,2,1,-,2.0,1,caught,SM Davies,CL White,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
8,KP Pietersen,B Lee,IR Bell,0,0,0,16,141,0,1,1,-,3.0,1,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
9,KP Pietersen,B Lee,IR Bell,4,0,4,20,137,4,2,1,-,4.0,1,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
10,KP Pietersen,B Lee,IR Bell,2,0,2,22,135,6,3,1,-,5.0,1,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
11,KP Pietersen,B Lee,IR Bell,0,0,0,22,135,6,4,1,-,6.0,1,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
12,IR Bell,SW Tait,KP Pietersen,0,0,0,22,135,12,7,1,-,1.0,2,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
13,IR Bell,SW Tait,KP Pietersen,0,0,0,22,135,12,8,1,-,2.0,2,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
14,IR Bell,SW Tait,KP Pietersen,3,0,3,25,132,15,9,1,-,3.0,2,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
15,KP Pietersen,SW Tait,IR Bell,1,0,1,26,131,7,5,1,-,4.0,2,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
16,IR Bell,SW Tait,KP Pietersen,0,1,1,27,130,15,10,1,wides,4.0,2,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
17,IR Bell,SW Tait,KP Pietersen,6,0,6,33,124,21,11,1,-,5.0,2,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
18,IR Bell,SW Tait,KP Pietersen,0,0,0,33,124,21,12,1,-,6.0,2,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
19,KP Pietersen,B Lee,IR Bell,4,0,4,37,120,11,6,1,-,1.0,3,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
20,KP Pietersen,B Lee,IR Bell,1,0,1,38,119,12,7,1,-,2.0,3,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
21,IR Bell,B Lee,KP Pietersen,0,2,2,40,117,21,13,1,legbyes,3.0,3,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
22,IR Bell,B Lee,KP Pietersen,4,0,4,44,113,25,14,1,-,4.0,3,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
23,IR Bell,B Lee,KP Pietersen,0,0,0,44,113,25,15,1,-,5.0,3,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
24,IR Bell,B Lee,KP Pietersen,1,0,1,45,112,26,16,1,-,6.0,3,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
25,IR Bell,MG Johnson,KP Pietersen,1,0,1,46,111,27,17,1,-,1.0,4,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
26,KP Pietersen,MG Johnson,IR Bell,3,0,3,49,108,15,8,1,-,2.0,4,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
27,IR Bell,MG Johnson,KP Pietersen,0,0,0,49,108,27,18,2,-,3.0,4,caught,IR Bell,SPD Smith,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
28,PD Collingwood,MG Johnson,KP Pietersen,0,0,0,49,108,0,1,2,-,4.0,4,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
29,PD Collingwood,MG Johnson,KP Pietersen,4,0,4,53,104,4,2,2,-,5.0,4,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
30,PD Collingwood,MG Johnson,KP Pietersen,0,0,0,53,104,4,3,2,-,6.0,4,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
31,KP Pietersen,SNJ O'Keefe,PD Collingwood,4,0,4,57,100,19,9,2,-,1.0,5,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
32,KP Pietersen,SNJ O'Keefe,PD Collingwood,6,0,6,63,94,25,10,2,-,2.0,5,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
33,KP Pietersen,SNJ O'Keefe,PD Collingwood,0,0,0,63,94,25,11,3,-,3.0,5,caught,KP Pietersen,DJ Hussey,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
34,EJG Morgan,SNJ O'Keefe,PD Collingwood,0,0,0,63,94,0,1,3,-,4.0,5,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
35,EJG Morgan,SNJ O'Keefe,PD Collingwood,1,0,1,64,93,1,2,3,-,5.0,5,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
36,PD Collingwood,SNJ O'Keefe,EJG Morgan,0,0,0,64,93,4,4,3,-,6.0,5,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
37,EJG Morgan,MG Johnson,PD Collingwood,0,0,0,64,93,1,3,3,-,1.0,6,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
38,EJG Morgan,MG Johnson,PD Collingwood,0,1,1,65,92,1,4,3,wides,1.0,6,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
39,EJG Morgan,MG Johnson,PD Collingwood,1,0,1,66,91,2,5,3,-,2.0,6,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
40,PD Collingwood,MG Johnson,EJG Morgan,2,0,2,68,89,6,5,3,-,3.0,6,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
41,PD Collingwood,MG Johnson,EJG Morgan,0,0,0,68,89,6,6,3,-,4.0,6,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
42,PD Collingwood,MG Johnson,EJG Morgan,0,0,0,68,89,6,7,3,-,5.0,6,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
43,PD Collingwood,MG Johnson,EJG Morgan,0,0,0,68,89,6,8,3,-,6.0,6,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
44,EJG Morgan,SNJ O'Keefe,PD Collingwood,0,0,0,68,89,2,6,3,-,1.0,7,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
45,EJG Morgan,SNJ O'Keefe,PD Collingwood,0,1,1,69,88,2,7,3,legbyes,2.0,7,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
46,PD Collingwood,SNJ O'Keefe,EJG Morgan,0,0,0,69,88,6,9,3,-,3.0,7,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
47,PD Collingwood,SNJ O'Keefe,EJG Morgan,1,0,1,70,87,7,10,3,-,4.0,7,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
48,EJG Morgan,SNJ O'Keefe,PD Collingwood,0,0,0,70,87,2,8,3,-,5.0,7,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
49,EJG Morgan,SNJ O'Keefe,PD Collingwood,4,0,4,74,83,6,9,3,-,6.0,7,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
50,PD Collingwood,MG Johnson,EJG Morgan,0,0,0,74,83,7,11,3,-,1.0,8,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
51,PD Collingwood,MG Johnson,EJG Morgan,0,0,0,74,83,7,12,3,-,2.0,8,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
52,PD Collingwood,MG Johnson,EJG Morgan,4,0,4,78,79,11,13,3,-,3.0,8,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
53,PD Collingwood,MG Johnson,EJG Morgan,1,0,1,79,78,12,14,3,-,4.0,8,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
54,EJG Morgan,MG Johnson,PD Collingwood,0,0,0,79,78,6,10,3,-,5.0,8,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
55,EJG Morgan,MG Johnson,PD Collingwood,0,0,0,79,78,6,11,3,-,6.0,8,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
56,PD Collingwood,SR Watson,EJG Morgan,0,0,0,79,78,12,15,3,-,1.0,9,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
57,PD Collingwood,SR Watson,EJG Morgan,1,0,1,80,77,13,16,3,-,2.0,9,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
58,EJG Morgan,SR Watson,PD Collingwood,1,0,1,81,76,7,12,3,-,3.0,9,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
59,PD Collingwood,SR Watson,EJG Morgan,1,0,1,82,75,14,17,3,-,4.0,9,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
60,EJG Morgan,SR Watson,PD Collingwood,2,0,2,84,73,9,13,3,-,5.0,9,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
61,EJG Morgan,SR Watson,PD Collingwood,1,0,1,85,72,10,14,3,-,6.0,9,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
62,EJG Morgan,B Lee,PD Collingwood,0,0,0,85,72,10,15,3,-,1.0,10,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
63,EJG Morgan,B Lee,PD Collingwood,0,0,0,85,72,10,16,3,-,2.0,10,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
64,EJG Morgan,B Lee,PD Collingwood,0,0,0,85,72,10,17,3,-,3.0,10,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
65,EJG Morgan,B Lee,PD Collingwood,6,0,6,91,66,16,18,3,-,4.0,10,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
66,EJG Morgan,B Lee,PD Collingwood,4,0,4,95,62,20,19,3,-,5.0,10,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
67,EJG Morgan,B Lee,PD Collingwood,0,0,0,95,62,20,20,3,-,6.0,10,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
68,PD Collingwood,DJ Hussey,EJG Morgan,1,0,1,96,61,15,18,3,-,1.0,11,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
69,EJG Morgan,DJ Hussey,PD Collingwood,1,0,1,97,60,21,21,3,-,2.0,11,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
70,PD Collingwood,DJ Hussey,EJG Morgan,1,0,1,98,59,16,19,3,-,3.0,11,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
71,EJG Morgan,DJ Hussey,PD Collingwood,1,0,1,99,58,22,22,3,-,4.0,11,0,,,bat,Australia,2,Adelaide Oval,2011,01,Australia_England_2011-01-12,England,England,Australia,True,158
