,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,CH Gayle,DW Steyn,ADS Fletcher,0,0,0,0,0,1,1,-,0,,,1,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
1,CH Gayle,DW Steyn,ADS Fletcher,0,2,2,2,0,2,2,wides,0,,,1,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
2,ADS Fletcher,DW Steyn,CH Gayle,0,1,1,3,0,1,3,wides,0,,,1,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
3,ADS Fletcher,DW Steyn,CH Gayle,0,0,0,3,0,2,4,-,0,,,1,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
4,ADS Fletcher,DW Steyn,CH Gayle,0,0,0,3,0,3,5,-,0,,,1,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
5,ADS Fletcher,DW Steyn,CH Gayle,0,0,0,3,0,4,6,-,0,,,1,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
6,ADS Fletcher,DW Steyn,CH Gayle,1,0,1,4,1,5,7,-,0,,,1,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
7,CH Gayle,DW Steyn,ADS Fletcher,0,0,0,4,0,3,8,-,lbw,CH Gayle,,1,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
8,ADS Fletcher,LL Tsotsobe,DJ Bravo,3,0,3,7,4,6,1,-,0,,,2,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
9,DJ Bravo,LL Tsotsobe,ADS Fletcher,1,0,1,8,1,1,2,-,0,,,2,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
10,ADS Fletcher,LL Tsotsobe,DJ Bravo,0,0,0,8,4,7,3,-,0,,,2,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
11,ADS Fletcher,LL Tsotsobe,DJ Bravo,0,0,0,8,4,8,4,-,0,,,2,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
12,ADS Fletcher,LL Tsotsobe,DJ Bravo,0,0,0,8,4,9,5,-,0,,,2,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
13,ADS Fletcher,LL Tsotsobe,DJ Bravo,0,0,0,8,4,10,6,-,0,,,2,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
14,DJ Bravo,M Morkel,ADS Fletcher,0,0,0,8,1,2,1,-,0,,,3,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
15,DJ Bravo,M Morkel,ADS Fletcher,0,0,0,8,1,3,2,-,0,,,3,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
16,DJ Bravo,M Morkel,ADS Fletcher,1,0,1,9,2,4,3,-,0,,,3,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
17,ADS Fletcher,M Morkel,DJ Bravo,0,0,0,9,4,11,4,-,0,,,3,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
18,ADS Fletcher,M Morkel,DJ Bravo,0,0,0,9,4,12,5,-,caught,ADS Fletcher,AB de Villiers,3,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
19,DJ Bravo,M Morkel,S Chanderpaul,0,0,0,9,2,5,6,-,0,,,3,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
20,S Chanderpaul,LL Tsotsobe,DJ Bravo,0,0,0,9,0,1,1,-,0,,,4,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
21,S Chanderpaul,LL Tsotsobe,DJ Bravo,0,0,0,9,0,2,2,-,0,,,4,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
22,S Chanderpaul,LL Tsotsobe,DJ Bravo,0,0,0,9,0,3,3,-,0,,,4,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
23,S Chanderpaul,LL Tsotsobe,DJ Bravo,1,0,1,10,1,4,4,-,0,,,4,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
24,DJ Bravo,LL Tsotsobe,S Chanderpaul,0,0,0,10,2,6,5,-,0,,,4,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
25,DJ Bravo,LL Tsotsobe,S Chanderpaul,0,0,0,10,2,7,6,-,0,,,4,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
26,S Chanderpaul,M Morkel,DJ Bravo,4,0,4,14,5,5,1,-,0,,,5,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
27,S Chanderpaul,M Morkel,DJ Bravo,1,0,1,15,6,6,2,-,0,,,5,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
28,DJ Bravo,M Morkel,S Chanderpaul,1,0,1,16,3,8,3,-,0,,,5,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
29,S Chanderpaul,M Morkel,DJ Bravo,0,0,0,16,6,7,4,-,0,,,5,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
30,S Chanderpaul,M Morkel,DJ Bravo,0,0,0,16,6,8,5,-,0,,,5,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
31,S Chanderpaul,M Morkel,DJ Bravo,0,0,0,16,6,9,6,-,0,,,5,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
32,DJ Bravo,DW Steyn,S Chanderpaul,0,0,0,16,3,9,1,-,0,,,6,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
33,DJ Bravo,DW Steyn,S Chanderpaul,0,0,0,16,3,10,2,-,0,,,6,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
34,DJ Bravo,DW Steyn,S Chanderpaul,1,0,1,17,4,11,3,-,0,,,6,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
35,S Chanderpaul,DW Steyn,DJ Bravo,0,0,0,17,6,10,4,-,0,,,6,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
36,S Chanderpaul,DW Steyn,DJ Bravo,0,0,0,17,6,11,5,-,0,,,6,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
37,S Chanderpaul,DW Steyn,DJ Bravo,0,0,0,17,6,12,6,-,0,,,6,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
38,DJ Bravo,J Botha,S Chanderpaul,0,0,0,17,4,12,1,-,0,,,7,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
39,DJ Bravo,J Botha,S Chanderpaul,0,0,0,17,4,13,2,-,0,,,7,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
40,DJ Bravo,J Botha,S Chanderpaul,0,0,0,17,4,14,3,-,0,,,7,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
41,DJ Bravo,J Botha,S Chanderpaul,1,0,1,18,5,15,4,-,0,,,7,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
42,S Chanderpaul,J Botha,DJ Bravo,1,0,1,19,7,13,5,-,0,,,7,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
43,DJ Bravo,J Botha,S Chanderpaul,1,0,1,20,6,16,6,-,0,,,7,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
44,DJ Bravo,R McLaren,S Chanderpaul,0,1,1,21,6,17,1,byes,0,,,8,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
45,S Chanderpaul,R McLaren,DJ Bravo,0,0,0,21,7,14,2,-,0,,,8,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
46,S Chanderpaul,R McLaren,DJ Bravo,0,0,0,21,7,15,3,-,0,,,8,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
47,S Chanderpaul,R McLaren,DJ Bravo,0,0,0,21,7,16,4,-,0,,,8,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
48,S Chanderpaul,R McLaren,DJ Bravo,0,0,0,21,7,17,5,-,0,,,8,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
49,S Chanderpaul,R McLaren,DJ Bravo,1,0,1,22,8,18,6,-,0,,,8,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
50,S Chanderpaul,J Botha,DJ Bravo,1,0,1,23,9,19,1,-,0,,,9,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
51,DJ Bravo,J Botha,S Chanderpaul,0,0,0,23,6,18,2,-,0,,,9,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
52,DJ Bravo,J Botha,S Chanderpaul,1,0,1,24,7,19,3,-,0,,,9,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
53,S Chanderpaul,J Botha,DJ Bravo,1,0,1,25,10,20,4,-,0,,,9,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
54,DJ Bravo,J Botha,S Chanderpaul,1,0,1,26,8,20,5,-,0,,,9,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
55,S Chanderpaul,J Botha,DJ Bravo,1,0,1,27,11,21,6,-,0,,,9,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
56,S Chanderpaul,R McLaren,DJ Bravo,1,0,1,28,12,22,1,-,0,,,10,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
57,DJ Bravo,R McLaren,S Chanderpaul,2,0,2,30,10,21,2,-,0,,,10,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
58,DJ Bravo,R McLaren,S Chanderpaul,1,0,1,31,11,22,3,-,0,,,10,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
59,S Chanderpaul,R McLaren,DJ Bravo,0,0,0,31,12,23,4,-,0,,,10,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
60,S Chanderpaul,R McLaren,DJ Bravo,1,0,1,32,13,24,5,-,0,,,10,field,West Indies,2,"Sir Vivian Richards Stadium, North Sound",2010-05-20,West Indies,South Africa
