,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,BB McCullum,AD Mathews,AJ Redmond,0,0,0,0,0,1,1,1,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
1,BB McCullum,AD Mathews,AJ Redmond,0,0,0,0,0,2,2,1,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
2,BB McCullum,AD Mathews,AJ Redmond,1,0,1,1,1,3,3,1,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
3,AJ Redmond,AD Mathews,BB McCullum,0,0,0,1,0,1,4,1,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
4,AJ Redmond,AD Mathews,BB McCullum,1,0,1,2,1,2,5,1,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
5,BB McCullum,AD Mathews,AJ Redmond,4,0,4,6,5,4,6,1,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
6,AJ Redmond,KMDN Kulasekara,BB McCullum,1,0,1,7,2,3,1,2,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
7,BB McCullum,KMDN Kulasekara,AJ Redmond,2,0,2,9,7,5,2,2,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
8,BB McCullum,KMDN Kulasekara,AJ Redmond,0,0,0,9,7,6,3,2,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
9,BB McCullum,KMDN Kulasekara,AJ Redmond,0,0,0,9,7,7,4,2,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
10,BB McCullum,KMDN Kulasekara,AJ Redmond,0,0,0,9,7,8,5,2,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
11,BB McCullum,KMDN Kulasekara,AJ Redmond,0,0,0,9,7,9,6,2,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
12,AJ Redmond,AD Mathews,BB McCullum,4,0,4,13,6,4,1,3,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
13,AJ Redmond,AD Mathews,BB McCullum,0,0,0,13,6,5,2,3,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
14,AJ Redmond,AD Mathews,BB McCullum,0,0,0,13,6,6,3,3,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
15,AJ Redmond,AD Mathews,BB McCullum,0,0,0,13,6,7,4,3,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
16,AJ Redmond,AD Mathews,BB McCullum,1,0,1,14,7,8,5,3,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
17,BB McCullum,AD Mathews,AJ Redmond,1,0,1,15,8,10,6,3,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
18,BB McCullum,KMDN Kulasekara,AJ Redmond,4,0,4,19,12,11,1,4,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
19,BB McCullum,KMDN Kulasekara,AJ Redmond,6,0,6,25,18,12,2,4,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
20,BB McCullum,KMDN Kulasekara,AJ Redmond,0,0,0,25,18,13,3,4,caught,BB McCullum,AD Mathews,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
21,RJ Nicol,KMDN Kulasekara,AJ Redmond,0,0,0,25,0,1,4,4,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
22,RJ Nicol,KMDN Kulasekara,AJ Redmond,1,0,1,26,1,2,5,4,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
23,AJ Redmond,KMDN Kulasekara,RJ Nicol,1,0,1,27,8,9,6,4,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
24,AJ Redmond,AD Mathews,RJ Nicol,0,0,0,27,8,10,1,5,caught,AJ Redmond,SL Malinga,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
25,LRPL Taylor,AD Mathews,RJ Nicol,0,0,0,27,0,1,2,5,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
26,LRPL Taylor,AD Mathews,RJ Nicol,4,0,4,31,4,2,3,5,0,,,-,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka
