,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,BB McCullum,AD Mathews,AJ Redmond,,0,0,0,0,0,1,1,-,1,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
1,BB McCullum,AD Mathews,AJ Redmond,,1,0,1,1,1,2,2,-,1,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
2,AJ Redmond,AD Mathews,BB McCullum,,1,0,1,2,1,1,3,-,1,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
3,BB McCullum,AD Mathews,AJ Redmond,,0,0,0,2,1,3,4,-,1,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
4,BB McCullum,AD Mathews,AJ Redmond,,0,0,0,2,1,4,5,-,1,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
5,BB McCullum,AD Mathews,AJ Redmond,{'wides': 1},0,1,1,3,1,5,6,wides,1,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
6,BB McCullum,AD Mathews,AJ Redmond,,0,0,0,3,1,6,7,-,1,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
7,AJ Redmond,KMDN Kulasekara,BB McCullum,,0,0,0,3,1,2,1,-,2,lbw,AJ Redmond,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
8,LRPL Taylor,KMDN Kulasekara,BB McCullum,,0,0,0,3,0,1,2,-,2,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
9,LRPL Taylor,KMDN Kulasekara,BB McCullum,,1,0,1,4,1,2,3,-,2,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
10,BB McCullum,KMDN Kulasekara,LRPL Taylor,,0,0,0,4,1,7,4,-,2,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
11,BB McCullum,KMDN Kulasekara,LRPL Taylor,,0,0,0,4,1,8,5,-,2,bowled,BB McCullum,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
12,RJ Nicol,KMDN Kulasekara,LRPL Taylor,,0,0,0,4,0,1,6,-,2,lbw,RJ Nicol,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
13,LRPL Taylor,AD Mathews,DL Vettori,,4,0,4,8,5,3,1,-,3,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
14,LRPL Taylor,AD Mathews,DL Vettori,,0,0,0,8,5,4,2,-,3,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
15,LRPL Taylor,AD Mathews,DL Vettori,,0,0,0,8,5,5,3,-,3,lbw,LRPL Taylor,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
16,GJ Hopkins,AD Mathews,DL Vettori,,0,0,0,8,0,1,4,-,3,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
17,GJ Hopkins,AD Mathews,DL Vettori,,1,0,1,9,1,2,5,-,3,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
18,DL Vettori,AD Mathews,GJ Hopkins,,0,0,0,9,0,1,6,-,3,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
19,GJ Hopkins,KMDN Kulasekara,DL Vettori,,0,0,0,9,1,3,1,-,4,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
20,GJ Hopkins,KMDN Kulasekara,DL Vettori,,0,0,0,9,1,4,2,-,4,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
21,GJ Hopkins,KMDN Kulasekara,DL Vettori,,0,0,0,9,1,5,3,-,4,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
22,GJ Hopkins,KMDN Kulasekara,DL Vettori,,0,0,0,9,1,6,4,-,4,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
23,GJ Hopkins,KMDN Kulasekara,DL Vettori,,0,0,0,9,1,7,5,-,4,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
24,GJ Hopkins,KMDN Kulasekara,DL Vettori,,0,0,0,9,1,8,6,-,4,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
25,DL Vettori,AD Mathews,GJ Hopkins,,0,0,0,9,0,2,1,-,5,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
26,DL Vettori,AD Mathews,GJ Hopkins,,0,0,0,9,0,3,2,-,5,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
27,DL Vettori,AD Mathews,GJ Hopkins,,2,0,2,11,2,4,3,-,5,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
28,DL Vettori,AD Mathews,GJ Hopkins,,2,0,2,13,4,5,4,-,5,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
29,DL Vettori,AD Mathews,GJ Hopkins,,0,0,0,13,4,6,5,-,5,run out,GJ Hopkins,CK Kapugedera;KC Sangakkara,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
30,NL McCullum,AD Mathews,DL Vettori,,1,0,1,14,1,1,6,-,5,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
31,NL McCullum,KMDN Kulasekara,DL Vettori,,0,0,0,14,1,2,1,-,6,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
32,NL McCullum,KMDN Kulasekara,DL Vettori,,1,0,1,15,2,3,2,-,6,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
33,DL Vettori,KMDN Kulasekara,NL McCullum,,1,0,1,16,5,7,3,-,6,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
34,NL McCullum,KMDN Kulasekara,DL Vettori,,0,0,0,16,2,4,4,-,6,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
35,NL McCullum,KMDN Kulasekara,DL Vettori,,0,0,0,16,2,5,5,-,6,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
36,NL McCullum,KMDN Kulasekara,DL Vettori,,1,0,1,17,3,6,6,-,6,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
37,NL McCullum,AD Mathews,DL Vettori,,4,0,4,21,7,7,1,-,7,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
38,NL McCullum,AD Mathews,DL Vettori,,1,0,1,22,8,8,2,-,7,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
39,DL Vettori,AD Mathews,NL McCullum,,2,0,2,24,7,8,3,-,7,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
40,DL Vettori,AD Mathews,NL McCullum,,1,0,1,25,8,9,4,-,7,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
41,NL McCullum,AD Mathews,DL Vettori,,1,0,1,26,9,9,5,-,7,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
42,DL Vettori,AD Mathews,NL McCullum,,0,0,0,26,8,10,6,-,7,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
43,NL McCullum,SL Malinga,DL Vettori,,1,0,1,27,10,10,1,-,8,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
44,DL Vettori,SL Malinga,NL McCullum,,1,0,1,28,9,11,2,-,8,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
45,NL McCullum,SL Malinga,DL Vettori,,2,0,2,30,12,11,3,-,8,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
46,NL McCullum,SL Malinga,DL Vettori,,1,0,1,31,13,12,4,-,8,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
47,DL Vettori,SL Malinga,NL McCullum,,2,0,2,33,11,12,5,-,8,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
48,DL Vettori,SL Malinga,NL McCullum,,1,0,1,34,12,13,6,-,8,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
49,DL Vettori,BAW Mendis,NL McCullum,{'wides': 1},0,1,1,35,12,14,1,wides,9,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
50,DL Vettori,BAW Mendis,NL McCullum,,2,0,2,37,14,15,2,-,9,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
51,DL Vettori,BAW Mendis,NL McCullum,,0,0,0,37,14,16,3,-,9,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
52,DL Vettori,BAW Mendis,NL McCullum,,1,0,1,38,15,17,4,-,9,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
53,NL McCullum,BAW Mendis,DL Vettori,,0,0,0,38,13,13,5,-,9,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
54,NL McCullum,BAW Mendis,DL Vettori,,1,0,1,39,14,14,6,-,9,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
55,DL Vettori,BAW Mendis,NL McCullum,,0,0,0,39,15,18,7,-,9,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
56,NL McCullum,ST Jayasuriya,DL Vettori,,1,0,1,40,15,15,1,-,10,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
57,DL Vettori,ST Jayasuriya,NL McCullum,,4,0,4,44,19,19,2,-,10,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
58,DL Vettori,ST Jayasuriya,NL McCullum,,1,0,1,45,20,20,3,-,10,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
59,NL McCullum,ST Jayasuriya,DL Vettori,,1,0,1,46,16,16,4,-,10,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
60,DL Vettori,ST Jayasuriya,NL McCullum,,4,0,4,50,24,21,5,-,10,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
61,DL Vettori,ST Jayasuriya,NL McCullum,,1,0,1,51,25,22,6,-,10,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
62,DL Vettori,BAW Mendis,NL McCullum,{'wides': 1},0,1,1,52,25,23,1,wides,11,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
63,DL Vettori,BAW Mendis,NL McCullum,,1,0,1,53,26,24,2,-,11,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
64,NL McCullum,BAW Mendis,DL Vettori,,2,0,2,55,18,17,3,-,11,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
65,NL McCullum,BAW Mendis,DL Vettori,,1,0,1,56,19,18,4,-,11,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
66,DL Vettori,BAW Mendis,NL McCullum,,1,0,1,57,27,25,5,-,11,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
67,NL McCullum,BAW Mendis,DL Vettori,,1,0,1,58,20,19,6,-,11,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
68,DL Vettori,BAW Mendis,NL McCullum,,0,0,0,58,27,26,7,-,11,caught,DL Vettori,KC Sangakkara,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
69,NL McCullum,NLTC Perera,JDP Oram,,0,0,0,58,20,20,1,-,12,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
70,NL McCullum,NLTC Perera,JDP Oram,,0,0,0,58,20,21,2,-,12,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
71,NL McCullum,NLTC Perera,JDP Oram,,0,0,0,58,20,22,3,-,12,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
72,NL McCullum,NLTC Perera,JDP Oram,,1,0,1,59,21,23,4,-,12,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
73,JDP Oram,NLTC Perera,NL McCullum,,1,0,1,60,1,1,5,-,12,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
74,NL McCullum,NLTC Perera,JDP Oram,,0,0,0,60,21,24,6,-,12,0,,,bat,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka
