,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,LE Bosman,P Utseya,GC Smith,4,0,4,4,164,4,1,0,1,0,,,1,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
1,LE Bosman,P Utseya,GC Smith,1,0,1,5,163,5,2,0,2,0,,,1,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
2,GC Smith,P Utseya,LE Bosman,1,0,1,6,162,1,1,0,3,0,,,1,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
3,LE Bosman,P Utseya,GC Smith,0,0,0,6,162,5,3,1,4,caught,LE Bosman,CB Mpofu,1,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
4,CA Ingram,P Utseya,GC Smith,0,0,0,6,162,0,1,1,5,0,,,1,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
5,CA Ingram,P Utseya,GC Smith,4,0,4,10,158,4,2,1,6,0,,,1,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
6,GC Smith,SW Masakadza,CA Ingram,0,0,0,10,158,1,2,1,1,0,,,2,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
7,GC Smith,SW Masakadza,CA Ingram,0,0,0,10,158,1,3,1,2,0,,,2,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
8,GC Smith,SW Masakadza,CA Ingram,0,1,1,11,157,1,4,1,3,0,,,2,wides,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
9,GC Smith,SW Masakadza,CA Ingram,2,0,2,13,155,3,5,1,4,0,,,2,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
10,GC Smith,SW Masakadza,CA Ingram,4,0,4,17,151,7,6,1,5,0,,,2,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
11,GC Smith,SW Masakadza,CA Ingram,4,0,4,21,147,11,7,1,6,0,,,2,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
12,GC Smith,SW Masakadza,CA Ingram,0,0,0,21,147,11,8,1,7,0,,,2,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
13,CA Ingram,P Utseya,GC Smith,4,0,4,25,143,8,3,1,1,0,,,3,-,bat,South Africa,1,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,South Africa,Zimbabwe,194
